Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,93.00,105.00,92.00,103.00,126700,103.00
2017-01-31,93.00,99.00,92.00,93.00,200000,93.00
2017-01-30,90.00,96.00,90.00,94.00,4100,94.00
2017-01-27,90.00,95.00,90.00,90.00,280900,90.00
2017-01-26,96.00,96.00,96.00,96.00,000,96.00
2017-01-25,99.00,99.00,88.00,96.00,13900,96.00
2017-01-24,88.00,94.00,88.00,93.00,34800,93.00
2017-01-23,88.00,94.00,87.00,94.00,29300,94.00
2017-01-20,89.00,89.00,86.00,88.00,18100,88.00
2017-01-19,86.00,91.00,86.00,89.00,6200,89.00
2017-01-18,91.00,92.00,86.00,91.00,15200,91.00
2017-01-17,91.00,92.00,91.00,91.00,700,91.00
2017-01-16,88.00,92.00,82.00,91.00,28000,91.00
2017-01-13,87.00,88.00,87.00,88.00,22100,88.00
2017-01-12,88.00,94.00,88.00,88.00,87000,88.00
2017-01-11,82.00,89.00,82.00,88.00,106400,88.00
2017-01-10,89.00,89.00,81.00,82.00,179800,82.00
2017-01-09,91.00,99.00,82.00,89.00,152500,89.00
2017-01-06,91.00,91.00,91.00,91.00,1300,91.00
2017-01-05,91.00,95.00,91.00,91.00,43100,91.00
2017-01-04,91.00,91.00,91.00,91.00,600,91.00
2017-01-03,91.00,91.00,91.00,91.00,000,91.00
2017-01-02,91.00,91.00,91.00,91.00,000,91.00
2016-12-30,91.00,91.00,91.00,91.00,000,91.00
2016-12-29,91.00,91.00,91.00,91.00,200,91.00
2016-12-28,87.00,87.00,87.00,87.00,000,87.00
2016-12-27,87.00,87.00,87.00,87.00,100,87.00
2016-12-26,85.00,85.00,85.00,85.00,000,85.00
2016-12-23,85.00,85.00,85.00,85.00,000,85.00
2016-12-22,84.00,85.00,84.00,85.00,9000,85.00
2016-12-21,86.00,90.00,86.00,88.00,400,88.00
2016-12-20,90.00,90.00,86.00,86.00,100,86.00
2016-12-19,90.00,90.00,90.00,90.00,800,90.00
2016-12-16,89.00,90.00,89.00,90.00,100,90.00
2016-12-15,84.00,89.00,84.00,89.00,500,89.00
2016-12-14,89.00,90.00,85.00,85.00,9300,85.00
2016-12-13,88.00,91.00,88.00,88.00,3400,88.00
2016-12-12,88.00,88.00,88.00,88.00,000,88.00
2016-12-09,86.00,91.00,86.00,88.00,11300,88.00
2016-12-08,94.00,94.00,85.00,86.00,17000,86.00
2016-12-07,92.00,93.00,85.00,92.00,77600,92.00
2016-12-06,93.00,93.00,91.00,92.00,10500,92.00
2016-12-05,91.00,93.00,90.00,92.00,8100,92.00
2016-12-02,92.00,93.00,92.00,92.00,36200,92.00
2016-12-01,93.00,95.00,85.00,86.00,31000,86.00
2016-11-30,93.00,93.00,93.00,93.00,500,93.00
2016-11-29,97.00,97.00,90.00,90.00,27800,90.00
2016-11-28,98.00,101.00,90.00,95.00,17000,95.00
2016-11-25,99.00,100.00,98.00,98.00,102900,98.00
2016-11-24,100.00,101.00,92.00,92.00,3700,92.00
2016-11-23,100.00,100.00,100.00,100.00,000,100.00
