Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,450.00,458.00,438.00,458.00,5456200,458.00
2017-01-31,450.00,460.00,450.00,450.00,263200,450.00
2017-01-30,436.00,452.00,436.00,450.00,617300,450.00
2017-01-27,432.00,436.00,430.00,436.00,421100,436.00
2017-01-26,416.00,432.00,416.00,432.00,911200,432.00
2017-01-25,412.00,418.00,412.00,416.00,554400,416.00
2017-01-24,400.00,414.00,400.00,412.00,2307700,412.00
2017-01-23,400.00,408.00,400.00,402.00,114500,402.00
2017-01-20,400.00,400.00,400.00,400.00,163000,400.00
2017-01-19,400.00,408.00,396.00,402.00,3034700,402.00
2017-01-18,400.00,400.00,400.00,400.00,3200,400.00
2017-01-17,394.00,400.00,394.00,400.00,298100,400.00
2017-01-16,394.00,394.00,394.00,394.00,19500,394.00
2017-01-13,394.00,394.00,394.00,394.00,79300,394.00
2017-01-12,394.00,394.00,394.00,394.00,102100,394.00
2017-01-11,390.00,396.00,390.00,394.00,331000,394.00
2017-01-10,390.00,392.00,388.00,390.00,664500,390.00
2017-01-09,372.00,404.00,372.00,390.00,1246900,390.00
2017-01-06,372.00,372.00,372.00,372.00,1000,372.00
2017-01-05,370.00,372.00,370.00,372.00,292300,372.00
2017-01-04,380.00,380.00,370.00,370.00,55200,370.00
2017-01-03,370.00,380.00,370.00,380.00,319200,380.00
2017-01-02,374.00,374.00,374.00,374.00,000,374.00
2016-12-30,370.00,374.00,370.00,374.00,1600,374.00
2016-12-29,372.00,372.00,370.00,370.00,232200,370.00
2016-12-28,372.00,372.00,370.00,370.00,63800,370.00
2016-12-27,372.00,372.00,372.00,372.00,100,372.00
2016-12-26,370.00,370.00,370.00,370.00,000,370.00
2016-12-23,370.00,370.00,370.00,370.00,84600,370.00
2016-12-22,370.00,370.00,370.00,370.00,160400,370.00
2016-12-21,374.00,374.00,370.00,370.00,216800,370.00
2016-12-20,372.00,376.00,372.00,374.00,211400,374.00
2016-12-19,374.00,374.00,372.00,372.00,71000,372.00
2016-12-16,372.00,376.00,372.00,376.00,600,376.00
2016-12-15,370.00,372.00,370.00,372.00,70300,372.00
2016-12-14,376.00,376.00,376.00,376.00,100,376.00
2016-12-13,372.00,372.00,372.00,372.00,000,372.00
2016-12-12,372.00,372.00,372.00,372.00,000,372.00
2016-12-09,372.00,372.00,372.00,372.00,000,372.00
2016-12-08,372.00,372.00,372.00,372.00,172700,372.00
2016-12-07,370.00,374.00,370.00,374.00,100800,374.00
2016-12-06,372.00,376.00,372.00,372.00,229500,372.00
2016-12-05,370.00,370.00,370.00,370.00,5100,370.00
2016-12-02,370.00,372.00,370.00,372.00,18000,372.00
2016-12-01,370.00,370.00,370.00,370.00,217000,370.00
2016-11-30,370.00,370.00,370.00,370.00,53700,370.00
2016-11-29,370.00,370.00,370.00,370.00,3700,370.00
2016-11-28,372.00,372.00,370.00,370.00,48200,370.00
2016-11-25,374.00,374.00,370.00,372.00,31400,372.00
2016-11-24,370.00,372.00,366.00,372.00,39100,372.00
2016-11-23,370.00,374.00,366.00,370.00,2817500,370.00
2016-11-22,370.00,374.00,366.00,374.00,451900,374.00
2016-11-21,364.00,374.00,368.00,370.00,9060900,370.00
2016-11-18,360.00,364.00,360.00,364.00,36700,364.00
2016-11-17,360.00,364.00,360.00,362.00,40400,362.00
2016-11-16,360.00,362.00,360.00,360.00,155900,360.00
2016-11-15,360.00,362.00,360.00,360.00,422800,360.00
2016-11-14,362.00,364.00,360.00,360.00,281500,360.00
2016-11-11,368.00,368.00,362.00,362.00,173000,362.00
2016-11-10,362.00,368.00,362.00,368.00,16800,368.00
2016-11-09,366.00,366.00,342.00,362.00,445300,362.00
2016-11-08,370.00,370.00,366.00,366.00,170500,366.00
2016-11-07,370.00,370.00,364.00,366.00,177800,366.00
2016-11-04,364.00,370.00,364.00,370.00,41500,370.00
2016-11-03,364.00,366.00,362.00,364.00,524600,364.00
2016-11-02,370.00,372.00,364.00,364.00,89100,364.00
2016-11-01,364.00,372.00,360.00,362.00,541400,362.00
2016-10-31,366.00,374.00,360.00,364.00,1194300,364.00
2016-10-28,374.00,374.00,366.00,366.00,143400,366.00
2016-10-27,368.00,370.00,362.00,368.00,459900,368.00
2016-10-26,366.00,368.00,366.00,368.00,374400,368.00
2016-10-25,378.00,380.00,366.00,368.00,333300,368.00
2016-10-24,356.00,374.00,354.00,370.00,94800,370.00
2016-10-21,364.00,364.00,344.00,356.00,36800,356.00
2016-10-20,370.00,370.00,342.00,358.00,231200,358.00
2016-10-19,366.00,370.00,358.00,358.00,642600,358.00
2016-10-18,380.00,380.00,364.00,366.00,159200,366.00
2016-10-17,380.00,380.00,368.00,370.00,558500,370.00
2016-10-14,378.00,396.00,372.00,374.00,11793800,374.00
2016-10-13,374.00,406.00,364.00,366.00,6976900,366.00
2016-10-12,360.00,378.00,342.00,370.00,268800,370.00
2016-10-11,384.00,412.00,366.00,366.00,2163300,366.00
2016-10-10,354.00,424.00,354.00,384.00,6270000,384.00
2016-10-07,334.00,358.00,334.00,354.00,527200,354.00
2016-10-06,352.00,356.00,330.00,338.00,1097200,338.00
2016-10-05,372.00,372.00,350.00,356.00,206200,356.00
2016-10-04,360.00,368.00,332.00,368.00,1291100,368.00
2016-10-03,400.00,406.00,360.00,360.00,3195500,360.00
2016-09-30,326.00,406.00,326.00,400.00,23511200,400.00
2016-09-29,326.00,330.00,324.00,326.00,43000,326.00
2016-09-28,332.00,332.00,326.00,326.00,1800,326.00
2016-09-27,330.00,330.00,330.00,330.00,2700,330.00
2016-09-26,340.00,340.00,312.00,330.00,94900,330.00
2016-09-23,328.00,338.00,322.00,328.00,281400,328.00
2016-09-22,330.00,334.00,330.00,334.00,20100,334.00
2016-09-21,334.00,334.00,330.00,330.00,400,330.00
2016-09-20,330.00,334.00,330.00,332.00,42400,332.00
2016-09-19,332.00,332.00,332.00,332.00,16000,332.00
2016-09-16,344.00,344.00,332.00,332.00,153200,332.00
2016-09-15,334.00,344.00,334.00,344.00,5300,344.00
2016-09-14,330.00,334.00,326.00,334.00,213500,334.00
2016-09-13,338.00,340.00,330.00,330.00,32800,330.00
2016-09-12,340.00,340.00,340.00,340.00,000,340.00
2016-09-09,342.00,342.00,340.00,340.00,30000,340.00
2016-09-08,346.00,346.00,346.00,346.00,000,346.00
2016-09-07,344.00,346.00,344.00,346.00,30500,346.00
2016-09-06,334.00,338.00,332.00,338.00,600,338.00
2016-09-05,338.00,346.00,332.00,332.00,320100,332.00
2016-09-02,336.00,346.00,336.00,346.00,45600,346.00
2016-09-01,344.00,346.00,336.00,336.00,700,336.00
2016-08-31,334.00,344.00,334.00,344.00,49100,344.00
2016-08-30,332.00,340.00,328.00,336.00,275200,336.00
2016-08-29,346.00,346.00,328.00,338.00,208800,338.00
2016-08-26,344.00,344.00,336.00,340.00,112300,340.00
2016-08-25,334.00,348.00,332.00,344.00,208700,344.00
2016-08-24,324.00,332.00,320.00,328.00,211100,328.00
2016-08-23,340.00,340.00,318.00,324.00,634400,324.00
2016-08-22,348.00,348.00,348.00,348.00,10100,348.00
2016-08-19,348.00,350.00,340.00,346.00,3500,346.00
2016-08-18,350.00,350.00,338.00,348.00,300,348.00
2016-08-17,348.00,348.00,348.00,348.00,000,348.00
2016-08-16,332.00,348.00,332.00,348.00,400,348.00
2016-08-15,342.00,348.00,332.00,340.00,257100,340.00
2016-08-12,344.00,350.00,344.00,350.00,13900,350.00
2016-08-11,356.00,360.00,346.00,356.00,101000,356.00
2016-08-10,366.00,370.00,352.00,352.00,65500,352.00
2016-08-09,348.00,366.00,344.00,366.00,717700,366.00
2016-08-08,340.00,348.00,336.00,346.00,92700,346.00
2016-08-05,348.00,348.00,340.00,340.00,22600,340.00
2016-08-04,338.00,348.00,338.00,338.00,92900,338.00
2016-08-03,340.00,350.00,340.00,340.00,25600,340.00
2016-08-02,342.00,352.00,342.00,342.00,9600,342.00
2016-08-01,340.00,354.00,340.00,344.00,79000,344.00
2016-07-29,340.00,348.00,338.00,340.00,98200,340.00
2016-07-28,342.00,348.00,330.00,340.00,157300,340.00
2016-07-27,346.00,348.00,332.00,342.00,44000,342.00
2016-07-26,346.00,352.00,346.00,346.00,84400,346.00
2016-07-25,352.00,354.00,340.00,346.00,47000,346.00
2016-07-22,348.00,348.00,338.00,346.00,33600,346.00
2016-07-21,350.00,350.00,342.00,342.00,92700,342.00
2016-07-20,346.00,348.00,344.00,346.00,143000,346.00
2016-07-19,348.00,348.00,340.00,344.00,20900,344.00
2016-07-18,342.00,344.00,334.00,340.00,206500,340.00
2016-07-15,346.00,352.00,346.00,346.00,332300,346.00
