Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,348.00,348.00,330.00,330.00,111600,330.00
2017-01-31,348.00,348.00,328.00,348.00,432500,348.00
2017-01-30,344.00,348.00,344.00,348.00,103500,348.00
2017-01-27,348.00,356.00,300.00,344.00,2190500,344.00
2017-01-26,338.00,350.00,294.00,348.00,2619100,348.00
2017-01-25,338.00,350.00,338.00,338.00,1532900,338.00
2017-01-24,334.00,338.00,290.00,336.00,709600,336.00
2017-01-23,330.00,350.00,330.00,334.00,301700,334.00
2017-01-20,324.00,330.00,324.00,330.00,595600,330.00
2017-01-19,306.00,340.00,304.00,322.00,1187200,322.00
2017-01-18,304.00,306.00,302.00,306.00,521500,306.00
2017-01-17,304.00,304.00,298.00,304.00,434800,304.00
2017-01-16,306.00,308.00,302.00,304.00,114000,304.00
2017-01-13,300.00,306.00,300.00,306.00,746300,306.00
2017-01-12,302.00,302.00,294.00,300.00,97000,300.00
2017-01-11,298.00,302.00,296.00,302.00,660000,302.00
2017-01-10,296.00,298.00,286.00,298.00,438600,298.00
2017-01-09,292.00,296.00,290.00,296.00,483900,296.00
2017-01-06,290.00,292.00,288.00,292.00,606100,292.00
2017-01-05,286.00,290.00,284.00,290.00,504200,290.00
2017-01-04,284.00,286.00,280.00,286.00,357000,286.00
2017-01-03,276.00,284.00,276.00,284.00,229000,284.00
2017-01-02,274.00,274.00,274.00,274.00,000,274.00
2016-12-30,270.00,278.00,270.00,274.00,621900,274.00
2016-12-29,266.00,274.00,246.00,270.00,1325000,270.00
2016-12-28,266.00,272.00,264.00,272.00,80400,272.00
2016-12-27,272.00,272.00,272.00,272.00,50500,272.00
2016-12-26,272.00,272.00,272.00,272.00,000,272.00
2016-12-23,274.00,298.00,270.00,272.00,417700,272.00
2016-12-22,268.00,270.00,264.00,264.00,220000,264.00
2016-12-21,268.00,270.00,268.00,270.00,327000,270.00
2016-12-20,270.00,270.00,248.00,268.00,248500,268.00
2016-12-19,272.00,272.00,270.00,270.00,60100,270.00
2016-12-16,274.00,274.00,270.00,270.00,37000,270.00
2016-12-15,278.00,278.00,270.00,274.00,33500,274.00
2016-12-14,280.00,280.00,270.00,278.00,1100,278.00
2016-12-13,280.00,280.00,280.00,280.00,200,280.00
2016-12-12,280.00,280.00,280.00,280.00,000,280.00
2016-12-09,280.00,290.00,280.00,280.00,45800,280.00
2016-12-08,288.00,288.00,288.00,288.00,10200,288.00
2016-12-07,290.00,290.00,266.00,288.00,129000,288.00
2016-12-06,296.00,296.00,288.00,290.00,11600,290.00
2016-12-05,284.00,286.00,284.00,286.00,50500,286.00
2016-12-02,284.00,284.00,280.00,284.00,302700,284.00
2016-12-01,280.00,284.00,280.00,284.00,1728700,284.00
2016-11-30,276.00,280.00,276.00,280.00,1304900,280.00
2016-11-29,272.00,276.00,268.00,276.00,1194500,276.00
2016-11-28,268.00,272.00,268.00,272.00,1395400,272.00
2016-11-25,264.00,268.00,264.00,268.00,1735100,268.00
2016-11-24,260.00,264.00,260.00,264.00,1105100,264.00
2016-11-23,262.00,264.00,262.00,262.00,1262500,262.00
2016-11-22,258.00,262.00,258.00,262.00,1320000,262.00
2016-11-21,256.00,262.00,256.00,258.00,1505200,258.00
2016-11-18,232.00,256.00,232.00,256.00,1372400,256.00
2016-11-17,250.00,252.00,242.00,252.00,701200,252.00
2016-11-16,254.00,262.00,250.00,250.00,187700,250.00
2016-11-15,254.00,254.00,252.00,254.00,620000,254.00
2016-11-14,252.00,254.00,252.00,254.00,644600,254.00
2016-11-11,232.00,254.00,232.00,252.00,755700,252.00
2016-11-10,250.00,252.00,250.00,252.00,970000,252.00
2016-11-09,250.00,254.00,228.00,250.00,1657100,250.00
2016-11-08,252.00,254.00,250.00,252.00,1488100,252.00
2016-11-07,244.00,262.00,244.00,252.00,110100,252.00
2016-11-04,244.00,244.00,244.00,244.00,10000,244.00
2016-11-03,244.00,250.00,244.00,244.00,190300,244.00
2016-11-02,234.00,252.00,234.00,242.00,30100,242.00
2016-11-01,242.00,250.00,218.00,250.00,581000,250.00
2016-10-31,246.00,250.00,240.00,242.00,480600,242.00
2016-10-28,236.00,246.00,236.00,246.00,569500,246.00
2016-10-27,234.00,238.00,208.00,236.00,1154600,236.00
2016-10-26,230.00,232.00,206.00,230.00,570800,230.00
2016-10-25,220.00,228.00,220.00,228.00,630000,228.00
2016-10-24,206.00,218.00,206.00,218.00,604000,218.00
2016-10-21,232.00,232.00,206.00,206.00,495600,206.00
2016-10-20,224.00,224.00,216.00,224.00,275600,224.00
2016-10-19,181.00,216.00,181.00,216.00,281000,216.00
2016-10-18,206.00,218.00,188.00,198.00,1110200,198.00
2016-10-17,220.00,228.00,208.00,208.00,980100,208.00
2016-10-14,202.00,220.00,196.00,220.00,1534300,220.00
2016-10-13,204.00,216.00,204.00,216.00,851300,216.00
2016-10-12,214.00,216.00,200.00,214.00,835100,214.00
2016-10-11,200.00,216.00,180.00,210.00,1395500,210.00
2016-10-10,187.00,200.00,184.00,200.00,2987100,200.00
2016-10-07,169.00,188.00,155.00,187.00,5343900,187.00
2016-10-06,150.00,169.00,150.00,169.00,682200,169.00
2016-10-05,164.00,165.00,152.00,163.00,995200,163.00
2016-10-04,150.00,155.00,150.00,155.00,5215200,155.00
2016-10-03,170.00,173.00,150.00,150.00,5660600,150.00
2016-09-30,165.00,165.00,150.00,164.00,5027400,164.00
2016-09-29,170.00,170.00,165.00,165.00,2890300,165.00
2016-09-28,173.00,173.00,162.00,173.00,2870000,173.00
2016-09-27,174.00,175.00,170.00,170.00,2520200,170.00
2016-09-26,175.00,175.00,172.00,174.00,2005100,174.00
2016-09-23,176.00,176.00,176.00,176.00,000,176.00
2016-09-22,178.00,183.00,176.00,176.00,4440100,176.00
2016-09-21,178.00,178.00,178.00,178.00,2888000,178.00
2016-09-20,172.00,177.00,172.00,177.00,121100,177.00
2016-09-19,184.00,184.00,171.00,172.00,474300,172.00
2016-09-16,185.00,185.00,180.00,184.00,11000,184.00
2016-09-15,183.00,185.00,183.00,185.00,1700000,185.00
2016-09-14,179.00,184.00,167.00,184.00,34100,184.00
2016-09-13,185.00,185.00,185.00,185.00,000,185.00
2016-09-12,185.00,185.00,185.00,185.00,000,185.00
2016-09-09,185.00,185.00,167.00,185.00,504100,185.00
2016-09-08,172.00,185.00,172.00,185.00,1067700,185.00
2016-09-07,172.00,172.00,172.00,172.00,1100,172.00
2016-09-06,170.00,172.00,170.00,172.00,5000,172.00
2016-09-05,174.00,174.00,168.00,170.00,107100,170.00
2016-09-02,172.00,178.00,172.00,176.00,5300,176.00
2016-09-01,180.00,180.00,170.00,170.00,1100,170.00
2016-08-31,177.00,180.00,170.00,180.00,62900,180.00
2016-08-30,166.00,178.00,162.00,177.00,615500,177.00
2016-08-29,181.00,181.00,176.00,179.00,840700,179.00
2016-08-26,170.00,185.00,169.00,180.00,1524500,180.00
2016-08-25,160.00,169.00,152.00,169.00,8000,169.00
2016-08-24,166.00,166.00,160.00,165.00,56300,165.00
2016-08-23,165.00,165.00,165.00,165.00,16100,165.00
2016-08-22,171.00,171.00,165.00,165.00,98500,165.00
2016-08-19,172.00,172.00,162.00,172.00,5100,172.00
2016-08-18,160.00,172.00,160.00,172.00,3700,172.00
2016-08-17,169.00,169.00,169.00,169.00,000,169.00
2016-08-16,165.00,169.00,160.00,169.00,100400,169.00
2016-08-15,168.00,168.00,168.00,168.00,000,168.00
