Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,8000.00,8100.00,7975.00,8050.00,20593800,8050.00
2017-01-31,7950.00,8050.00,7950.00,7950.00,22016600,7950.00
2017-01-30,8100.00,8125.00,7900.00,7900.00,17179100,7900.00
2017-01-27,8100.00,8125.00,8025.00,8100.00,12243700,8100.00
2017-01-26,8150.00,8150.00,8050.00,8075.00,22812200,8075.00
2017-01-25,8100.00,8100.00,8050.00,8100.00,25295000,8100.00
2017-01-24,8100.00,8100.00,8025.00,8050.00,16250900,8050.00
2017-01-23,8050.00,8100.00,7950.00,8025.00,9106800,8025.00
2017-01-20,8150.00,8150.00,8000.00,8000.00,11094700,8000.00
2017-01-19,8125.00,8150.00,8050.00,8150.00,15267800,8150.00
2017-01-18,8100.00,8175.00,8050.00,8125.00,17112300,8125.00
2017-01-17,7950.00,8075.00,7950.00,8050.00,5848500,8050.00
2017-01-16,8075.00,8075.00,7975.00,7975.00,12032400,7975.00
2017-01-13,7925.00,8125.00,7925.00,8000.00,30164500,8000.00
2017-01-12,8025.00,8100.00,7925.00,7925.00,25391700,7925.00
2017-01-11,8200.00,8200.00,8025.00,8025.00,14060000,8025.00
2017-01-10,8175.00,8225.00,8100.00,8200.00,21384600,8200.00
2017-01-09,8250.00,8250.00,8125.00,8150.00,14383700,8150.00
2017-01-06,8175.00,8250.00,8125.00,8175.00,16866600,8175.00
2017-01-05,8050.00,8125.00,8000.00,8125.00,30992200,8125.00
2017-01-04,8150.00,8175.00,7925.00,8000.00,40244000,8000.00
2017-01-03,8150.00,8225.00,8050.00,8200.00,24401500,8200.00
2017-01-02,8275.00,8275.00,8275.00,8275.00,000,8275.00
2016-12-30,8175.00,8275.00,8050.00,8275.00,58357800,8275.00
2016-12-29,7825.00,8150.00,7800.00,8125.00,55270000,8125.00
2016-12-28,7750.00,7825.00,7650.00,7825.00,14942500,7825.00
2016-12-27,7325.00,7700.00,7325.00,7625.00,12811500,7625.00
2016-12-26,7325.00,7325.00,7325.00,7325.00,000,7325.00
2016-12-23,7525.00,7575.00,7325.00,7325.00,16161800,7325.00
2016-12-22,7750.00,7750.00,7525.00,7525.00,21018100,7525.00
2016-12-21,7650.00,7750.00,7625.00,7700.00,21196600,7700.00
2016-12-20,7575.00,7650.00,7500.00,7550.00,14635800,7550.00
2016-12-19,7675.00,7700.00,7575.00,7625.00,20215200,7625.00
2016-12-16,7750.00,7775.00,7575.00,7575.00,38768700,7575.00
2016-12-15,7725.00,7800.00,7650.00,7750.00,32915000,7750.00
2016-12-14,7825.00,7825.00,7750.00,7775.00,26827000,7775.00
2016-12-13,7900.00,7900.00,7650.00,7850.00,31561800,7850.00
2016-12-12,7825.00,7825.00,7825.00,7825.00,000,7825.00
2016-12-09,7800.00,7875.00,7750.00,7825.00,34361400,7825.00
2016-12-08,7825.00,7825.00,7750.00,7800.00,29145400,7800.00
2016-12-07,7825.00,7825.00,7750.00,7775.00,17371800,7775.00
2016-12-06,7875.00,7950.00,7725.00,7850.00,28645900,7850.00
2016-12-05,7825.00,7950.00,7800.00,7875.00,13664000,7875.00
2016-12-02,7800.00,7875.00,7725.00,7850.00,25896900,7850.00
2016-12-01,7650.00,7750.00,7650.00,7700.00,25469700,7700.00
2016-11-30,7750.00,7875.00,7550.00,7550.00,41566100,7550.00
2016-11-29,7825.00,7975.00,7700.00,7700.00,26501300,7700.00
2016-11-28,7675.00,7900.00,7650.00,7825.00,30602500,7825.00
2016-11-25,7450.00,7625.00,7450.00,7625.00,14112800,7625.00
2016-11-24,7725.00,7725.00,7450.00,7525.00,24274400,7525.00
2016-11-23,7750.00,7825.00,7725.00,7775.00,24919700,7775.00
2016-11-22,7850.00,7900.00,7725.00,7750.00,29573500,7750.00
2016-11-21,7750.00,7900.00,7725.00,7900.00,27592100,7900.00
2016-11-18,7850.00,7875.00,7750.00,7850.00,23176400,7850.00
2016-11-17,7825.00,7875.00,7725.00,7850.00,27155400,7850.00
2016-11-16,7775.00,7850.00,7725.00,7825.00,46434900,7825.00
2016-11-15,7675.00,7800.00,7575.00,7625.00,35039200,7625.00
2016-11-14,7700.00,7775.00,7300.00,7625.00,85211400,7625.00
2016-11-11,8050.00,8075.00,7700.00,7700.00,104109100,7700.00
2016-11-10,8300.00,8350.00,8225.00,8300.00,24768700,8300.00
2016-11-09,8375.00,8400.00,8100.00,8250.00,60972000,8250.00
2016-11-08,8250.00,8400.00,8175.00,8375.00,31162900,8375.00
2016-11-07,8175.00,8250.00,8075.00,8225.00,36417500,8225.00
2016-11-04,8050.00,8200.00,8050.00,8125.00,45768800,8125.00
