Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,462.00,464.00,458.00,464.00,2137400,464.00
2017-01-31,462.00,466.00,452.00,462.00,7010900,462.00
2017-01-30,466.00,468.00,460.00,460.00,2212300,460.00
2017-01-27,466.00,466.00,466.00,466.00,1924300,466.00
2017-01-26,464.00,468.00,464.00,464.00,2096200,464.00
2017-01-25,468.00,472.00,464.00,464.00,2137100,464.00
2017-01-24,470.00,470.00,466.00,466.00,2150600,466.00
2017-01-23,462.00,470.00,452.00,470.00,6708900,470.00
2017-01-20,468.00,470.00,462.00,462.00,2275600,462.00
2017-01-19,466.00,468.00,462.00,468.00,2137800,468.00
2017-01-18,460.00,466.00,458.00,466.00,2187700,466.00
2017-01-17,460.00,460.00,456.00,460.00,2263800,460.00
2017-01-16,470.00,474.00,460.00,460.00,2200000,460.00
2017-01-13,468.00,470.00,464.00,470.00,2178300,470.00
2017-01-12,468.00,468.00,466.00,466.00,2357400,466.00
2017-01-11,460.00,470.00,460.00,468.00,2229700,468.00
2017-01-10,460.00,466.00,460.00,460.00,2111300,460.00
2017-01-09,468.00,468.00,460.00,460.00,2117900,460.00
2017-01-06,464.00,468.00,458.00,468.00,2237200,468.00
2017-01-05,456.00,466.00,438.00,466.00,7691100,466.00
2017-01-04,480.00,480.00,458.00,458.00,2122100,458.00
2017-01-03,496.00,496.00,464.00,480.00,2569800,480.00
2017-01-02,496.00,496.00,496.00,496.00,000,496.00
2016-12-30,466.00,496.00,462.00,496.00,2694000,496.00
2016-12-29,462.00,466.00,458.00,466.00,2331000,466.00
2016-12-28,460.00,464.00,450.00,462.00,6589800,462.00
2016-12-27,456.00,460.00,452.00,460.00,2374700,460.00
2016-12-26,454.00,454.00,454.00,454.00,000,454.00
2016-12-23,458.00,458.00,454.00,454.00,2209300,454.00
2016-12-22,456.00,458.00,452.00,458.00,2282100,458.00
2016-12-21,454.00,456.00,450.00,456.00,2274400,456.00
2016-12-20,450.00,454.00,440.00,454.00,6762900,454.00
2016-12-19,452.00,452.00,450.00,450.00,2219800,450.00
2016-12-16,454.00,456.00,450.00,450.00,2282300,450.00
2016-12-15,452.00,454.00,448.00,454.00,2409400,454.00
2016-12-14,456.00,456.00,450.00,450.00,2200000,450.00
2016-12-13,458.00,460.00,454.00,454.00,2309200,454.00
2016-12-12,458.00,458.00,458.00,458.00,000,458.00
2016-12-09,454.00,458.00,444.00,458.00,6327400,458.00
2016-12-08,456.00,456.00,452.00,452.00,2317800,452.00
2016-12-07,466.00,466.00,454.00,454.00,2291700,454.00
2016-12-06,464.00,472.00,464.00,464.00,2156700,464.00
2016-12-05,466.00,468.00,464.00,464.00,2364800,464.00
2016-12-02,464.00,468.00,464.00,466.00,2209200,466.00
2016-12-01,464.00,464.00,450.00,464.00,6629500,464.00
2016-11-30,462.00,464.00,458.00,464.00,2348100,464.00
2016-11-29,462.00,468.00,458.00,462.00,2562400,462.00
2016-11-28,446.00,462.00,442.00,462.00,6660600,462.00
2016-11-25,454.00,454.00,446.00,446.00,2406100,446.00
2016-11-24,456.00,462.00,452.00,454.00,2295000,454.00
2016-11-23,458.00,458.00,444.00,456.00,2607900,456.00
2016-11-22,468.00,468.00,458.00,458.00,2436900,458.00
2016-11-21,468.00,470.00,454.00,468.00,699300,468.00
2016-11-18,462.00,468.00,450.00,468.00,6621400,468.00
2016-11-17,456.00,462.00,450.00,462.00,2631300,462.00
2016-11-16,454.00,456.00,446.00,456.00,2404300,456.00
2016-11-15,446.00,454.00,440.00,454.00,2508900,454.00
2016-11-14,462.00,462.00,446.00,446.00,2150400,446.00
2016-11-11,456.00,462.00,446.00,462.00,6618700,462.00
2016-11-10,448.00,456.00,438.00,456.00,2582000,456.00
2016-11-09,438.00,448.00,430.00,448.00,2583900,448.00
2016-11-08,454.00,454.00,438.00,438.00,2746800,438.00
2016-11-07,456.00,458.00,452.00,452.00,2417600,452.00
2016-11-04,460.00,460.00,456.00,456.00,2374700,456.00
2016-11-03,454.00,460.00,452.00,460.00,2476800,460.00
2016-11-02,444.00,454.00,436.00,452.00,6832100,452.00
2016-11-01,448.00,450.00,444.00,444.00,2474100,444.00
2016-10-31,430.00,448.00,428.00,448.00,2708100,448.00
2016-10-28,430.00,432.00,426.00,432.00,2403800,432.00
2016-10-27,428.00,430.00,420.00,430.00,2292000,430.00
2016-10-26,442.00,444.00,422.00,430.00,2523500,430.00
2016-10-25,456.00,456.00,444.00,444.00,2310800,444.00
2016-10-24,460.00,460.00,452.00,452.00,2332100,452.00
2016-10-21,462.00,462.00,456.00,460.00,1359100,460.00
2016-10-20,454.00,462.00,438.00,462.00,7278000,462.00
2016-10-19,480.00,480.00,454.00,454.00,2411800,454.00
2016-10-18,476.00,480.00,468.00,480.00,2405900,480.00
2016-10-17,474.00,476.00,470.00,476.00,2657500,476.00
2016-10-14,476.00,476.00,470.00,472.00,2588200,472.00
2016-10-13,476.00,480.00,474.00,474.00,2260600,474.00
2016-10-12,470.00,476.00,462.00,476.00,2548600,476.00
2016-10-11,448.00,468.00,446.00,468.00,7136500,468.00
2016-10-10,438.00,448.00,438.00,448.00,2657200,448.00
2016-10-07,440.00,444.00,438.00,438.00,2541000,438.00
2016-10-06,432.00,438.00,430.00,438.00,2718700,438.00
2016-10-05,426.00,430.00,424.00,430.00,2526100,430.00
2016-10-04,420.00,426.00,420.00,426.00,2506800,426.00
2016-10-03,414.00,422.00,406.00,420.00,6731800,420.00
2016-09-30,406.00,414.00,406.00,414.00,2655000,414.00
2016-09-29,404.00,406.00,402.00,406.00,2712500,406.00
2016-09-28,404.00,404.00,402.00,404.00,2635000,404.00
2016-09-27,402.00,406.00,400.00,402.00,2875700,402.00
2016-09-26,396.00,402.00,396.00,402.00,2911600,402.00
2016-09-23,396.00,396.00,386.00,396.00,2746000,396.00
2016-09-22,402.00,402.00,396.00,396.00,2473800,396.00
2016-09-21,408.00,408.00,402.00,402.00,2669100,402.00
2016-09-20,414.00,416.00,408.00,408.00,2436100,408.00
2016-09-19,418.00,418.00,414.00,414.00,2570600,414.00
2016-09-16,406.00,422.00,400.00,418.00,7100100,418.00
2016-09-15,406.00,408.00,402.00,406.00,2669100,406.00
2016-09-14,404.00,406.00,398.00,406.00,2609900,406.00
2016-09-13,410.00,412.00,398.00,406.00,2652100,406.00
2016-09-12,410.00,410.00,410.00,410.00,000,410.00
2016-09-09,422.00,422.00,408.00,410.00,2801300,410.00
2016-09-08,438.00,438.00,422.00,422.00,2765400,422.00
2016-09-07,450.00,450.00,438.00,438.00,2426200,438.00
2016-09-06,452.00,452.00,444.00,450.00,2295600,450.00
2016-09-05,450.00,452.00,446.00,452.00,2450800,452.00
2016-09-02,452.00,454.00,444.00,452.00,2246700,452.00
2016-09-01,448.00,454.00,434.00,454.00,2600500,454.00
2016-08-31,448.00,468.00,442.00,448.00,8821600,448.00
2016-08-30,452.00,454.00,446.00,448.00,2344800,448.00
2016-08-29,446.00,460.00,444.00,452.00,2387000,452.00
2016-08-26,442.00,446.00,428.00,446.00,2663900,446.00
2016-08-25,448.00,450.00,442.00,442.00,2155900,442.00
2016-08-24,452.00,452.00,444.00,450.00,2408200,450.00
2016-08-23,456.00,460.00,444.00,452.00,6741600,452.00
2016-08-22,456.00,458.00,450.00,456.00,2340900,456.00
2016-08-19,464.00,464.00,452.00,456.00,2271600,456.00
2016-08-18,466.00,470.00,464.00,464.00,2323900,464.00
2016-08-17,466.00,466.00,466.00,466.00,000,466.00
2016-08-16,458.00,466.00,448.00,466.00,2641400,466.00
2016-08-15,462.00,462.00,446.00,460.00,2207800,460.00
2016-08-12,454.00,482.00,454.00,462.00,2326800,462.00
2016-08-11,428.00,454.00,428.00,454.00,2477700,454.00
2016-08-10,422.00,428.00,422.00,428.00,2134600,428.00
2016-08-09,418.00,422.00,408.00,422.00,2837700,422.00
