Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2460.00,2460.00,2460.00,2460.00,000,2460.00
2017-01-31,2460.00,2460.00,2460.00,2460.00,100,2460.00
2017-01-30,2150.00,2480.00,2150.00,2480.00,500,2480.00
2017-01-27,2150.00,2150.00,2150.00,2150.00,000,2150.00
2017-01-26,2150.00,2150.00,2150.00,2150.00,000,2150.00
2017-01-25,2150.00,2150.00,2150.00,2150.00,000,2150.00
2017-01-24,2200.00,2200.00,2150.00,2150.00,15600,2150.00
2017-01-23,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-01-20,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-01-19,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-01-18,2200.00,2200.00,2200.00,2200.00,2500,2200.00
2017-01-17,2200.00,2200.00,2200.00,2200.00,17400,2200.00
2017-01-16,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-01-13,2200.00,2200.00,2200.00,2200.00,000,2200.00
2017-01-12,2210.00,2210.00,2200.00,2200.00,100,2200.00
2017-01-11,2210.00,2210.00,2210.00,2210.00,000,2210.00
2017-01-10,2350.00,2350.00,2210.00,2210.00,400,2210.00
2017-01-09,2350.00,2350.00,2350.00,2350.00,100,2350.00
2017-01-06,2350.00,2350.00,2350.00,2350.00,000,2350.00
2017-01-05,2300.00,2350.00,2300.00,2350.00,1000,2350.00
2017-01-04,2690.00,2690.00,2200.00,2200.00,1800,2200.00
2017-01-03,2690.00,2690.00,2690.00,2690.00,000,2690.00
2017-01-02,2690.00,2690.00,2690.00,2690.00,000,2690.00
2016-12-30,2690.00,2690.00,2690.00,2690.00,000,2690.00
2016-12-29,2690.00,2690.00,2690.00,2690.00,000,2690.00
2016-12-28,2690.00,2690.00,2690.00,2690.00,000,2690.00
2016-12-27,2690.00,2690.00,2690.00,2690.00,000,2690.00
2016-12-26,2690.00,2690.00,2690.00,2690.00,000,2690.00
2016-12-23,2940.00,3700.00,2690.00,2690.00,400,2690.00
2016-12-22,2980.00,2980.00,2980.00,2980.00,000,2980.00
2016-12-21,2980.00,2980.00,2980.00,2980.00,000,2980.00
2016-12-20,2400.00,2980.00,2400.00,2980.00,100,2980.00
2016-12-19,2400.00,2400.00,2400.00,2400.00,000,2400.00
2016-12-16,2400.00,2400.00,2160.00,2400.00,1100,2400.00
2016-12-15,2350.00,2400.00,2350.00,2400.00,24100,2400.00
2016-12-14,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-13,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-12,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-09,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-08,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-07,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-06,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-05,2390.00,2390.00,2390.00,2390.00,400,2390.00
2016-12-02,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-12-01,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-30,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-29,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-28,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-25,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-24,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-23,2390.00,2390.00,2390.00,2390.00,000,2390.00
2016-11-22,2390.00,2390.00,2390.00,2390.00,100,2390.00
2016-11-21,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-11-18,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-11-17,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-11-16,2000.00,2100.00,1805.00,2100.00,200,2100.00
2016-11-15,2100.00,2100.00,2000.00,2000.00,11600,2000.00
2016-11-14,2200.00,2500.00,2070.00,2200.00,30400,2200.00
2016-11-11,2500.00,2500.00,2300.00,2300.00,5200,2300.00
2016-11-10,2320.00,2500.00,1900.00,2500.00,8900,2500.00
2016-11-09,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-11-08,1800.00,2100.00,1800.00,2100.00,400,2100.00
2016-11-07,1850.00,1850.00,1850.00,1850.00,000,1850.00
2016-11-04,1810.00,1850.00,1810.00,1850.00,500,1850.00
2016-11-03,1810.00,1810.00,1810.00,1810.00,1500,1810.00
2016-11-02,1860.00,1860.00,1860.00,1860.00,000,1860.00
2016-11-01,1800.00,1860.00,1800.00,1860.00,100,1860.00
2016-10-31,1800.00,1800.00,1800.00,1800.00,200,1800.00
2016-10-28,1850.00,1850.00,1800.00,1800.00,300,1800.00
2016-10-27,1900.00,1900.00,1900.00,1900.00,200,1900.00
2016-10-26,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-25,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-24,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-21,2100.00,2100.00,2100.00,2100.00,000,2100.00
2016-10-20,2140.00,2140.00,2100.00,2100.00,4500,2100.00
2016-10-19,2200.00,2200.00,2180.00,2180.00,200,2180.00
2016-10-18,2650.00,2650.00,2390.00,2390.00,300,2390.00
2016-10-17,2180.00,2550.00,2180.00,2180.00,2600,2180.00
2016-10-14,2280.00,2280.00,2280.00,2280.00,100,2280.00
2016-10-13,2380.00,2380.00,2380.00,2380.00,000,2380.00
2016-10-12,2380.00,2380.00,2380.00,2380.00,100,2380.00
2016-10-11,2500.00,2500.00,2500.00,2500.00,000,2500.00
2016-10-10,2500.00,2500.00,2500.00,2500.00,000,2500.00
2016-10-07,2500.00,2500.00,2500.00,2500.00,000,2500.00
2016-10-06,2500.00,2500.00,2500.00,2500.00,100,2500.00
2016-10-05,2450.00,2450.00,2450.00,2450.00,000,2450.00
2016-10-04,2490.00,2490.00,2450.00,2450.00,100,2450.00
2016-10-03,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-09-30,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-09-29,2470.00,2490.00,2470.00,2490.00,200,2490.00
2016-09-28,2580.00,2580.00,2500.00,2500.00,200,2500.00
2016-09-27,2430.00,2600.00,2430.00,2600.00,100,2600.00
2016-09-26,2430.00,2430.00,2430.00,2430.00,000,2430.00
2016-09-23,2430.00,2500.00,2430.00,2430.00,400,2430.00
2016-09-22,2600.00,2600.00,2600.00,2600.00,000,2600.00
2016-09-21,2600.00,2600.00,2600.00,2600.00,000,2600.00
2016-09-20,2600.00,2600.00,2600.00,2600.00,000,2600.00
2016-09-19,2600.00,2600.00,2600.00,2600.00,000,2600.00
2016-09-16,2600.00,2600.00,2600.00,2600.00,000,2600.00
2016-09-15,2600.00,2600.00,2600.00,2600.00,100,2600.00
2016-09-14,2600.00,2600.00,2600.00,2600.00,000,2600.00
2016-09-13,2600.00,2600.00,2600.00,2600.00,100,2600.00
2016-09-12,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-09,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-08,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-07,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-06,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-05,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-02,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-09-01,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-31,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-30,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-29,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-26,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-25,2700.00,2700.00,2700.00,2700.00,100,2700.00
2016-08-24,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-08-23,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-08-22,2750.00,2750.00,2750.00,2750.00,100,2750.00
2016-08-19,2850.00,2850.00,2850.00,2850.00,000,2850.00
2016-08-18,2850.00,2850.00,2850.00,2850.00,000,2850.00
2016-08-17,2850.00,2850.00,2850.00,2850.00,000,2850.00
2016-08-16,2850.00,2850.00,2850.00,2850.00,000,2850.00
2016-08-15,2850.00,2850.00,2850.00,2850.00,000,2850.00
2016-08-12,2850.00,2850.00,2850.00,2850.00,100,2850.00
2016-08-11,2580.00,2580.00,2580.00,2580.00,100,2580.00
2016-08-10,2700.00,2700.00,2700.00,2700.00,200,2700.00
2016-08-09,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-08,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-05,2700.00,2700.00,2700.00,2700.00,000,2700.00
2016-08-04,2700.00,2800.00,2700.00,2700.00,800,2700.00
2016-08-03,3000.00,3000.00,3000.00,3000.00,000,3000.00
2016-08-02,3100.00,3100.00,3000.00,3000.00,1600,3000.00
2016-08-01,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-07-29,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-07-28,2750.00,2850.00,2750.00,2750.00,1700,2750.00
2016-07-27,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-07-26,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-07-25,2750.00,2750.00,2750.00,2750.00,000,2750.00
2016-07-22,2750.00,2750.00,2750.00,2750.00,200,2750.00
2016-07-21,2880.00,2880.00,2790.00,2790.00,2400,2790.00
2016-07-20,3100.00,3100.00,3100.00,3100.00,000,3100.00
2016-07-19,3100.00,3100.00,3100.00,3100.00,000,3100.00
2016-07-18,3100.00,3100.00,3100.00,3100.00,000,3100.00
2016-07-15,3100.00,3100.00,3100.00,3100.00,000,3100.00
2016-07-14,3100.00,3100.00,3100.00,3100.00,100,3100.00
2016-07-13,2550.00,2580.00,2550.00,2550.00,1800,2550.00
2016-07-12,2880.00,2880.00,2790.00,2790.00,2400,2790.00
2016-07-11,3100.00,3100.00,3100.00,3100.00,100,3100.00
2016-07-08,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-07-07,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-07-06,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-07-05,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-07-04,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-07-01,2490.00,2490.00,2490.00,2490.00,000,2490.00
2016-06-30,2680.00,2680.00,2490.00,2490.00,1400,2490.00
2016-06-28,2880.00,2880.00,2760.00,2760.00,400,2760.00
2016-06-27,3240.00,3240.00,2920.00,2920.00,1100,2920.00
2016-06-24,3240.00,3240.00,3240.00,3240.00,000,3240.00
2016-06-23,3240.00,3240.00,3240.00,3240.00,000,3240.00
2016-06-22,3240.00,3240.00,3240.00,3240.00,000,3240.00
2016-06-21,3240.00,3240.00,3240.00,3240.00,000,3240.00
2016-06-20,3240.00,3240.00,3240.00,3240.00,000,3240.00
2016-06-17,3240.00,3240.00,3240.00,3240.00,000,3240.00
2016-06-16,3240.00,3240.00,3240.00,3240.00,000,3240.00
