Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,99.00,99.00,96.00,96.00,1988300,96.00
2017-01-31,99.00,107.00,98.00,99.00,76273400,99.00
2017-01-30,92.00,105.00,92.00,101.00,62757200,101.00
2017-01-27,92.00,94.00,91.00,92.00,7479800,92.00
2017-01-26,93.00,97.00,89.00,91.00,5937200,91.00
2017-01-25,88.00,108.00,87.00,93.00,136983000,93.00
2017-01-24,84.00,92.00,83.00,86.00,19832900,86.00
2017-01-23,80.00,101.00,80.00,83.00,115114000,83.00
2017-01-20,81.00,81.00,75.00,80.00,6640600,80.00
2017-01-19,75.00,90.00,74.00,80.00,88806000,80.00
2017-01-18,73.00,76.00,72.00,74.00,7026100,74.00
2017-01-17,73.00,78.00,71.00,73.00,23943800,73.00
2017-01-16,69.00,73.00,68.00,73.00,8639900,73.00
2017-01-13,69.00,79.00,65.00,69.00,93776600,69.00
2017-01-12,62.00,79.00,59.00,68.00,41211500,68.00
2017-01-11,58.00,62.00,57.00,62.00,398000,62.00
2017-01-10,58.00,62.00,57.00,58.00,993000,58.00
2017-01-09,58.00,77.00,58.00,58.00,3665900,58.00
2017-01-06,58.00,58.00,58.00,58.00,000,58.00
2017-01-05,58.00,58.00,58.00,58.00,100,58.00
2017-01-04,68.00,68.00,67.00,67.00,100,67.00
2017-01-03,69.00,83.00,67.00,68.00,26800,68.00
2017-01-02,66.00,66.00,66.00,66.00,000,66.00
2016-12-30,70.00,70.00,63.00,66.00,2700,66.00
2016-12-29,85.00,85.00,69.00,69.00,1316700,69.00
2016-12-28,70.00,80.00,69.00,69.00,15800,69.00
2016-12-27,85.00,85.00,71.00,71.00,1500,71.00
2016-12-26,70.00,70.00,70.00,70.00,000,70.00
2016-12-23,85.00,85.00,70.00,70.00,8400,70.00
2016-12-22,85.00,85.00,71.00,71.00,600,71.00
2016-12-21,82.00,82.00,74.00,75.00,17700,75.00
2016-12-20,69.00,84.00,69.00,82.00,2600,82.00
2016-12-19,69.00,69.00,69.00,69.00,000,69.00
2016-12-16,68.00,74.00,68.00,69.00,10900,69.00
2016-12-15,68.00,68.00,68.00,68.00,000,68.00
2016-12-14,68.00,68.00,68.00,68.00,100,68.00
2016-12-13,71.00,71.00,69.00,69.00,7100,69.00
2016-12-12,71.00,71.00,71.00,71.00,000,71.00
2016-12-09,71.00,71.00,71.00,71.00,000,71.00
2016-12-08,71.00,71.00,71.00,71.00,100,71.00
2016-12-07,75.00,75.00,75.00,75.00,000,75.00
2016-12-06,75.00,75.00,75.00,75.00,8000,75.00
2016-12-05,75.00,75.00,75.00,75.00,000,75.00
2016-12-02,70.00,75.00,70.00,75.00,50100,75.00
2016-12-01,74.00,74.00,74.00,74.00,8500,74.00
2016-11-30,89.00,89.00,74.00,74.00,5700,74.00
2016-11-29,84.00,87.00,81.00,81.00,101200,81.00
2016-11-28,99.00,99.00,90.00,90.00,200,90.00
2016-11-25,99.00,99.00,99.00,99.00,000,99.00
2016-11-24,99.00,99.00,99.00,99.00,000,99.00
2016-11-23,99.00,99.00,99.00,99.00,000,99.00
2016-11-22,90.00,99.00,90.00,99.00,2000,99.00
2016-11-21,78.00,80.00,76.00,80.00,12800,80.00
2016-11-18,85.00,85.00,78.00,78.00,200,78.00
2016-11-17,78.00,78.00,78.00,78.00,000,78.00
2016-11-16,86.00,86.00,78.00,78.00,100,78.00
2016-11-15,78.00,86.00,78.00,86.00,21100,86.00
2016-11-14,86.00,86.00,86.00,86.00,100,86.00
2016-11-11,75.00,75.00,75.00,75.00,000,75.00
2016-11-10,75.00,75.00,75.00,75.00,000,75.00
2016-11-09,75.00,75.00,75.00,75.00,200,75.00
2016-11-08,76.00,76.00,76.00,76.00,000,76.00
2016-11-07,76.00,76.00,74.00,76.00,10300,76.00
2016-11-04,76.00,76.00,76.00,76.00,100,76.00
2016-11-03,76.00,76.00,76.00,76.00,100,76.00
2016-11-02,77.00,77.00,77.00,77.00,200,77.00
2016-11-01,84.00,87.00,77.00,77.00,40500,77.00
2016-10-31,79.00,84.00,79.00,84.00,11800,84.00
2016-10-28,72.00,76.00,72.00,76.00,200,76.00
2016-10-27,83.00,83.00,77.00,77.00,400,77.00
2016-10-26,72.00,72.00,72.00,72.00,8200,72.00
2016-10-25,78.00,78.00,78.00,78.00,100,78.00
2016-10-24,77.00,77.00,72.00,72.00,200,72.00
2016-10-21,77.00,77.00,77.00,77.00,000,77.00
2016-10-20,77.00,77.00,77.00,77.00,000,77.00
2016-10-19,77.00,77.00,77.00,77.00,1000,77.00
2016-10-18,77.00,77.00,77.00,77.00,000,77.00
2016-10-17,73.00,77.00,73.00,77.00,1900,77.00
2016-10-14,73.00,73.00,73.00,73.00,000,73.00
2016-10-13,73.00,74.00,73.00,73.00,15200,73.00
2016-10-12,75.00,75.00,73.00,73.00,10700,73.00
2016-10-11,75.00,75.00,75.00,75.00,4300,75.00
2016-10-10,83.00,83.00,75.00,75.00,1300,75.00
2016-10-07,77.00,83.00,75.00,83.00,10100,83.00
