Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,50.00,55.00,50.00,52.00,39902000,52.00
2017-01-31,50.00,50.00,50.00,50.00,15000,50.00
2017-01-30,50.00,51.00,50.00,50.00,471700,50.00
2017-01-27,50.00,51.00,50.00,50.00,2127900,50.00
2017-01-26,51.00,51.00,50.00,50.00,437900,50.00
2017-01-25,51.00,51.00,50.00,51.00,557600,51.00
2017-01-24,51.00,52.00,50.00,50.00,2203800,50.00
2017-01-23,50.00,53.00,50.00,51.00,14051800,51.00
2017-01-20,51.00,51.00,50.00,50.00,454200,50.00
2017-01-19,50.00,54.00,50.00,50.00,4610000,50.00
2017-01-18,50.00,50.00,50.00,50.00,100,50.00
2017-01-17,50.00,50.00,50.00,50.00,200,50.00
2017-01-16,50.00,50.00,50.00,50.00,3100,50.00
2017-01-13,50.00,50.00,50.00,50.00,25500,50.00
2017-01-12,50.00,51.00,50.00,50.00,204500,50.00
2017-01-11,50.00,50.00,50.00,50.00,24800,50.00
2017-01-10,50.00,50.00,50.00,50.00,10400,50.00
2017-01-09,50.00,51.00,50.00,50.00,65100,50.00
2017-01-06,51.00,51.00,50.00,50.00,105000,50.00
2017-01-05,50.00,51.00,50.00,51.00,10100,51.00
2017-01-04,50.00,50.00,50.00,50.00,000,50.00
2017-01-03,50.00,50.00,50.00,50.00,300,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,100,50.00
2016-12-29,50.00,50.00,50.00,50.00,200,50.00
2016-12-28,50.00,50.00,50.00,50.00,66500,50.00
2016-12-27,50.00,50.00,50.00,50.00,100,50.00
2016-12-26,51.00,51.00,51.00,51.00,000,51.00
2016-12-23,51.00,51.00,51.00,51.00,000,51.00
2016-12-22,51.00,51.00,51.00,51.00,000,51.00
2016-12-21,50.00,51.00,50.00,51.00,100,51.00
2016-12-20,50.00,50.00,50.00,50.00,40300,50.00
2016-12-19,50.00,50.00,50.00,50.00,51700,50.00
2016-12-16,50.00,51.00,50.00,51.00,5000,51.00
2016-12-15,50.00,50.00,50.00,50.00,000,50.00
2016-12-14,50.00,50.00,50.00,50.00,000,50.00
2016-12-13,52.00,52.00,50.00,50.00,230200,50.00
2016-12-12,52.00,52.00,52.00,52.00,000,52.00
2016-12-09,52.00,52.00,52.00,52.00,100,52.00
2016-12-08,52.00,52.00,51.00,51.00,20100,51.00
2016-12-07,51.00,51.00,51.00,51.00,13500,51.00
2016-12-06,51.00,52.00,50.00,51.00,160800,51.00
2016-12-05,51.00,51.00,51.00,51.00,800,51.00
2016-12-02,51.00,51.00,50.00,51.00,1302100,51.00
2016-12-01,52.00,53.00,52.00,52.00,111000,52.00
2016-11-30,52.00,52.00,52.00,52.00,100,52.00
2016-11-29,50.00,51.00,50.00,51.00,50500,51.00
2016-11-28,50.00,50.00,50.00,50.00,000,50.00
2016-11-25,51.00,51.00,50.00,50.00,34900,50.00
2016-11-24,51.00,51.00,51.00,51.00,100,51.00
2016-11-23,51.00,51.00,50.00,51.00,97100,51.00
2016-11-22,50.00,52.00,50.00,51.00,9200,51.00
2016-11-21,52.00,51.00,51.00,51.00,5000,51.00
2016-11-18,52.00,52.00,52.00,52.00,000,52.00
2016-11-17,50.00,55.00,50.00,52.00,517800,52.00
2016-11-16,50.00,51.00,50.00,51.00,100,51.00
2016-11-15,50.00,50.00,50.00,50.00,20500,50.00
2016-11-14,52.00,52.00,50.00,50.00,1300,50.00
2016-11-11,50.00,50.00,50.00,50.00,2700,50.00
2016-11-10,52.00,52.00,51.00,51.00,300,51.00
2016-11-09,50.00,50.00,50.00,50.00,66700,50.00
2016-11-08,51.00,51.00,51.00,51.00,000,51.00
2016-11-07,51.00,51.00,51.00,51.00,000,51.00
2016-11-04,52.00,52.00,51.00,51.00,5200,51.00
2016-11-03,52.00,52.00,52.00,52.00,100,52.00
2016-11-02,50.00,50.00,50.00,50.00,62000,50.00
2016-11-01,51.00,51.00,51.00,51.00,000,51.00
