Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,4160.00,4260.00,4100.00,4130.00,2154900,4130.00
2017-01-31,4160.00,4300.00,4160.00,4160.00,3002400,4160.00
2017-01-30,4270.00,4310.00,4170.00,4280.00,561100,4280.00
2017-01-27,4210.00,4280.00,4120.00,4270.00,923700,4270.00
2017-01-26,4210.00,4240.00,4200.00,4230.00,1708600,4230.00
2017-01-25,4180.00,4220.00,4130.00,4210.00,2415200,4210.00
2017-01-24,4140.00,4140.00,4050.00,4140.00,3289700,4140.00
2017-01-23,4100.00,4180.00,4000.00,4070.00,1257900,4070.00
2017-01-20,4150.00,4180.00,4090.00,4100.00,3221900,4100.00
2017-01-19,4000.00,4180.00,4000.00,4180.00,3066900,4180.00
2017-01-18,3800.00,4070.00,3800.00,4040.00,6486700,4040.00
2017-01-17,3680.00,3800.00,3680.00,3800.00,3442300,3800.00
2017-01-16,3650.00,3740.00,3650.00,3680.00,1625500,3680.00
2017-01-13,3800.00,3800.00,3650.00,3650.00,1923600,3650.00
2017-01-12,3690.00,3760.00,3680.00,3750.00,1267500,3750.00
2017-01-11,3670.00,3700.00,3620.00,3690.00,698900,3690.00
2017-01-10,3650.00,3670.00,3580.00,3670.00,1321700,3670.00
2017-01-09,3620.00,3660.00,3560.00,3650.00,1334100,3650.00
2017-01-06,3750.00,3750.00,3610.00,3620.00,2274800,3620.00
2017-01-05,3730.00,3730.00,3650.00,3730.00,712400,3730.00
2017-01-04,3660.00,3750.00,3660.00,3690.00,1850800,3690.00
2017-01-03,3710.00,3710.00,3640.00,3660.00,803000,3660.00
2017-01-02,3710.00,3710.00,3710.00,3710.00,000,3710.00
2016-12-30,3570.00,3760.00,3570.00,3710.00,2824500,3710.00
2016-12-29,3530.00,3630.00,3500.00,3610.00,2533900,3610.00
2016-12-28,3400.00,3570.00,3380.00,3530.00,883300,3530.00
2016-12-27,3310.00,3380.00,3310.00,3380.00,464100,3380.00
2016-12-26,3330.00,3330.00,3330.00,3330.00,000,3330.00
2016-12-23,3320.00,3360.00,3310.00,3330.00,1266300,3330.00
2016-12-22,3310.00,3350.00,3300.00,3320.00,1833000,3320.00
2016-12-21,3380.00,3400.00,3310.00,3310.00,1081900,3310.00
2016-12-20,3390.00,3400.00,3350.00,3380.00,921200,3380.00
2016-12-19,3450.00,3480.00,3390.00,3390.00,999100,3390.00
2016-12-16,3390.00,3470.00,3330.00,3470.00,4069700,3470.00
2016-12-15,3350.00,3390.00,3330.00,3390.00,1243400,3390.00
2016-12-14,3380.00,3400.00,3330.00,3350.00,1012400,3350.00
2016-12-13,3370.00,3400.00,3340.00,3400.00,1213400,3400.00
2016-12-12,3370.00,3370.00,3370.00,3370.00,000,3370.00
2016-12-09,3380.00,3380.00,3350.00,3370.00,904900,3370.00
2016-12-08,3390.00,3410.00,3340.00,3380.00,2210900,3380.00
2016-12-07,3440.00,3440.00,3350.00,3360.00,1444500,3360.00
2016-12-06,3400.00,3400.00,3350.00,3370.00,1175900,3370.00
2016-12-05,3350.00,3420.00,3350.00,3400.00,1170700,3400.00
2016-12-02,3330.00,3410.00,3300.00,3350.00,1876500,3350.00
2016-12-01,3250.00,3380.00,3250.00,3360.00,817600,3360.00
2016-11-30,3330.00,3350.00,3250.00,3250.00,5283000,3250.00
2016-11-29,3250.00,3360.00,3250.00,3260.00,1280400,3260.00
2016-11-28,3320.00,3350.00,3290.00,3290.00,2017300,3290.00
2016-11-25,3350.00,3410.00,3320.00,3320.00,917500,3320.00
2016-11-24,3500.00,3550.00,3400.00,3420.00,573200,3420.00
2016-11-23,3490.00,3560.00,3470.00,3550.00,1339200,3550.00
2016-11-22,3480.00,3490.00,3430.00,3460.00,265900,3460.00
2016-11-21,3480.00,3540.00,3360.00,3520.00,1398700,3520.00
2016-11-18,3400.00,3540.00,3350.00,3480.00,1788400,3480.00
2016-11-17,3350.00,3430.00,3350.00,3420.00,1050700,3420.00
2016-11-16,3310.00,3380.00,3300.00,3340.00,1525200,3340.00
2016-11-15,3320.00,3410.00,3300.00,3310.00,3884600,3310.00
2016-11-14,3620.00,3620.00,3420.00,3420.00,3800900,3420.00
2016-11-11,3710.00,3760.00,3600.00,3620.00,4766700,3620.00
2016-11-10,3790.00,3810.00,3750.00,3760.00,2993900,3760.00
2016-11-09,3800.00,3820.00,3720.00,3750.00,1642100,3750.00
2016-11-08,3810.00,3840.00,3770.00,3800.00,1522300,3800.00
2016-11-07,3780.00,3830.00,3750.00,3760.00,3161300,3760.00
2016-11-04,3790.00,3850.00,3780.00,3780.00,2511200,3780.00
2016-11-03,3790.00,3810.00,3780.00,3790.00,2103700,3790.00
2016-11-02,3800.00,3820.00,3770.00,3790.00,2426600,3790.00
2016-11-01,3860.00,3870.00,3800.00,3800.00,507800,3800.00
2016-10-31,3830.00,3860.00,3800.00,3860.00,1173700,3860.00
2016-10-28,3860.00,3890.00,3810.00,3830.00,736600,3830.00
2016-10-27,3810.00,3920.00,3780.00,3920.00,929000,3920.00
2016-10-26,3900.00,3900.00,3810.00,3810.00,1198100,3810.00
2016-10-25,3960.00,3980.00,3870.00,3870.00,667200,3870.00
2016-10-24,3950.00,3980.00,3910.00,3980.00,771600,3980.00
2016-10-21,3880.00,3950.00,3850.00,3950.00,846100,3950.00
2016-10-20,3900.00,3910.00,3870.00,3870.00,108500,3870.00
2016-10-19,3990.00,3990.00,3880.00,3880.00,806700,3880.00
2016-10-18,4000.00,4050.00,3920.00,3920.00,1253200,3920.00
2016-10-17,3990.00,4040.00,3970.00,4000.00,462400,4000.00
2016-10-14,3980.00,4050.00,3950.00,3980.00,1363800,3980.00
2016-10-13,4000.00,4030.00,3950.00,3980.00,929500,3980.00
2016-10-12,3950.00,4000.00,3900.00,4000.00,1153600,4000.00
2016-10-11,3810.00,3970.00,3810.00,3960.00,1036000,3960.00
2016-10-10,3840.00,3870.00,3810.00,3810.00,198000,3810.00
2016-10-07,3900.00,3900.00,3810.00,3840.00,1753000,3840.00
2016-10-06,4040.00,4040.00,3880.00,3890.00,1491300,3890.00
2016-10-05,4030.00,4040.00,3960.00,4040.00,1232200,4040.00
2016-10-04,4090.00,4090.00,3990.00,4070.00,513400,4070.00
2016-10-03,4010.00,4090.00,3990.00,4090.00,652000,4090.00
2016-09-30,4050.00,4070.00,3970.00,4050.00,2764700,4050.00
2016-09-29,4000.00,4050.00,4000.00,4050.00,2403200,4050.00
2016-09-28,3970.00,4000.00,3920.00,4000.00,1310100,4000.00
2016-09-27,4000.00,4000.00,3900.00,3970.00,2449400,3970.00
2016-09-26,4000.00,4010.00,3900.00,4000.00,956400,4000.00
2016-09-23,4000.00,4000.00,3900.00,4000.00,2443500,4000.00
2016-09-22,3810.00,3920.00,3810.00,3910.00,2159100,3910.00
2016-09-21,3810.00,3860.00,3800.00,3810.00,2122400,3810.00
2016-09-20,3940.00,3940.00,3800.00,3840.00,1700100,3840.00
2016-09-19,3700.00,3950.00,3700.00,3950.00,2998200,3950.00
2016-09-16,3700.00,3750.00,3700.00,3700.00,3196500,3700.00
2016-09-15,3660.00,3730.00,3600.00,3700.00,5958600,3700.00
2016-09-14,3750.00,3750.00,3600.00,3650.00,2185100,3650.00
2016-09-13,3670.00,3740.00,3670.00,3700.00,1514700,3700.00
2016-09-12,3680.00,3680.00,3680.00,3680.00,000,3680.00
2016-09-09,3840.00,3840.00,3680.00,3680.00,1566500,3680.00
2016-09-08,3870.00,3900.00,3770.00,3800.00,2561900,3800.00
2016-09-07,3920.00,3980.00,3780.00,3870.00,2514700,3870.00
2016-09-06,3950.00,3970.00,3910.00,3950.00,751900,3950.00
2016-09-05,3970.00,4000.00,3910.00,3950.00,881300,3950.00
2016-09-02,3900.00,4020.00,3870.00,3960.00,1649300,3960.00
2016-09-01,4080.00,4090.00,3880.00,3900.00,3031300,3900.00
2016-08-31,3930.00,4080.00,3860.00,4080.00,7288000,4080.00
2016-08-30,4030.00,4040.00,3840.00,3930.00,3062900,3930.00
2016-08-29,3900.00,4060.00,3790.00,4000.00,10886500,4000.00
2016-08-26,3750.00,3900.00,3680.00,3880.00,7029500,3880.00
2016-08-25,3550.00,3750.00,3550.00,3750.00,11492600,3750.00
2016-08-24,3480.00,3590.00,3440.00,3590.00,3386500,3590.00
2016-08-23,3430.00,3480.00,3410.00,3470.00,4101800,3470.00
2016-08-22,3420.00,3460.00,3360.00,3460.00,3763200,3460.00
2016-08-19,3470.00,3500.00,3420.00,3420.00,2785900,3420.00
2016-08-18,3540.00,3540.00,3450.00,3470.00,6438200,3470.00
