Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1805.00,1805.00,1805.00,1805.00,400,1805.00
2017-01-31,1805.00,1825.00,1800.00,1805.00,407300,1805.00
2017-01-30,1780.00,1820.00,1765.00,1805.00,267200,1805.00
2017-01-27,1795.00,1795.00,1750.00,1780.00,14700,1780.00
2017-01-26,1795.00,1795.00,1760.00,1795.00,70300,1795.00
2017-01-25,1795.00,1805.00,1785.00,1795.00,13100,1795.00
2017-01-24,1765.00,1810.00,1760.00,1785.00,781500,1785.00
2017-01-23,1775.00,1785.00,1735.00,1735.00,57500,1735.00
2017-01-20,1735.00,1775.00,1730.00,1775.00,131400,1775.00
2017-01-19,1750.00,1770.00,1745.00,1760.00,14600,1760.00
2017-01-18,1785.00,1785.00,1730.00,1740.00,268400,1740.00
2017-01-17,1765.00,1785.00,1765.00,1785.00,200,1785.00
2017-01-16,1755.00,1765.00,1740.00,1765.00,18800,1765.00
2017-01-13,1780.00,1785.00,1730.00,1755.00,140200,1755.00
2017-01-12,1790.00,1790.00,1740.00,1780.00,290500,1780.00
2017-01-11,1780.00,1820.00,1780.00,1790.00,120300,1790.00
2017-01-10,1780.00,1780.00,1755.00,1780.00,188100,1780.00
2017-01-09,1785.00,1825.00,1780.00,1780.00,15400,1780.00
2017-01-06,1820.00,1830.00,1780.00,1785.00,319900,1785.00
2017-01-05,1790.00,1820.00,1790.00,1790.00,158200,1790.00
2017-01-04,1820.00,1820.00,1780.00,1790.00,88400,1790.00
2017-01-03,1910.00,1910.00,1820.00,1820.00,3300,1820.00
2017-01-02,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-30,1830.00,1900.00,1800.00,1900.00,1413000,1900.00
2016-12-29,1825.00,1830.00,1795.00,1830.00,918900,1830.00
2016-12-28,1815.00,1830.00,1805.00,1825.00,227600,1825.00
2016-12-27,1805.00,1805.00,1790.00,1790.00,46200,1790.00
2016-12-26,1805.00,1805.00,1805.00,1805.00,000,1805.00
2016-12-23,1825.00,1825.00,1800.00,1805.00,128100,1805.00
2016-12-22,1835.00,1835.00,1825.00,1825.00,643100,1825.00
2016-12-21,1830.00,1910.00,1830.00,1835.00,767100,1835.00
2016-12-20,1855.00,1855.00,1830.00,1830.00,174800,1830.00
2016-12-19,1940.00,1940.00,1850.00,1855.00,28100,1855.00
2016-12-16,1835.00,1940.00,1830.00,1940.00,681600,1940.00
2016-12-15,1835.00,1875.00,1835.00,1835.00,147500,1835.00
2016-12-14,1860.00,1920.00,1830.00,1850.00,406900,1850.00
2016-12-13,1830.00,1865.00,1830.00,1850.00,491200,1850.00
2016-12-12,1830.00,1830.00,1830.00,1830.00,000,1830.00
2016-12-09,1840.00,1840.00,1830.00,1830.00,88600,1830.00
2016-12-08,1830.00,1835.00,1830.00,1830.00,1294800,1830.00
2016-12-07,1845.00,1845.00,1830.00,1830.00,1402900,1830.00
2016-12-06,1840.00,1850.00,1830.00,1845.00,53700,1845.00
2016-12-05,1820.00,1830.00,1820.00,1830.00,143900,1830.00
2016-12-02,1800.00,1820.00,1760.00,1805.00,217800,1805.00
2016-12-01,1825.00,1850.00,1780.00,1805.00,351700,1805.00
2016-11-30,1920.00,1950.00,1820.00,1825.00,3848500,1825.00
2016-11-29,1850.00,1900.00,1840.00,1900.00,404400,1900.00
2016-11-28,1860.00,1860.00,1815.00,1850.00,337500,1850.00
2016-11-25,1850.00,1860.00,1850.00,1860.00,153900,1860.00
2016-11-24,1855.00,1860.00,1825.00,1850.00,77600,1850.00
2016-11-23,1855.00,1865.00,1820.00,1860.00,4998700,1860.00
2016-11-22,1790.00,1850.00,1785.00,1845.00,360800,1845.00
2016-11-21,1765.00,1790.00,1730.00,1790.00,402500,1790.00
2016-11-18,1725.00,1795.00,1695.00,1765.00,293100,1765.00
2016-11-17,1725.00,1735.00,1720.00,1720.00,20800,1720.00
2016-11-16,1690.00,1780.00,1690.00,1745.00,992000,1745.00
2016-11-15,1750.00,1755.00,1690.00,1690.00,705500,1690.00
2016-11-14,1790.00,1800.00,1740.00,1755.00,1109200,1755.00
2016-11-11,1950.00,1950.00,1800.00,1820.00,431700,1820.00
2016-11-10,1955.00,1955.00,1940.00,1950.00,116300,1950.00
2016-11-09,1905.00,1965.00,1880.00,1955.00,537100,1955.00
2016-11-08,1885.00,1910.00,1885.00,1905.00,72900,1905.00
2016-11-07,1930.00,1930.00,1860.00,1880.00,339200,1880.00
2016-11-04,1940.00,1960.00,1870.00,1930.00,259100,1930.00
2016-11-03,1990.00,1990.00,1920.00,1940.00,541400,1940.00
2016-11-02,1985.00,1995.00,1935.00,1990.00,232700,1990.00
2016-11-01,2000.00,2010.00,1985.00,1985.00,851300,1985.00
2016-10-31,1995.00,2000.00,1955.00,2000.00,213500,2000.00
2016-10-28,2000.00,2040.00,1985.00,1995.00,66000,1995.00
2016-10-27,1985.00,2000.00,1980.00,1995.00,289000,1995.00
2016-10-26,1945.00,1990.00,1945.00,1985.00,352800,1985.00
2016-10-25,1950.00,1960.00,1930.00,1940.00,314900,1940.00
2016-10-24,1915.00,1950.00,1910.00,1950.00,791500,1950.00
2016-10-21,1920.00,1940.00,1915.00,1915.00,230800,1915.00
2016-10-20,1940.00,1945.00,1920.00,1920.00,464100,1920.00
2016-10-19,2050.00,2050.00,1940.00,1940.00,526400,1940.00
2016-10-18,1995.00,2070.00,1995.00,2010.00,1671100,2010.00
2016-10-17,1865.00,1990.00,1865.00,1960.00,1659000,1960.00
2016-10-14,1835.00,1850.00,1830.00,1845.00,111000,1845.00
2016-10-13,1830.00,1850.00,1830.00,1835.00,621900,1835.00
2016-10-12,1830.00,1850.00,1810.00,1830.00,726700,1830.00
2016-10-11,1790.00,1830.00,1770.00,1830.00,447700,1830.00
2016-10-10,1760.00,1790.00,1755.00,1790.00,228600,1790.00
2016-10-07,1730.00,1770.00,1730.00,1760.00,54400,1760.00
2016-10-06,1770.00,1770.00,1725.00,1740.00,862300,1740.00
2016-10-05,1740.00,1780.00,1730.00,1730.00,966200,1730.00
2016-10-04,1820.00,1820.00,1725.00,1780.00,164000,1780.00
2016-10-03,1800.00,1850.00,1800.00,1820.00,146700,1820.00
2016-09-30,1870.00,1870.00,1800.00,1800.00,440800,1800.00
2016-09-29,1870.00,1880.00,1825.00,1870.00,794600,1870.00
2016-09-28,1890.00,1910.00,1835.00,1870.00,312800,1870.00
2016-09-27,1875.00,1915.00,1870.00,1890.00,2144300,1890.00
2016-09-26,1825.00,1900.00,1800.00,1875.00,6913000,1875.00
2016-09-23,1825.00,1825.00,1740.00,1825.00,2258400,1825.00
2016-09-22,1755.00,1780.00,1735.00,1740.00,419100,1740.00
2016-09-21,1760.00,1760.00,1720.00,1755.00,79200,1755.00
2016-09-20,1745.00,1770.00,1700.00,1760.00,444900,1760.00
2016-09-19,1740.00,1790.00,1740.00,1745.00,66800,1745.00
2016-09-16,1770.00,1795.00,1735.00,1735.00,1015400,1735.00
2016-09-15,1760.00,1775.00,1705.00,1770.00,392900,1770.00
2016-09-14,1725.00,1760.00,1575.00,1760.00,766300,1760.00
2016-09-13,1800.00,1825.00,1720.00,1750.00,62000,1750.00
2016-09-12,1800.00,1800.00,1800.00,1800.00,000,1800.00
2016-09-09,1810.00,1810.00,1795.00,1800.00,286700,1800.00
2016-09-08,1820.00,1825.00,1790.00,1810.00,410300,1810.00
2016-09-07,1825.00,1830.00,1810.00,1810.00,542300,1810.00
2016-09-06,1820.00,1830.00,1810.00,1810.00,581800,1810.00
2016-09-05,1800.00,1830.00,1800.00,1820.00,771800,1820.00
2016-09-02,1800.00,1810.00,1780.00,1800.00,628400,1800.00
2016-09-01,1760.00,1825.00,1700.00,1785.00,797000,1785.00
2016-08-31,1725.00,1760.00,1725.00,1760.00,5420000,1760.00
2016-08-30,1745.00,1760.00,1725.00,1725.00,1108500,1725.00
2016-08-29,1750.00,1770.00,1730.00,1745.00,210300,1745.00
2016-08-26,1760.00,1760.00,1750.00,1750.00,28600,1750.00
2016-08-25,1770.00,1790.00,1760.00,1770.00,404000,1770.00
2016-08-24,1790.00,1790.00,1760.00,1770.00,2094000,1770.00
