Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,96.00,96.00,96.00,96.00,000,96.00
2017-01-31,96.00,106.00,96.00,96.00,50000,96.00
2017-01-30,116.00,116.00,116.00,116.00,000,116.00
2017-01-27,116.00,116.00,116.00,116.00,000,116.00
2017-01-26,116.00,116.00,116.00,116.00,000,116.00
2017-01-25,116.00,116.00,116.00,116.00,000,116.00
2017-01-24,116.00,116.00,116.00,116.00,2000,116.00
2017-01-23,116.00,116.00,116.00,116.00,300,116.00
2017-01-20,116.00,116.00,116.00,116.00,000,116.00
2017-01-19,117.00,117.00,116.00,116.00,889500,116.00
2017-01-18,116.00,116.00,116.00,116.00,800,116.00
2017-01-17,116.00,116.00,116.00,116.00,000,116.00
2017-01-16,116.00,116.00,116.00,116.00,100,116.00
2017-01-13,116.00,116.00,116.00,116.00,100,116.00
2017-01-12,125.00,125.00,125.00,125.00,000,125.00
2017-01-11,125.00,125.00,125.00,125.00,000,125.00
2017-01-10,125.00,125.00,125.00,125.00,100,125.00
2017-01-09,125.00,125.00,125.00,125.00,000,125.00
2017-01-06,126.00,145.00,125.00,125.00,23800,125.00
2017-01-05,145.00,145.00,145.00,145.00,000,145.00
2017-01-04,145.00,145.00,145.00,145.00,000,145.00
2017-01-03,145.00,145.00,145.00,145.00,100,145.00
2017-01-02,145.00,145.00,145.00,145.00,000,145.00
2016-12-30,145.00,145.00,145.00,145.00,000,145.00
2016-12-29,145.00,145.00,145.00,145.00,000,145.00
2016-12-28,145.00,145.00,145.00,145.00,100,145.00
2016-12-27,145.00,145.00,145.00,145.00,000,145.00
2016-12-26,145.00,145.00,145.00,145.00,000,145.00
2016-12-23,145.00,145.00,145.00,145.00,000,145.00
2016-12-22,145.00,145.00,145.00,145.00,000,145.00
2016-12-21,145.00,145.00,145.00,145.00,000,145.00
2016-12-20,145.00,145.00,145.00,145.00,100,145.00
2016-12-19,145.00,145.00,145.00,145.00,000,145.00
2016-12-16,145.00,145.00,145.00,145.00,000,145.00
2016-12-15,145.00,145.00,145.00,145.00,000,145.00
2016-12-14,145.00,145.00,145.00,145.00,000,145.00
2016-12-13,145.00,145.00,145.00,145.00,000,145.00
2016-12-12,145.00,145.00,145.00,145.00,000,145.00
2016-12-09,145.00,145.00,145.00,145.00,000,145.00
2016-12-08,145.00,145.00,145.00,145.00,000,145.00
2016-12-07,145.00,145.00,145.00,145.00,000,145.00
2016-12-06,145.00,145.00,145.00,145.00,000,145.00
2016-12-05,145.00,145.00,145.00,145.00,000,145.00
2016-12-02,145.00,145.00,145.00,145.00,000,145.00
2016-12-01,145.00,145.00,145.00,145.00,000,145.00
2016-11-30,145.00,145.00,145.00,145.00,000,145.00
2016-11-29,145.00,145.00,145.00,145.00,000,145.00
2016-11-28,145.00,145.00,145.00,145.00,000,145.00
2016-11-25,115.00,150.00,115.00,145.00,4500,145.00
2016-11-24,125.00,125.00,125.00,125.00,000,125.00
2016-11-23,125.00,125.00,125.00,125.00,000,125.00
2016-11-22,125.00,125.00,125.00,125.00,000,125.00
2016-11-21,135.00,135.00,125.00,125.00,9200,125.00
2016-11-18,135.00,135.00,135.00,135.00,000,135.00
2016-11-17,135.00,135.00,135.00,135.00,000,135.00
2016-11-16,135.00,135.00,135.00,135.00,000,135.00
2016-11-15,166.00,166.00,135.00,135.00,400,135.00
2016-11-14,135.00,135.00,135.00,135.00,100,135.00
2016-11-11,150.00,150.00,150.00,150.00,000,150.00
2016-11-10,156.00,156.00,150.00,150.00,10100,150.00
