Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1500.00,1505.00,1490.00,1500.00,225200,1500.00
2017-01-31,1500.00,1520.00,1490.00,1500.00,180600,1500.00
2017-01-30,1515.00,1515.00,1490.00,1500.00,178200,1500.00
2017-01-27,1535.00,1535.00,1505.00,1515.00,196600,1515.00
2017-01-26,1535.00,1545.00,1530.00,1540.00,18300,1540.00
2017-01-25,1600.00,1600.00,1530.00,1535.00,115500,1535.00
2017-01-24,1555.00,1555.00,1530.00,1540.00,91400,1540.00
2017-01-23,1555.00,1570.00,1525.00,1535.00,191300,1535.00
2017-01-20,1575.00,1595.00,1530.00,1555.00,193800,1555.00
2017-01-19,1515.00,1600.00,1505.00,1570.00,303800,1570.00
2017-01-18,1515.00,1520.00,1500.00,1510.00,260500,1510.00
2017-01-17,1520.00,1520.00,1505.00,1515.00,115500,1515.00
2017-01-16,1520.00,1545.00,1515.00,1520.00,97400,1520.00
2017-01-13,1575.00,1575.00,1520.00,1520.00,76700,1520.00
2017-01-12,1580.00,1595.00,1560.00,1570.00,142800,1570.00
2017-01-11,1630.00,1700.00,1520.00,1580.00,355500,1580.00
2017-01-10,1980.00,2030.00,1980.00,1990.00,535400,1628.18
2017-01-09,2000.00,2020.00,1980.00,1980.00,397000,1620.00
2017-01-06,2020.00,2020.00,1940.00,2000.00,229600,1636.36
2017-01-05,2070.00,2090.00,1980.00,2000.00,593100,1636.36
2017-01-04,1940.00,2090.00,1940.00,2050.00,949700,1677.27
2017-01-03,1800.00,1980.00,1790.00,1940.00,806600,1587.27
2017-01-02,1790.00,1790.00,1790.00,1790.00,000,1464.55
2016-12-30,1760.00,1820.00,1720.00,1790.00,1243100,1464.55
2016-12-29,1760.00,1765.00,1745.00,1755.00,159100,1435.91
2016-12-28,1735.00,1770.00,1730.00,1750.00,205700,1431.82
2016-12-27,1675.00,1740.00,1675.00,1735.00,332800,1419.55
2016-12-26,1660.00,1660.00,1660.00,1660.00,000,1358.18
2016-12-23,1998.33,2077.77,1980.00,2028.89,78100,1660.00
2016-12-22,1967.77,2016.66,1931.11,2016.66,1128400,1650.00
