Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1085.00,1095.00,1080.00,1085.00,2436500,1085.00
2017-01-31,1085.00,1085.00,1075.00,1085.00,2205800,1085.00
2017-01-30,1065.00,1085.00,1065.00,1080.00,2473600,1080.00
2017-01-27,1080.00,1080.00,1035.00,1065.00,3836400,1065.00
2017-01-26,1085.00,1090.00,1080.00,1080.00,2165200,1080.00
2017-01-25,1080.00,1085.00,1075.00,1085.00,2091700,1085.00
2017-01-24,1075.00,1085.00,1075.00,1080.00,2123500,1080.00
2017-01-23,1080.00,1085.00,1075.00,1075.00,2262900,1075.00
2017-01-20,1085.00,1090.00,1075.00,1080.00,2007600,1080.00
2017-01-19,1085.00,1095.00,1080.00,1085.00,2303600,1085.00
2017-01-18,1085.00,1090.00,1080.00,1085.00,2260600,1085.00
2017-01-17,1080.00,1085.00,1075.00,1085.00,2162200,1085.00
2017-01-16,1075.00,1085.00,1075.00,1080.00,2545400,1080.00
2017-01-13,1080.00,1080.00,1065.00,1075.00,2033600,1075.00
2017-01-12,1090.00,1100.00,1085.00,1085.00,2479100,1085.00
2017-01-11,1090.00,1100.00,1090.00,1090.00,2335600,1090.00
2017-01-10,1090.00,1095.00,1085.00,1090.00,2358200,1090.00
2017-01-09,1095.00,1100.00,1085.00,1090.00,2128800,1090.00
2017-01-06,1085.00,1095.00,1085.00,1095.00,2216300,1095.00
2017-01-05,1080.00,1090.00,1080.00,1085.00,2061500,1085.00
2017-01-04,1080.00,1085.00,1075.00,1080.00,2199000,1080.00
2017-01-03,1085.00,1085.00,1070.00,1080.00,2223900,1080.00
2017-01-02,1085.00,1085.00,1085.00,1085.00,000,1085.00
2016-12-30,1080.00,1085.00,1075.00,1085.00,2448600,1085.00
2016-12-29,1075.00,1085.00,1075.00,1080.00,2003600,1080.00
2016-12-28,1070.00,1075.00,1065.00,1075.00,2243500,1075.00
2016-12-27,1065.00,1075.00,1065.00,1070.00,1843100,1070.00
2016-12-26,1065.00,1065.00,1065.00,1065.00,000,1065.00
2016-12-23,1065.00,1075.00,1065.00,1065.00,2031700,1065.00
2016-12-22,1080.00,1085.00,1065.00,1065.00,2632100,1065.00
2016-12-21,1075.00,1095.00,1075.00,1080.00,4783100,1080.00
2016-12-20,1070.00,1090.00,1070.00,1075.00,3112500,1075.00
