Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,95.00,101.00,91.00,91.00,1679809000,91.00
2017-01-31,95.00,97.00,90.00,95.00,928759700,95.00
2017-01-30,89.00,101.00,89.00,95.00,2800,95.00
2017-01-27,85.00,92.00,83.00,89.00,1316297700,89.00
2017-01-26,89.00,91.00,83.00,84.00,1362446900,84.00
2017-01-25,75.00,96.00,73.00,89.00,2956144800,89.00
2017-01-24,71.00,76.00,70.00,73.00,549857600,73.00
2017-01-23,72.00,77.00,70.00,71.00,1503102400,71.00
2017-01-20,55.00,72.00,55.00,72.00,3152574800,72.00
2017-01-19,52.00,54.00,51.00,54.00,212519800,54.00
2017-01-18,51.00,54.00,51.00,51.00,190630000,51.00
2017-01-17,52.00,53.00,51.00,51.00,110763200,51.00
2017-01-16,52.00,53.00,51.00,52.00,126092400,52.00
2017-01-13,53.00,53.00,51.00,52.00,73162700,52.00
2017-01-12,53.00,56.00,51.00,52.00,697638500,52.00
2017-01-11,51.00,56.00,51.00,53.00,504281400,53.00
2017-01-10,54.00,54.00,51.00,51.00,170761700,51.00
2017-01-09,51.00,55.00,50.00,54.00,390494800,54.00
2017-01-06,51.00,53.00,50.00,51.00,214494300,51.00
2017-01-05,50.00,53.00,50.00,51.00,269274400,51.00
2017-01-04,50.00,50.00,50.00,50.00,15700,50.00
2017-01-03,50.00,50.00,50.00,50.00,1420400,50.00
2017-01-02,50.00,50.00,50.00,50.00,000,50.00
2016-12-30,50.00,50.00,50.00,50.00,5983800,50.00
2016-12-29,50.00,52.00,50.00,50.00,70303800,50.00
2016-12-28,50.00,50.00,50.00,50.00,13887000,50.00
2016-12-27,50.00,50.00,50.00,50.00,1462000,50.00
2016-12-26,50.00,50.00,50.00,50.00,000,50.00
2016-12-23,50.00,50.00,50.00,50.00,382100,50.00
2016-12-22,50.00,50.00,50.00,50.00,613000,50.00
2016-12-21,50.00,51.00,50.00,50.00,22355800,50.00
2016-12-20,50.00,52.00,50.00,50.00,132860700,50.00
2016-12-19,50.00,51.00,50.00,50.00,42926200,50.00
2016-12-16,50.00,51.00,50.00,50.00,37342600,50.00
2016-12-15,50.00,51.00,50.00,50.00,45488200,50.00
2016-12-14,51.00,52.00,50.00,50.00,170736900,50.00
2016-12-13,51.00,53.00,51.00,51.00,79462700,51.00
2016-12-12,51.00,51.00,51.00,51.00,000,51.00
2016-12-09,52.00,53.00,51.00,51.00,96798200,51.00
2016-12-08,52.00,53.00,51.00,51.00,70029200,51.00
2016-12-07,53.00,54.00,51.00,52.00,170165100,52.00
2016-12-06,55.00,56.00,53.00,53.00,161395500,53.00
2016-12-05,53.00,57.00,52.00,54.00,438057600,54.00
2016-12-02,54.00,55.00,51.00,52.00,247324400,52.00
2016-12-01,50.00,59.00,50.00,53.00,1902294800,53.00
2016-11-30,50.00,51.00,50.00,50.00,36130800,50.00
2016-11-29,51.00,53.00,50.00,50.00,212032800,50.00
2016-11-28,50.00,53.00,50.00,51.00,311880200,51.00
2016-11-25,50.00,51.00,50.00,50.00,19634300,50.00
2016-11-24,50.00,50.00,50.00,50.00,2339700,50.00
2016-11-23,51.00,51.00,50.00,50.00,51509600,50.00
2016-11-22,51.00,52.00,50.00,51.00,158463000,51.00
2016-11-21,50.00,53.00,50.00,50.00,448720200,50.00
2016-11-18,50.00,50.00,50.00,50.00,9200,50.00
2016-11-17,50.00,50.00,50.00,50.00,136000,50.00
2016-11-16,50.00,50.00,50.00,50.00,246200,50.00
2016-11-15,50.00,50.00,50.00,50.00,134000,50.00
2016-11-14,50.00,50.00,50.00,50.00,444700,50.00
2016-11-11,50.00,50.00,50.00,50.00,16159600,50.00
2016-11-10,50.00,51.00,50.00,50.00,141470300,50.00
2016-11-09,50.00,51.00,50.00,50.00,39142400,50.00
2016-11-08,51.00,52.00,50.00,50.00,189053500,50.00
2016-11-07,50.00,53.00,50.00,51.00,417344400,51.00
2016-11-04,50.00,50.00,50.00,50.00,14462300,50.00
2016-11-03,51.00,52.00,50.00,50.00,141294500,50.00
2016-11-02,54.00,56.00,50.00,51.00,847835900,51.00
2016-11-01,56.00,58.00,52.00,54.00,474512800,54.00
2016-10-31,53.00,60.00,53.00,56.00,1038613300,56.00
2016-10-28,53.00,61.00,51.00,52.00,903225700,52.00
2016-10-27,50.00,67.00,50.00,52.00,4494714400,52.00
2016-10-26,50.00,50.00,50.00,50.00,17088500,50.00
2016-10-25,50.00,50.00,50.00,50.00,55976400,50.00
2016-10-24,50.00,50.00,50.00,50.00,471300,50.00
