Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,290.00,290.00,290.00,290.00,174500,290.00
2017-01-31,290.00,290.00,270.00,290.00,63300,290.00
2017-01-30,280.00,280.00,280.00,280.00,16500,280.00
2017-01-27,292.00,292.00,286.00,292.00,290700,292.00
2017-01-26,292.00,292.00,272.00,292.00,301300,292.00
2017-01-25,286.00,292.00,274.00,292.00,6900,292.00
2017-01-24,296.00,296.00,280.00,286.00,11100,286.00
2017-01-23,256.00,296.00,250.00,296.00,497500,296.00
2017-01-20,254.00,292.00,254.00,256.00,12500,256.00
2017-01-19,274.00,294.00,272.00,274.00,157800,274.00
2017-01-18,290.00,290.00,272.00,272.00,1900,272.00
2017-01-17,280.00,290.00,280.00,290.00,37300,290.00
2017-01-16,290.00,290.00,280.00,280.00,15100,280.00
2017-01-13,320.00,320.00,286.00,290.00,205400,290.00
2017-01-12,284.00,328.00,284.00,306.00,801100,306.00
2017-01-11,254.00,298.00,254.00,284.00,808900,284.00
2017-01-10,250.00,256.00,250.00,254.00,63100,254.00
2017-01-09,244.00,250.00,244.00,250.00,188400,250.00
2017-01-06,246.00,246.00,230.00,244.00,600,244.00
2017-01-05,246.00,246.00,246.00,246.00,100,246.00
2017-01-04,238.00,246.00,226.00,244.00,1400,244.00
2017-01-03,226.00,238.00,226.00,238.00,1600,238.00
2017-01-02,240.00,240.00,240.00,240.00,000,240.00
2016-12-30,222.00,240.00,208.00,240.00,214100,240.00
2016-12-29,226.00,230.00,224.00,230.00,154900,230.00
2016-12-28,224.00,224.00,224.00,224.00,54300,224.00
2016-12-27,226.00,226.00,226.00,226.00,2100,226.00
2016-12-26,250.00,250.00,250.00,250.00,000,250.00
2016-12-23,224.00,250.00,220.00,250.00,112200,250.00
2016-12-22,226.00,226.00,226.00,226.00,40100,226.00
2016-12-21,230.00,230.00,230.00,230.00,4900,230.00
2016-12-20,236.00,236.00,230.00,230.00,34300,230.00
2016-12-19,248.00,248.00,236.00,236.00,26600,236.00
2016-12-16,250.00,250.00,240.00,250.00,93400,250.00
