Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,65.00,67.00,64.00,64.00,1443300,64.00
2017-01-31,65.00,68.00,62.00,65.00,2078400,65.00
2017-01-30,64.00,65.00,62.00,64.00,1024300,64.00
2017-01-27,64.00,65.00,63.00,64.00,1666600,64.00
2017-01-26,66.00,67.00,64.00,65.00,2851500,65.00
2017-01-25,67.00,68.00,65.00,66.00,5557200,66.00
2017-01-24,70.00,71.00,66.00,66.00,7389800,66.00
2017-01-23,66.00,78.00,66.00,69.00,340769500,69.00
2017-01-20,66.00,66.00,65.00,66.00,8240500,66.00
2017-01-19,65.00,68.00,63.00,65.00,18240400,65.00
2017-01-18,64.00,70.00,62.00,65.00,91495600,65.00
2017-01-17,64.00,68.00,61.00,64.00,31430900,64.00
2017-01-16,60.00,68.00,60.00,64.00,101034900,64.00
2017-01-13,63.00,63.00,60.00,60.00,7513700,60.00
2017-01-12,59.00,61.00,59.00,60.00,2942400,60.00
2017-01-11,60.00,64.00,59.00,59.00,2581300,59.00
2017-01-10,60.00,69.00,59.00,60.00,1022800,60.00
2017-01-09,60.00,63.00,59.00,60.00,6726500,60.00
2017-01-06,59.00,61.00,58.00,60.00,2447700,60.00
2017-01-05,59.00,59.00,59.00,59.00,793300,59.00
2017-01-04,58.00,62.00,58.00,59.00,28985000,59.00
2017-01-03,59.00,59.00,58.00,58.00,10338500,58.00
2017-01-02,58.00,58.00,58.00,58.00,000,58.00
2016-12-30,58.00,59.00,58.00,58.00,3321800,58.00
2016-12-29,60.00,60.00,58.00,58.00,7767200,58.00
2016-12-28,59.00,60.00,58.00,60.00,728500,60.00
2016-12-27,56.00,59.00,56.00,59.00,1187500,59.00
2016-12-26,56.00,56.00,56.00,56.00,000,56.00
2016-12-23,57.00,58.00,55.00,56.00,6528500,56.00
2016-12-22,56.00,58.00,55.00,57.00,2841600,57.00
2016-12-21,58.00,58.00,56.00,57.00,2513400,57.00
2016-12-20,59.00,59.00,57.00,58.00,4787200,58.00
2016-12-19,60.00,60.00,58.00,59.00,4144600,59.00
2016-12-16,61.00,64.00,60.00,61.00,42108500,61.00
2016-12-15,62.00,62.00,59.00,61.00,7690600,61.00
2016-12-14,62.00,62.00,60.00,60.00,6456300,60.00
2016-12-13,61.00,62.00,59.00,60.00,11710900,60.00
2016-12-12,61.00,61.00,61.00,61.00,000,61.00
2016-12-09,63.00,63.00,60.00,61.00,591300,61.00
2016-12-08,63.00,63.00,60.00,61.00,2136600,61.00
2016-12-07,61.00,62.00,60.00,60.00,4352300,60.00
2016-12-06,59.00,62.00,59.00,61.00,2516000,61.00
2016-12-05,59.00,61.00,59.00,59.00,43500,59.00
2016-12-02,63.00,63.00,59.00,59.00,576900,59.00
2016-12-01,60.00,65.00,60.00,60.00,1335000,60.00
2016-11-30,61.00,63.00,59.00,60.00,10924300,60.00
2016-11-29,59.00,60.00,58.00,59.00,4403200,59.00
2016-11-28,58.00,60.00,57.00,58.00,1817600,58.00
2016-11-25,62.00,62.00,58.00,58.00,5325900,58.00
2016-11-24,62.00,66.00,59.00,60.00,70701100,60.00
2016-11-23,63.00,66.00,60.00,62.00,20966200,62.00
2016-11-22,60.00,70.00,58.00,64.00,48075600,64.00
2016-11-21,57.00,58.00,57.00,58.00,1487900,58.00
2016-11-18,65.00,65.00,56.00,57.00,15483800,57.00
2016-11-17,65.00,65.00,56.00,56.00,1654500,56.00
2016-11-16,54.00,58.00,53.00,55.00,5023000,55.00
2016-11-15,56.00,56.00,54.00,54.00,1586900,54.00
2016-11-14,55.00,55.00,53.00,55.00,199300,55.00
2016-11-11,56.00,56.00,54.00,56.00,245100,56.00
2016-11-10,56.00,56.00,55.00,56.00,1710200,56.00
2016-11-09,58.00,59.00,53.00,55.00,1844200,55.00
2016-11-08,57.00,59.00,57.00,58.00,213800,58.00
2016-11-07,56.00,59.00,56.00,58.00,429100,58.00
2016-11-04,57.00,57.00,54.00,56.00,1740300,56.00
2016-11-03,56.00,57.00,55.00,57.00,691800,57.00
2016-11-02,65.00,65.00,56.00,56.00,325300,56.00
2016-11-01,56.00,58.00,55.00,56.00,371600,56.00
2016-10-31,58.00,59.00,55.00,56.00,698500,56.00
2016-10-28,65.00,65.00,56.00,58.00,1339600,58.00
2016-10-27,57.00,60.00,55.00,56.00,2017600,56.00
2016-10-26,56.00,61.00,56.00,58.00,214000,58.00
2016-10-25,59.00,61.00,58.00,59.00,1115800,59.00
2016-10-24,58.00,59.00,57.00,58.00,131000,58.00
2016-10-21,58.00,59.00,56.00,58.00,660400,58.00
2016-10-20,56.00,59.00,55.00,58.00,785200,58.00
2016-10-19,57.00,58.00,55.00,57.00,250900,57.00
2016-10-18,55.00,58.00,55.00,57.00,344000,57.00
2016-10-17,57.00,60.00,55.00,57.00,1627200,57.00
2016-10-14,57.00,57.00,55.00,56.00,697700,56.00
2016-10-13,57.00,57.00,55.00,56.00,360300,56.00
