Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2900.00,2910.00,2800.00,2850.00,9091700,2850.00
2017-01-31,2910.00,2980.00,2890.00,2910.00,17162000,2910.00
2017-01-30,2870.00,2920.00,2860.00,2890.00,8744900,2890.00
2017-01-27,2920.00,2920.00,2810.00,2870.00,7386700,2870.00
2017-01-26,2830.00,2950.00,2830.00,2910.00,13343100,2910.00
2017-01-25,2680.00,2900.00,2670.00,2830.00,21547000,2830.00
2017-01-24,2660.00,2690.00,2620.00,2680.00,2950400,2680.00
2017-01-23,2660.00,2680.00,2630.00,2630.00,4270700,2630.00
2017-01-20,2650.00,2670.00,2610.00,2660.00,7038500,2660.00
2017-01-19,2710.00,2710.00,2620.00,2650.00,6897400,2650.00
2017-01-18,2770.00,2770.00,2700.00,2720.00,8524700,2720.00
2017-01-17,2780.00,2790.00,2710.00,2770.00,6767300,2770.00
2017-01-16,2770.00,2830.00,2750.00,2780.00,7692400,2780.00
2017-01-13,2770.00,2810.00,2730.00,2770.00,9497500,2770.00
2017-01-12,2690.00,2770.00,2670.00,2770.00,6775600,2770.00
2017-01-11,2670.00,2690.00,2660.00,2690.00,3222800,2690.00
2017-01-10,2640.00,2670.00,2610.00,2670.00,6217800,2670.00
2017-01-09,2650.00,2700.00,2580.00,2640.00,7533500,2640.00
2017-01-06,2560.00,2680.00,2520.00,2650.00,18375700,2650.00
2017-01-05,2360.00,2560.00,2330.00,2560.00,20877500,2560.00
2017-01-04,2280.00,2320.00,2270.00,2320.00,5094200,2320.00
2017-01-03,2310.00,2340.00,2250.00,2280.00,6897200,2280.00
2017-01-02,2310.00,2310.00,2310.00,2310.00,000,2310.00
2016-12-30,2400.00,2400.00,2310.00,2310.00,5346200,2310.00
2016-12-29,2290.00,2370.00,2290.00,2350.00,6820900,2350.00
2016-12-28,2250.00,2320.00,2250.00,2290.00,2308700,2290.00
2016-12-27,2250.00,2310.00,2250.00,2250.00,2063000,2250.00
2016-12-26,2250.00,2250.00,2250.00,2250.00,000,2250.00
2016-12-23,2250.00,2280.00,2240.00,2250.00,3005900,2250.00
2016-12-22,2190.00,2270.00,2190.00,2240.00,6076800,2240.00
2016-12-21,2350.00,2360.00,2220.00,2220.00,3152600,2220.00
2016-12-20,2330.00,2350.00,2320.00,2350.00,4684800,2350.00
2016-12-19,2310.00,2370.00,2270.00,2330.00,7547000,2330.00
2016-12-16,2270.00,2330.00,2270.00,2310.00,5700000,2310.00
2016-12-15,2300.00,2330.00,2260.00,2270.00,4005900,2270.00
2016-12-14,2380.00,2400.00,2290.00,2340.00,7005200,2340.00
2016-12-13,2380.00,2390.00,2330.00,2380.00,5243900,2380.00
2016-12-12,2380.00,2380.00,2380.00,2380.00,000,2380.00
2016-12-09,2400.00,2400.00,2330.00,2380.00,2436400,2380.00
2016-12-08,2300.00,2400.00,2250.00,2380.00,12078500,2380.00
2016-12-07,2310.00,2310.00,2230.00,2280.00,5054800,2280.00
2016-12-06,2270.00,2300.00,2250.00,2280.00,6964000,2280.00
