Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,171.00,171.00,171.00,171.00,000,171.00
2017-01-31,171.00,171.00,171.00,171.00,000,171.00
2017-01-30,171.00,171.00,171.00,171.00,000,171.00
2017-01-27,171.00,171.00,171.00,171.00,000,171.00
2017-01-26,174.00,174.00,171.00,171.00,167300,171.00
2017-01-25,175.00,175.00,175.00,175.00,000,175.00
2017-01-24,175.00,175.00,175.00,175.00,000,175.00
2017-01-23,175.00,175.00,175.00,175.00,000,175.00
2017-01-20,175.00,175.00,175.00,175.00,000,175.00
2017-01-19,175.00,175.00,175.00,175.00,000,175.00
2017-01-18,175.00,175.00,175.00,175.00,000,175.00
2017-01-17,175.00,175.00,175.00,175.00,000,175.00
2017-01-16,175.00,175.00,175.00,175.00,000,175.00
2017-01-13,175.00,175.00,175.00,175.00,000,175.00
2017-01-12,175.00,175.00,175.00,175.00,000,175.00
2017-01-11,175.00,175.00,175.00,175.00,000,175.00
2017-01-10,175.00,175.00,175.00,175.00,000,175.00
2017-01-09,175.00,175.00,175.00,175.00,4900,175.00
2017-01-06,175.00,175.00,175.00,175.00,000,175.00
2017-01-05,175.00,175.00,175.00,175.00,1200,175.00
2017-01-04,175.00,175.00,175.00,175.00,000,175.00
2017-01-03,175.00,175.00,175.00,175.00,000,175.00
2017-01-02,175.00,175.00,175.00,175.00,000,175.00
2016-12-30,174.00,175.00,174.00,175.00,105400,175.00
2016-12-29,184.00,184.00,180.00,180.00,14500,180.00
2016-12-28,174.00,177.00,174.00,177.00,300,177.00
2016-12-27,175.00,175.00,173.00,175.00,451800,175.00
2016-12-26,184.00,184.00,184.00,184.00,000,184.00
2016-12-23,183.00,184.00,183.00,184.00,40000,184.00
2016-12-22,183.00,183.00,183.00,183.00,000,183.00
2016-12-21,175.00,183.00,175.00,183.00,10000,183.00
2016-12-20,175.00,175.00,175.00,175.00,000,175.00
2016-12-19,175.00,175.00,175.00,175.00,400,175.00
2016-12-16,176.00,176.00,176.00,176.00,000,176.00
2016-12-15,176.00,176.00,176.00,176.00,000,176.00
