Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,490.00,500.00,476.00,490.00,138200,490.00
2017-01-31,490.00,500.00,476.00,490.00,135300,490.00
2017-01-30,496.00,500.00,476.00,476.00,24200,476.00
2017-01-27,484.00,500.00,480.00,496.00,113500,496.00
2017-01-26,480.00,484.00,464.00,484.00,178100,484.00
2017-01-25,490.00,490.00,452.00,480.00,428700,480.00
2017-01-24,500.00,505.00,450.00,488.00,703400,488.00
2017-01-23,505.00,505.00,490.00,490.00,147800,490.00
2017-01-20,498.00,505.00,452.00,505.00,182400,505.00
2017-01-19,500.00,500.00,460.00,480.00,312500,480.00
2017-01-18,500.00,500.00,498.00,500.00,87600,500.00
2017-01-17,515.00,530.00,498.00,500.00,1551900,500.00
2017-01-16,525.00,525.00,500.00,515.00,148000,515.00
2017-01-13,525.00,535.00,515.00,525.00,32900,525.00
2017-01-12,525.00,540.00,515.00,525.00,91300,525.00
2017-01-11,520.00,565.00,510.00,525.00,324300,525.00
2017-01-10,520.00,520.00,510.00,520.00,44100,520.00
2017-01-09,520.00,525.00,520.00,520.00,14900,520.00
2017-01-06,505.00,525.00,505.00,520.00,164200,520.00
2017-01-05,520.00,520.00,505.00,520.00,85900,520.00
2017-01-04,510.00,530.00,505.00,525.00,94500,525.00
2017-01-03,520.00,520.00,500.00,510.00,66500,510.00
2017-01-02,520.00,520.00,520.00,520.00,000,520.00
2016-12-30,515.00,525.00,510.00,520.00,138800,520.00
2016-12-29,515.00,520.00,515.00,520.00,18000,520.00
2016-12-28,535.00,540.00,515.00,540.00,103100,540.00
2016-12-27,535.00,540.00,510.00,530.00,36900,530.00
2016-12-26,525.00,525.00,525.00,525.00,000,525.00
2016-12-23,525.00,525.00,505.00,525.00,215500,525.00
2016-12-22,530.00,530.00,500.00,515.00,539000,515.00
2016-12-21,550.00,560.00,525.00,540.00,410300,540.00
2016-12-20,530.00,555.00,510.00,550.00,1515100,550.00
2016-12-19,525.00,535.00,515.00,530.00,125200,530.00
2016-12-16,540.00,540.00,520.00,535.00,176200,535.00
2016-12-15,525.00,540.00,520.00,540.00,713000,540.00
2016-12-14,545.00,545.00,520.00,540.00,77300,540.00
2016-12-13,515.00,535.00,510.00,535.00,274200,535.00
2016-12-12,515.00,515.00,515.00,515.00,000,515.00
2016-12-09,510.00,550.00,505.00,515.00,4117400,515.00
2016-12-08,530.00,545.00,505.00,520.00,2029400,520.00
2016-12-07,560.00,570.00,535.00,540.00,376800,540.00
2016-12-06,505.00,575.00,505.00,560.00,1161400,560.00
2016-12-05,535.00,565.00,520.00,520.00,553900,520.00
2016-12-02,540.00,545.00,525.00,535.00,44000,535.00
2016-12-01,530.00,555.00,500.00,530.00,621000,530.00
2016-11-30,575.00,575.00,520.00,530.00,411400,530.00
2016-11-29,580.00,580.00,550.00,550.00,132700,550.00
2016-11-28,575.00,580.00,550.00,560.00,127400,560.00
2016-11-25,560.00,575.00,560.00,575.00,142300,575.00
2016-11-24,555.00,580.00,550.00,565.00,760800,565.00
2016-11-23,540.00,555.00,510.00,550.00,298100,550.00
2016-11-22,545.00,560.00,500.00,540.00,212200,540.00
2016-11-21,520.00,545.00,500.00,530.00,95200,530.00
2016-11-18,545.00,545.00,520.00,520.00,138400,520.00
2016-11-17,515.00,540.00,500.00,535.00,159700,535.00
2016-11-16,510.00,535.00,510.00,530.00,10500,530.00
2016-11-15,525.00,540.00,505.00,510.00,217000,510.00
2016-11-14,540.00,540.00,515.00,515.00,69500,515.00
2016-11-11,550.00,560.00,520.00,520.00,450200,520.00
2016-11-10,575.00,590.00,550.00,560.00,709000,560.00
2016-11-09,610.00,615.00,565.00,575.00,429300,575.00
2016-11-08,550.00,610.00,540.00,605.00,1928600,605.00
2016-11-07,580.00,580.00,545.00,550.00,678600,550.00
2016-11-04,575.00,595.00,555.00,580.00,464500,580.00
2016-11-03,580.00,600.00,565.00,575.00,105700,575.00
2016-11-02,550.00,620.00,540.00,580.00,3393900,580.00
2016-11-01,580.00,585.00,540.00,570.00,901300,570.00
2016-10-31,585.00,620.00,545.00,580.00,2298600,580.00
2016-10-28,600.00,645.00,585.00,585.00,6376700,585.00
2016-10-27,590.00,685.00,545.00,600.00,18341400,600.00
2016-10-26,490.00,600.00,490.00,590.00,5301000,590.00
2016-10-25,505.00,520.00,486.00,500.00,3290800,500.00
2016-10-24,438.00,515.00,438.00,500.00,8840600,500.00
2016-10-21,422.00,460.00,414.00,438.00,9734600,438.00
2016-10-20,422.00,432.00,420.00,428.00,242700,428.00
2016-10-19,424.00,430.00,420.00,430.00,418800,430.00
2016-10-18,424.00,430.00,424.00,424.00,203500,424.00
2016-10-17,426.00,436.00,424.00,430.00,258800,430.00
2016-10-14,430.00,442.00,420.00,426.00,586800,426.00
2016-10-13,442.00,470.00,426.00,434.00,10837700,434.00
2016-10-12,436.00,444.00,430.00,440.00,576800,440.00
2016-10-11,414.00,444.00,414.00,434.00,2561300,434.00
2016-10-10,410.00,436.00,388.00,414.00,11499200,414.00
2016-10-07,426.00,426.00,410.00,410.00,995800,410.00
2016-10-06,426.00,430.00,418.00,426.00,884400,426.00
2016-10-05,432.00,438.00,424.00,426.00,921600,426.00
2016-10-04,416.00,452.00,416.00,432.00,17965700,432.00
2016-10-03,440.00,474.00,404.00,416.00,24373800,416.00
2016-09-30,496.00,520.00,448.00,448.00,28374900,448.00
2016-09-29,496.00,496.00,496.00,496.00,160700,496.00
2016-09-28,550.00,550.00,550.00,550.00,294200,550.00
2016-09-27,675.00,675.00,610.00,610.00,1020600,610.00
2016-09-26,685.00,685.00,665.00,675.00,2491800,675.00
2016-09-23,675.00,715.00,670.00,675.00,17419500,675.00
2016-09-22,685.00,700.00,680.00,680.00,622900,680.00
2016-09-21,685.00,695.00,680.00,685.00,657300,685.00
2016-09-20,700.00,700.00,680.00,680.00,741400,680.00
2016-09-19,695.00,700.00,680.00,695.00,3009600,695.00
2016-09-16,690.00,710.00,670.00,680.00,7955700,680.00
2016-09-15,695.00,725.00,685.00,690.00,14322900,690.00
2016-09-14,665.00,715.00,660.00,690.00,8272700,690.00
2016-09-13,720.00,725.00,670.00,695.00,7704700,695.00
2016-09-12,720.00,720.00,720.00,720.00,000,720.00
2016-09-09,745.00,755.00,720.00,720.00,7831900,720.00
2016-09-08,730.00,760.00,730.00,740.00,9570900,740.00
2016-09-07,765.00,790.00,725.00,730.00,28182100,730.00
2016-09-06,750.00,770.00,730.00,755.00,35550500,755.00
2016-09-05,660.00,740.00,660.00,735.00,22685100,735.00
2016-09-02,685.00,685.00,650.00,655.00,467100,655.00
2016-09-01,680.00,680.00,650.00,650.00,364900,650.00
2016-08-31,690.00,695.00,680.00,680.00,600500,680.00
2016-08-30,690.00,710.00,660.00,690.00,1698700,690.00
2016-08-29,675.00,700.00,640.00,680.00,2007100,680.00
2016-08-26,710.00,715.00,670.00,670.00,1783700,670.00
2016-08-25,700.00,750.00,700.00,705.00,8674500,705.00
2016-08-24,650.00,720.00,620.00,675.00,1398000,675.00
2016-08-23,630.00,640.00,615.00,640.00,587200,640.00
2016-08-22,645.00,645.00,620.00,635.00,133800,635.00
2016-08-19,645.00,670.00,645.00,645.00,344500,645.00
2016-08-18,645.00,670.00,610.00,645.00,1005600,645.00
2016-08-17,645.00,645.00,645.00,645.00,000,645.00
2016-08-16,660.00,665.00,640.00,645.00,286500,645.00
2016-08-15,660.00,660.00,645.00,660.00,426400,660.00
2016-08-12,700.00,700.00,665.00,675.00,507500,675.00
2016-08-11,710.00,720.00,700.00,700.00,2545700,700.00
2016-08-10,705.00,720.00,705.00,710.00,962400,710.00
2016-08-09,715.00,730.00,700.00,700.00,2808200,700.00
2016-08-08,730.00,745.00,700.00,715.00,2466500,715.00
2016-08-05,735.00,750.00,720.00,730.00,1593500,730.00
2016-08-04,730.00,785.00,730.00,730.00,9774400,730.00
2016-08-03,700.00,755.00,700.00,735.00,9421600,735.00
2016-08-02,775.00,815.00,700.00,700.00,35554400,700.00
2016-08-01,725.00,790.00,720.00,775.00,5998300,775.00
2016-07-29,715.00,735.00,710.00,725.00,2837700,725.00
2016-07-28,715.00,725.00,700.00,710.00,1560600,710.00
