Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,80.00,80.00,78.00,80.00,124600,80.00
2017-01-31,80.00,82.00,80.00,80.00,106800,80.00
2017-01-30,83.00,83.00,81.00,83.00,69800,83.00
2017-01-27,84.00,84.00,82.00,83.00,207900,83.00
2017-01-26,87.00,87.00,85.00,86.00,200000,86.00
2017-01-25,83.00,87.00,83.00,87.00,77000,87.00
2017-01-24,85.00,86.00,82.00,82.00,375500,82.00
2017-01-23,90.00,93.00,86.00,86.00,2176200,86.00
2017-01-20,84.00,98.00,84.00,90.00,8609900,90.00
2017-01-19,76.00,85.00,76.00,82.00,2548100,82.00
2017-01-18,74.00,81.00,74.00,77.00,3091900,77.00
2017-01-17,71.00,75.00,71.00,74.00,3198700,74.00
2017-01-16,70.00,71.00,70.00,71.00,1000,71.00
2017-01-13,73.00,73.00,70.00,70.00,50100,70.00
2017-01-12,71.00,72.00,71.00,72.00,2500,72.00
2017-01-11,72.00,72.00,71.00,71.00,71500,71.00
2017-01-10,75.00,78.00,72.00,72.00,10200,72.00
2017-01-09,71.00,75.00,71.00,75.00,1200,75.00
2017-01-06,71.00,71.00,71.00,71.00,000,71.00
2017-01-05,71.00,71.00,71.00,71.00,27100,71.00
2017-01-04,71.00,71.00,71.00,71.00,53700,71.00
2017-01-03,71.00,71.00,70.00,71.00,6000,71.00
2017-01-02,71.00,71.00,71.00,71.00,000,71.00
2016-12-30,73.00,73.00,71.00,71.00,14200,71.00
2016-12-29,72.00,74.00,72.00,72.00,682100,72.00
2016-12-28,79.00,79.00,79.00,79.00,100,79.00
2016-12-27,71.00,82.00,68.00,68.00,5300,68.00
2016-12-26,73.00,73.00,73.00,73.00,000,73.00
2016-12-23,65.00,73.00,65.00,73.00,300,73.00
2016-12-22,70.00,70.00,69.00,70.00,276600,70.00
2016-12-21,73.00,73.00,73.00,73.00,2000,73.00
2016-12-20,74.00,80.00,73.00,73.00,243800,73.00
2016-12-19,75.00,75.00,74.00,74.00,377200,74.00
2016-12-16,79.00,82.00,77.00,77.00,300100,77.00
2016-12-15,78.00,83.00,78.00,79.00,1750200,79.00
2016-12-14,73.00,73.00,73.00,73.00,000,73.00
2016-12-13,77.00,77.00,73.00,73.00,2100,73.00
2016-12-12,77.00,77.00,77.00,77.00,000,77.00
2016-12-09,77.00,77.00,77.00,77.00,000,77.00
2016-12-08,82.00,82.00,73.00,77.00,50100,77.00
2016-12-07,76.00,79.00,76.00,79.00,5800,79.00
2016-12-06,81.00,81.00,71.00,76.00,16600,76.00
2016-12-05,70.00,70.00,70.00,70.00,11900,70.00
2016-12-02,70.00,70.00,70.00,70.00,000,70.00
2016-12-01,73.00,73.00,70.00,70.00,35000,70.00
2016-11-30,73.00,73.00,73.00,73.00,000,73.00
2016-11-29,70.00,73.00,70.00,73.00,200,73.00
2016-11-28,76.00,76.00,76.00,76.00,000,76.00
2016-11-25,83.00,83.00,73.00,76.00,24100,76.00
2016-11-24,82.00,82.00,79.00,79.00,700,79.00
2016-11-23,73.00,76.00,73.00,73.00,15500,73.00
2016-11-22,71.00,83.00,71.00,79.00,600,79.00
2016-11-21,73.00,73.00,70.00,71.00,75300,71.00
2016-11-18,72.00,75.00,71.00,73.00,50100,73.00
