Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1030.00,1030.00,1010.00,1025.00,709600,1025.00
2017-01-31,1030.00,1050.00,1030.00,1030.00,717900,1030.00
2017-01-30,1050.00,1055.00,1040.00,1045.00,1206600,1045.00
2017-01-27,1050.00,1050.00,1050.00,1050.00,1026500,1050.00
2017-01-26,1055.00,1060.00,1050.00,1050.00,846700,1050.00
2017-01-25,1050.00,1055.00,1050.00,1055.00,1201100,1055.00
2017-01-24,1050.00,1050.00,1045.00,1050.00,1612100,1050.00
2017-01-23,1045.00,1045.00,1045.00,1045.00,782200,1045.00
2017-01-20,1045.00,1045.00,1040.00,1045.00,1524600,1045.00
2017-01-19,1040.00,1045.00,1040.00,1045.00,776100,1045.00
2017-01-18,1035.00,1040.00,1035.00,1040.00,1023000,1040.00
2017-01-17,1035.00,1035.00,1035.00,1035.00,853200,1035.00
2017-01-16,1035.00,1035.00,1035.00,1035.00,1048900,1035.00
2017-01-13,1035.00,1035.00,1030.00,1035.00,907900,1035.00
2017-01-12,1030.00,1035.00,1025.00,1030.00,826400,1030.00
2017-01-11,1025.00,1030.00,1025.00,1030.00,895400,1030.00
2017-01-10,1025.00,1025.00,1025.00,1025.00,562600,1025.00
2017-01-09,1020.00,1025.00,1010.00,1025.00,749000,1025.00
2017-01-06,1010.00,1020.00,1010.00,1020.00,829200,1020.00
2017-01-05,1015.00,1015.00,1015.00,1015.00,723200,1015.00
2017-01-04,1025.00,1025.00,1000.00,1025.00,988200,1025.00
2017-01-03,1025.00,1025.00,1020.00,1025.00,730400,1025.00
2017-01-02,1025.00,1025.00,1025.00,1025.00,000,1025.00
2016-12-30,1025.00,1025.00,1025.00,1025.00,802500,1025.00
2016-12-29,1040.00,1040.00,1020.00,1020.00,845500,1020.00
2016-12-28,1040.00,1040.00,1035.00,1035.00,933000,1035.00
2016-12-27,1030.00,1055.00,1020.00,1040.00,2784800,1040.00
2016-12-26,1020.00,1020.00,1020.00,1020.00,000,1020.00
2016-12-23,1000.00,1020.00,1000.00,1020.00,961800,1020.00
2016-12-22,1025.00,1025.00,1000.00,1000.00,520700,1000.00
2016-12-21,1040.00,1040.00,1020.00,1020.00,843200,1020.00
2016-12-20,1035.00,1040.00,1035.00,1040.00,895000,1040.00
2016-12-19,1035.00,1035.00,1035.00,1035.00,1357100,1035.00
2016-12-16,1030.00,1035.00,1030.00,1035.00,1645000,1035.00
2016-12-15,1030.00,1030.00,1030.00,1030.00,1442700,1030.00
2016-12-14,1030.00,1030.00,1030.00,1030.00,1807100,1030.00
2016-12-13,1040.00,1040.00,1030.00,1030.00,1315400,1030.00
2016-12-12,1040.00,1040.00,1040.00,1040.00,000,1040.00
2016-12-09,1040.00,1040.00,1035.00,1040.00,2074000,1040.00
2016-12-08,1040.00,1040.00,1035.00,1035.00,1199600,1035.00
2016-12-07,1040.00,1040.00,1030.00,1040.00,1208400,1040.00
2016-12-06,1040.00,1040.00,1040.00,1040.00,1155600,1040.00
2016-12-05,1040.00,1045.00,1040.00,1040.00,1180000,1040.00
2016-12-02,1035.00,1040.00,1035.00,1040.00,1082100,1040.00
2016-12-01,1030.00,1040.00,1030.00,1040.00,1270500,1040.00
2016-11-30,1030.00,1035.00,1030.00,1030.00,1123500,1030.00
2016-11-29,1025.00,1030.00,1025.00,1030.00,1223500,1030.00
2016-11-28,1025.00,1025.00,1020.00,1025.00,1090200,1025.00
2016-11-25,1025.00,1030.00,1020.00,1025.00,1114700,1025.00
2016-11-24,1030.00,1035.00,1025.00,1025.00,1222700,1025.00
2016-11-23,1035.00,1035.00,1030.00,1030.00,1514200,1030.00
2016-11-22,1035.00,1040.00,1035.00,1035.00,1330200,1035.00
2016-11-21,1045.00,1045.00,1030.00,1035.00,1531600,1035.00
2016-11-18,1050.00,1050.00,1025.00,1045.00,1565100,1045.00
2016-11-17,1050.00,1050.00,1045.00,1050.00,1412200,1050.00
2016-11-16,1045.00,1045.00,1035.00,1045.00,1418800,1045.00
2016-11-15,1045.00,1060.00,1045.00,1045.00,1709900,1045.00
2016-11-14,1045.00,1045.00,1040.00,1040.00,1319200,1040.00
2016-11-11,1050.00,1050.00,1040.00,1045.00,1389900,1045.00
2016-11-10,1045.00,1050.00,1045.00,1050.00,1786400,1050.00
2016-11-09,1050.00,1050.00,1045.00,1045.00,1315700,1045.00
2016-11-08,1060.00,1060.00,1045.00,1050.00,1577600,1050.00
2016-11-07,1060.00,1060.00,1060.00,1060.00,1307100,1060.00
2016-11-04,1060.00,1060.00,1060.00,1060.00,999400,1060.00
2016-11-03,1060.00,1060.00,1060.00,1060.00,1312300,1060.00
2016-11-02,1060.00,1060.00,1055.00,1060.00,1408700,1060.00
