Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2400.00,2560.00,2390.00,2560.00,63054800,2560.00
2017-01-31,2370.00,2390.00,2340.00,2370.00,18890400,2370.00
2017-01-30,2360.00,2380.00,2330.00,2330.00,9056300,2330.00
2017-01-27,2360.00,2380.00,2330.00,2340.00,17731700,2340.00
2017-01-26,2320.00,2430.00,2310.00,2420.00,34443100,2420.00
2017-01-25,2300.00,2370.00,2300.00,2300.00,24080300,2300.00
2017-01-24,2290.00,2340.00,2280.00,2280.00,22350300,2280.00
2017-01-23,2280.00,2360.00,2230.00,2270.00,33437400,2270.00
2017-01-20,2400.00,2400.00,2280.00,2300.00,24470800,2300.00
2017-01-19,2470.00,2490.00,2390.00,2400.00,20761200,2400.00
2017-01-18,2500.00,2530.00,2460.00,2470.00,19145200,2470.00
2017-01-17,2510.00,2530.00,2420.00,2490.00,46481300,2490.00
2017-01-16,2500.00,2550.00,2480.00,2510.00,44647200,2510.00
2017-01-13,2800.00,2810.00,2480.00,2480.00,138596500,2480.00
2017-01-12,2980.00,3020.00,2920.00,2950.00,12809800,2950.00
2017-01-11,2930.00,3110.00,2930.00,3020.00,47811700,3020.00
2017-01-10,2860.00,2920.00,2860.00,2880.00,7094900,2880.00
2017-01-09,2960.00,2960.00,2840.00,2850.00,7921900,2850.00
2017-01-06,2870.00,2950.00,2830.00,2930.00,17036800,2930.00
2017-01-05,2750.00,2850.00,2750.00,2840.00,15257100,2840.00
2017-01-04,2760.00,2780.00,2720.00,2720.00,4342700,2720.00
2017-01-03,2820.00,2850.00,2750.00,2780.00,3575700,2780.00
2017-01-02,2820.00,2820.00,2820.00,2820.00,000,2820.00
2016-12-30,2840.00,2850.00,2760.00,2820.00,8285800,2820.00
2016-12-29,2740.00,2850.00,2730.00,2840.00,11877700,2840.00
2016-12-28,2680.00,2820.00,2680.00,2770.00,14396400,2770.00
2016-12-27,2700.00,2710.00,2620.00,2680.00,6807500,2680.00
2016-12-26,2720.00,2720.00,2720.00,2720.00,000,2720.00
2016-12-23,2700.00,2760.00,2690.00,2720.00,7591700,2720.00
2016-12-22,2820.00,2820.00,2680.00,2700.00,15077100,2700.00
2016-12-21,2910.00,2920.00,2810.00,2820.00,15799800,2820.00
2016-12-20,3000.00,3020.00,2870.00,2880.00,15023400,2880.00
2016-12-19,3240.00,3250.00,3050.00,3060.00,12535000,3060.00
2016-12-16,3240.00,3270.00,3210.00,3240.00,10965200,3240.00
2016-12-15,3210.00,3290.00,3180.00,3250.00,7140200,3250.00
2016-12-14,3230.00,3290.00,3230.00,3240.00,3929600,3240.00
2016-12-13,3310.00,3320.00,3250.00,3250.00,4521100,3250.00
2016-12-12,3310.00,3310.00,3310.00,3310.00,000,3310.00
2016-12-09,3240.00,3310.00,3230.00,3310.00,12363800,3310.00
2016-12-08,3350.00,3350.00,3230.00,3240.00,20536600,3240.00
2016-12-07,3370.00,3410.00,3340.00,3370.00,11119900,3370.00
2016-12-06,3430.00,3430.00,3360.00,3370.00,12639400,3370.00
2016-12-05,3450.00,3460.00,3410.00,3430.00,12796300,3430.00
2016-12-02,3450.00,3500.00,3370.00,3380.00,9258200,3380.00
2016-12-01,3420.00,3470.00,3390.00,3470.00,9397700,3470.00
2016-11-30,3460.00,3460.00,3330.00,3380.00,18045600,3380.00
2016-11-29,3460.00,3630.00,3430.00,3500.00,19417700,3500.00
2016-11-28,3390.00,3530.00,3370.00,3500.00,17799200,3500.00
2016-11-25,3400.00,3420.00,3330.00,3370.00,6974700,3370.00
2016-11-24,3450.00,3480.00,3340.00,3400.00,15017200,3400.00
2016-11-23,3220.00,3430.00,3220.00,3370.00,23438500,3370.00
2016-11-22,3200.00,3240.00,3180.00,3210.00,12612700,3210.00
2016-11-21,3020.00,3170.00,3020.00,3100.00,13461000,3100.00
2016-11-18,3150.00,3200.00,3090.00,3110.00,6699100,3110.00
2016-11-17,3220.00,3270.00,3150.00,3200.00,9120200,3200.00
2016-11-16,3120.00,3270.00,3010.00,3250.00,17409900,3250.00
2016-11-15,3350.00,3400.00,3040.00,3090.00,16484400,3090.00
2016-11-14,3350.00,3450.00,3260.00,3300.00,21998600,3300.00
2016-11-11,3250.00,3550.00,3090.00,3500.00,51808200,3500.00
2016-11-10,3110.00,3330.00,3110.00,3300.00,48602800,3300.00
2016-11-09,3000.00,3050.00,2830.00,3020.00,42693200,3020.00
2016-11-08,2950.00,3060.00,2930.00,3000.00,48636400,3000.00
2016-11-07,2680.00,2850.00,2660.00,2850.00,39297400,2850.00
2016-11-04,2590.00,2650.00,2560.00,2640.00,6666500,2640.00
2016-11-03,2680.00,2710.00,2570.00,2590.00,12185500,2590.00
2016-11-02,2680.00,2730.00,2670.00,2670.00,7278100,2670.00
2016-11-01,2720.00,2750.00,2680.00,2680.00,8421200,2680.00
2016-10-31,2650.00,2740.00,2630.00,2720.00,12717800,2720.00
2016-10-28,2710.00,2720.00,2630.00,2630.00,7078400,2630.00
2016-10-27,2640.00,2730.00,2630.00,2680.00,12065800,2680.00
2016-10-26,2680.00,2680.00,2630.00,2640.00,7754200,2640.00
2016-10-25,2680.00,2710.00,2660.00,2680.00,9388200,2680.00
2016-10-24,2750.00,2750.00,2660.00,2670.00,9252200,2670.00
2016-10-21,2870.00,2870.00,2700.00,2700.00,44096800,2700.00
2016-10-20,2850.00,2880.00,2840.00,2870.00,11455500,2870.00
2016-10-19,2900.00,2920.00,2840.00,2850.00,16396600,2850.00
2016-10-18,2750.00,2900.00,2750.00,2890.00,42468200,2890.00
2016-10-17,2750.00,2780.00,2720.00,2750.00,13343700,2750.00
2016-10-14,2760.00,2780.00,2700.00,2740.00,8633800,2740.00
2016-10-13,2780.00,2800.00,2750.00,2760.00,17036400,2760.00
2016-10-12,2780.00,2820.00,2740.00,2760.00,45305100,2760.00
2016-10-11,2740.00,2750.00,2690.00,2720.00,22011500,2720.00
2016-10-10,2700.00,2740.00,2660.00,2670.00,14081800,2670.00
2016-10-07,2720.00,2780.00,2650.00,2670.00,15998400,2670.00
2016-10-06,2760.00,2820.00,2660.00,2700.00,18467700,2700.00
2016-10-05,2940.00,2940.00,2720.00,2750.00,36672200,2750.00
2016-10-04,3150.00,3160.00,2950.00,2960.00,23147700,2960.00
2016-10-03,3000.00,3160.00,2970.00,3130.00,23821800,3130.00
2016-09-30,2910.00,2990.00,2890.00,2950.00,9146200,2950.00
