Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,570.00,570.00,565.00,565.00,521200,565.00
2017-01-31,570.00,570.00,560.00,570.00,520800,570.00
2017-01-30,585.00,585.00,570.00,570.00,895200,570.00
2017-01-27,585.00,585.00,585.00,585.00,3500,585.00
2017-01-26,585.00,585.00,585.00,585.00,245200,585.00
2017-01-25,585.00,590.00,585.00,590.00,452600,590.00
2017-01-24,575.00,585.00,570.00,585.00,816700,585.00
2017-01-23,585.00,585.00,575.00,575.00,625800,575.00
2017-01-20,590.00,590.00,585.00,585.00,42300,585.00
2017-01-19,590.00,590.00,585.00,590.00,62300,590.00
2017-01-18,585.00,590.00,580.00,590.00,275100,590.00
2017-01-17,585.00,585.00,585.00,585.00,69200,585.00
2017-01-16,600.00,600.00,585.00,585.00,217000,585.00
2017-01-13,570.00,605.00,570.00,600.00,2436000,600.00
2017-01-12,575.00,575.00,565.00,565.00,662200,565.00
2017-01-11,550.00,575.00,550.00,575.00,1332300,575.00
2017-01-10,540.00,555.00,540.00,550.00,271200,550.00
2017-01-09,540.00,550.00,540.00,540.00,805800,540.00
2017-01-06,545.00,545.00,540.00,540.00,115600,540.00
2017-01-05,550.00,550.00,545.00,545.00,126200,545.00
2017-01-04,555.00,555.00,550.00,550.00,294100,550.00
2017-01-03,565.00,565.00,555.00,555.00,144700,555.00
2017-01-02,565.00,565.00,565.00,565.00,000,565.00
2016-12-30,550.00,570.00,545.00,565.00,1059600,565.00
2016-12-29,560.00,560.00,550.00,550.00,378200,550.00
2016-12-28,555.00,560.00,550.00,560.00,363800,560.00
2016-12-27,550.00,555.00,550.00,555.00,326600,555.00
2016-12-26,550.00,550.00,550.00,550.00,000,550.00
2016-12-23,540.00,550.00,535.00,550.00,660800,550.00
2016-12-22,535.00,555.00,525.00,540.00,1357100,540.00
2016-12-21,535.00,550.00,530.00,540.00,824700,540.00
2016-12-20,525.00,540.00,520.00,535.00,1441800,535.00
2016-12-19,520.00,530.00,520.00,525.00,1197700,525.00
