Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1210.00,1210.00,1155.00,1210.00,5200,1210.00
2017-01-31,1210.00,1210.00,1190.00,1210.00,10300,1210.00
2017-01-30,1220.00,1220.00,1150.00,1210.00,10400,1210.00
2017-01-27,1190.00,1230.00,1100.00,1225.00,13000,1225.00
2017-01-26,1235.00,1245.00,1180.00,1230.00,15500,1230.00
2017-01-25,1230.00,1270.00,1140.00,1235.00,79100,1235.00
2017-01-24,1350.00,1350.00,1200.00,1275.00,10400,1275.00
2017-01-23,1320.00,1320.00,1250.00,1250.00,8400,1250.00
2017-01-20,1250.00,1320.00,1225.00,1320.00,46500,1320.00
2017-01-19,1320.00,1320.00,1235.00,1300.00,4000,1300.00
2017-01-18,1265.00,1300.00,1230.00,1290.00,23600,1290.00
2017-01-17,1295.00,1300.00,1220.00,1265.00,12700,1265.00
2017-01-16,1320.00,1335.00,1210.00,1295.00,27400,1295.00
2017-01-13,1265.00,1340.00,1265.00,1320.00,62700,1320.00
2017-01-12,1260.00,1350.00,1250.00,1265.00,58300,1265.00
2017-01-11,1270.00,1300.00,1135.00,1260.00,887000,1260.00
2017-01-10,1465.00,1500.00,1220.00,1270.00,225000,1270.00
2017-01-09,1735.00,1820.00,1450.00,1465.00,429300,1465.00
2017-01-06,1750.00,1750.00,1635.00,1735.00,1100,1735.00
2017-01-05,1725.00,1800.00,1550.00,1710.00,10000,1710.00
2017-01-04,1730.00,1730.00,1520.00,1725.00,5600,1725.00
2017-01-03,1840.00,1840.00,1650.00,1730.00,18800,1730.00
2017-01-02,1685.00,1685.00,1685.00,1685.00,000,1685.00
2016-12-30,1810.00,1900.00,1640.00,1685.00,29000,1685.00
2016-12-29,1650.00,1860.00,1545.00,1810.00,68500,1810.00
2016-12-28,1650.00,1700.00,1650.00,1650.00,10100,1650.00
2016-12-27,1730.00,1760.00,1650.00,1650.00,1900,1650.00
2016-12-26,1730.00,1730.00,1730.00,1730.00,000,1730.00
2016-12-23,1770.00,1900.00,1690.00,1730.00,90900,1730.00
2016-12-22,1620.00,1950.00,1620.00,1670.00,134500,1670.00
2016-12-21,1250.00,1560.00,1135.00,1560.00,45700,1560.00
2016-12-20,1350.00,1350.00,1250.00,1250.00,8600,1250.00
2016-12-19,1400.00,1400.00,1350.00,1350.00,19400,1350.00
2016-12-16,1470.00,1500.00,1440.00,1440.00,11500,1440.00
2016-12-15,1500.00,1500.00,1405.00,1470.00,15200,1470.00
2016-12-14,1490.00,1500.00,1480.00,1500.00,82100,1500.00
2016-12-13,1550.00,1675.00,1485.00,1490.00,42900,1490.00
2016-12-12,1550.00,1550.00,1550.00,1550.00,000,1550.00
2016-12-09,1600.00,1650.00,1485.00,1550.00,293200,1550.00
2016-12-08,1710.00,1710.00,1650.00,1650.00,93400,1650.00
2016-12-07,2050.00,2050.00,1830.00,1830.00,254800,1830.00
2016-12-06,1900.00,2070.00,1850.00,2030.00,798700,2030.00
2016-12-05,1350.00,1660.00,1350.00,1660.00,92300,1660.00
2016-12-02,1130.00,1330.00,1130.00,1330.00,203500,1330.00
2016-12-01,855.00,1065.00,855.00,1065.00,277800,1065.00
2016-11-30,740.00,855.00,720.00,855.00,347300,855.00
2016-11-29,800.00,800.00,685.00,685.00,37800,685.00
2016-11-28,720.00,775.00,655.00,760.00,64300,760.00
2016-11-25,795.00,795.00,720.00,720.00,29200,720.00
2016-11-24,800.00,800.00,785.00,795.00,27500,795.00
2016-11-23,910.00,910.00,820.00,820.00,47000,820.00
2016-11-22,1010.00,1010.00,910.00,910.00,52000,910.00
2016-11-21,830.00,1010.00,825.00,1010.00,568300,1010.00
2016-11-18,900.00,900.00,785.00,830.00,13000,830.00
2016-11-17,925.00,925.00,790.00,870.00,16600,870.00
2016-11-16,960.00,960.00,865.00,875.00,1300,875.00
2016-11-15,960.00,960.00,960.00,960.00,100,960.00
2016-11-14,960.00,985.00,845.00,915.00,11100,915.00
2016-11-11,900.00,950.00,860.00,930.00,16000,930.00
2016-11-10,850.00,1000.00,810.00,945.00,26500,945.00
2016-11-09,1020.00,1025.00,900.00,900.00,2800,900.00
2016-11-08,1025.00,1025.00,890.00,985.00,4500,985.00
2016-11-07,920.00,985.00,920.00,950.00,3200,950.00
2016-11-04,920.00,920.00,920.00,920.00,1000,920.00
2016-11-03,965.00,1000.00,920.00,920.00,4100,920.00
2016-11-02,995.00,1030.00,965.00,965.00,13800,965.00
2016-11-01,1070.00,1090.00,1000.00,1070.00,47000,1070.00
2016-10-31,1025.00,1125.00,1025.00,1070.00,25200,1070.00
2016-10-28,1075.00,1075.00,1075.00,1075.00,1000,1075.00
2016-10-27,1155.00,1200.00,1155.00,1175.00,5500,1175.00
2016-10-26,1180.00,1180.00,1050.00,1145.00,10800,1145.00
2016-10-25,1160.00,1170.00,1160.00,1160.00,2300,1160.00
2016-10-24,1135.00,1175.00,1135.00,1150.00,2500,1150.00
2016-10-21,1135.00,1135.00,1135.00,1135.00,300,1135.00
2016-10-20,1170.00,1170.00,1140.00,1150.00,5400,1150.00
2016-10-19,1150.00,1150.00,1070.00,1130.00,52700,1130.00
2016-10-18,1150.00,1170.00,1100.00,1100.00,300,1100.00
2016-10-17,1150.00,1150.00,1140.00,1140.00,400,1140.00
2016-10-14,1140.00,1150.00,1050.00,1100.00,29600,1100.00
2016-10-13,1130.00,1130.00,1130.00,1130.00,900,1130.00
2016-10-12,1080.00,1110.00,1080.00,1110.00,900,1110.00
2016-10-11,1080.00,1200.00,1080.00,1090.00,6300,1090.00
2016-10-10,1060.00,1220.00,1060.00,1080.00,70800,1080.00
2016-10-07,1100.00,1100.00,1060.00,1060.00,400,1060.00
2016-10-06,1100.00,1100.00,1100.00,1100.00,1200,1100.00
2016-10-05,1150.00,1150.00,1100.00,1100.00,18000,1100.00
2016-10-04,1205.00,1215.00,1110.00,1150.00,10200,1150.00
2016-10-03,1290.00,1340.00,1205.00,1205.00,172500,1205.00
2016-09-30,1335.00,1345.00,1335.00,1335.00,800,1335.00
2016-09-29,1345.00,1350.00,1335.00,1335.00,1900,1335.00
2016-09-28,1370.00,1370.00,1300.00,1345.00,900,1345.00
2016-09-27,1370.00,1370.00,1300.00,1330.00,6100,1330.00
2016-09-26,1370.00,1370.00,1370.00,1370.00,900,1370.00
2016-09-23,1370.00,1375.00,1365.00,1370.00,1900,1370.00
2016-09-22,1280.00,1450.00,1280.00,1380.00,39000,1380.00
2016-09-21,1410.00,1410.00,1280.00,1280.00,23400,1280.00
2016-09-20,1375.00,1425.00,1375.00,1420.00,6200,1420.00
