Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,147.00,159.00,147.00,151.00,3347000,151.00
2017-01-31,147.00,174.00,145.00,147.00,15481900,147.00
2017-01-30,154.00,156.00,150.00,154.00,1463800,154.00
2017-01-27,155.00,157.00,154.00,154.00,1715200,154.00
2017-01-26,151.00,155.00,151.00,154.00,3582100,154.00
2017-01-25,154.00,159.00,150.00,151.00,1486900,151.00
2017-01-24,157.00,164.00,154.00,154.00,4748600,154.00
2017-01-23,155.00,162.00,152.00,154.00,504000,154.00
2017-01-20,163.00,165.00,147.00,155.00,5754700,155.00
2017-01-19,162.00,173.00,160.00,162.00,8489200,162.00
2017-01-18,157.00,175.00,157.00,161.00,18696000,161.00
2017-01-17,173.00,175.00,135.00,157.00,29490500,157.00
2017-01-16,132.00,178.00,132.00,173.00,93206400,173.00
2017-01-13,119.00,150.00,119.00,132.00,45910700,132.00
2017-01-12,119.00,120.00,118.00,119.00,8684200,119.00
2017-01-11,120.00,121.00,118.00,119.00,5656100,119.00
2017-01-10,120.00,120.00,116.00,120.00,4682000,120.00
2017-01-09,127.00,127.00,115.00,120.00,2094700,120.00
2017-01-06,127.00,127.00,119.00,127.00,2696100,127.00
2017-01-05,123.00,124.00,120.00,124.00,392700,124.00
2017-01-04,123.00,123.00,121.00,121.00,390500,121.00
2017-01-03,127.00,127.00,120.00,123.00,1295600,123.00
2017-01-02,127.00,127.00,127.00,127.00,000,127.00
2016-12-30,128.00,128.00,120.00,127.00,431000,127.00
2016-12-29,120.00,125.00,117.00,125.00,437400,125.00
2016-12-28,120.00,121.00,116.00,121.00,1311000,121.00
2016-12-27,123.00,127.00,120.00,122.00,1043200,122.00
2016-12-26,120.00,120.00,120.00,120.00,000,120.00
2016-12-23,115.00,120.00,113.00,120.00,234900,120.00
2016-12-22,115.00,115.00,113.00,114.00,23500,114.00
2016-12-21,118.00,118.00,115.00,115.00,58600,115.00
2016-12-20,113.00,120.00,113.00,118.00,165100,118.00
2016-12-19,122.00,122.00,113.00,113.00,107900,113.00
