Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,462.00,520.00,446.00,484.00,18156900,484.00
2017-01-31,462.00,462.00,370.00,462.00,12195800,462.00
2017-01-30,370.00,372.00,370.00,370.00,291500,370.00
2017-01-27,356.00,370.00,356.00,370.00,1345400,370.00
2017-01-26,336.00,358.00,336.00,356.00,2567700,356.00
2017-01-25,326.00,340.00,326.00,336.00,1105300,336.00
2017-01-24,326.00,328.00,326.00,326.00,131400,326.00
2017-01-23,326.00,326.00,326.00,326.00,206800,326.00
2017-01-20,328.00,328.00,326.00,326.00,229200,326.00
2017-01-19,318.00,328.00,318.00,328.00,761500,328.00
2017-01-18,318.00,318.00,318.00,318.00,190000,318.00
2017-01-17,318.00,318.00,318.00,318.00,143200,318.00
2017-01-16,320.00,322.00,318.00,318.00,262300,318.00
2017-01-13,320.00,322.00,320.00,320.00,221900,320.00
2017-01-12,330.00,330.00,318.00,322.00,1016600,322.00
2017-01-11,320.00,330.00,316.00,330.00,2637000,330.00
2017-01-10,308.00,328.00,308.00,320.00,2561700,320.00
2017-01-09,306.00,308.00,306.00,308.00,137400,308.00
2017-01-06,306.00,306.00,306.00,306.00,151900,306.00
2017-01-05,306.00,306.00,304.00,306.00,258700,306.00
2017-01-04,308.00,308.00,306.00,306.00,154100,306.00
2017-01-03,308.00,310.00,302.00,308.00,281200,308.00
2017-01-02,308.00,308.00,308.00,308.00,000,308.00
2016-12-30,300.00,312.00,300.00,308.00,932100,308.00
2016-12-29,300.00,302.00,300.00,300.00,586300,300.00
2016-12-28,300.00,300.00,298.00,300.00,303700,300.00
2016-12-27,300.00,300.00,300.00,300.00,240000,300.00
2016-12-26,300.00,300.00,300.00,300.00,000,300.00
2016-12-23,302.00,302.00,300.00,300.00,419100,300.00
2016-12-22,304.00,304.00,302.00,302.00,272400,302.00
2016-12-21,304.00,304.00,302.00,304.00,615600,304.00
2016-12-20,304.00,304.00,302.00,304.00,564200,304.00
2016-12-19,296.00,310.00,296.00,304.00,1714200,304.00
2016-12-16,292.00,296.00,292.00,296.00,565100,296.00
2016-12-15,292.00,294.00,292.00,292.00,239600,292.00
2016-12-14,292.00,292.00,292.00,292.00,228800,292.00
2016-12-13,292.00,294.00,290.00,292.00,804200,292.00
2016-12-12,292.00,292.00,292.00,292.00,000,292.00
2016-12-09,292.00,292.00,290.00,292.00,281500,292.00
2016-12-08,284.00,292.00,284.00,292.00,657300,292.00
2016-12-07,292.00,292.00,280.00,284.00,1609000,284.00
2016-12-06,292.00,320.00,286.00,292.00,6986100,292.00
2016-12-05,244.00,290.00,242.00,290.00,4303200,290.00
2016-12-02,242.00,244.00,242.00,244.00,303100,244.00
2016-12-01,242.00,242.00,240.00,242.00,723500,242.00
2016-11-30,236.00,244.00,236.00,242.00,1106200,242.00
2016-11-29,236.00,236.00,234.00,236.00,134000,236.00
2016-11-28,232.00,242.00,230.00,236.00,1450000,236.00
2016-11-25,234.00,234.00,232.00,232.00,179700,232.00
2016-11-24,240.00,240.00,234.00,234.00,458500,234.00
2016-11-23,224.00,244.00,224.00,240.00,2049300,240.00
2016-11-22,222.00,224.00,222.00,224.00,163500,224.00
2016-11-21,222.00,224.00,222.00,222.00,166800,222.00
2016-11-18,224.00,224.00,222.00,222.00,193500,222.00
2016-11-17,222.00,224.00,222.00,224.00,496800,224.00
2016-11-16,224.00,224.00,222.00,222.00,220600,222.00
2016-11-15,224.00,226.00,224.00,224.00,508800,224.00
2016-11-14,228.00,228.00,220.00,224.00,663500,224.00
2016-11-11,236.00,236.00,228.00,228.00,645600,228.00
2016-11-10,236.00,244.00,232.00,236.00,1444100,236.00
2016-11-09,234.00,234.00,228.00,232.00,775800,232.00
2016-11-08,232.00,234.00,232.00,234.00,192600,234.00
2016-11-07,234.00,234.00,232.00,234.00,163700,234.00
2016-11-04,234.00,234.00,230.00,234.00,337500,234.00
2016-11-03,236.00,238.00,232.00,234.00,1390300,234.00
2016-11-02,240.00,242.00,232.00,238.00,2442200,238.00
2016-11-01,238.00,250.00,236.00,242.00,4597200,242.00
2016-10-31,230.00,238.00,230.00,238.00,1122200,238.00
2016-10-28,230.00,230.00,228.00,230.00,809000,230.00
2016-10-27,230.00,230.00,228.00,230.00,633500,230.00
2016-10-26,230.00,230.00,226.00,230.00,676800,230.00
2016-10-25,226.00,232.00,226.00,230.00,2126200,230.00
2016-10-24,228.00,228.00,224.00,226.00,1050300,226.00
2016-10-21,226.00,228.00,226.00,228.00,614700,228.00
2016-10-20,228.00,228.00,224.00,226.00,667600,226.00
2016-10-19,224.00,228.00,224.00,228.00,1065600,228.00
2016-10-18,230.00,230.00,224.00,224.00,1399100,224.00
2016-10-17,234.00,234.00,228.00,230.00,1886700,230.00
2016-10-14,234.00,234.00,232.00,234.00,816900,234.00
2016-10-13,236.00,236.00,232.00,234.00,1696700,234.00
2016-10-12,236.00,236.00,232.00,236.00,1353600,236.00
2016-10-11,234.00,248.00,234.00,236.00,3040600,236.00
2016-10-10,226.00,248.00,226.00,234.00,8643600,234.00
2016-10-07,224.00,268.00,224.00,226.00,8742600,226.00
2016-10-06,226.00,230.00,224.00,224.00,807400,224.00
2016-10-05,218.00,226.00,214.00,226.00,906400,226.00
2016-10-04,216.00,218.00,216.00,218.00,329200,218.00
2016-10-03,214.00,216.00,214.00,216.00,719100,216.00
2016-09-30,214.00,214.00,214.00,214.00,538300,214.00
2016-09-29,214.00,214.00,214.00,214.00,196900,214.00
2016-09-28,214.00,216.00,212.00,214.00,1257400,214.00
2016-09-27,216.00,216.00,214.00,214.00,1138100,214.00
2016-09-26,218.00,218.00,216.00,216.00,733000,216.00
2016-09-23,218.00,224.00,216.00,218.00,1827300,218.00
2016-09-22,226.00,226.00,224.00,224.00,1648800,224.00
2016-09-21,228.00,228.00,226.00,226.00,463400,226.00
2016-09-20,228.00,228.00,226.00,228.00,1508800,228.00
2016-09-19,226.00,228.00,226.00,228.00,426700,228.00
2016-09-16,226.00,226.00,224.00,226.00,255700,226.00
2016-09-15,226.00,228.00,224.00,226.00,2659200,226.00
2016-09-14,228.00,228.00,226.00,226.00,464500,226.00
2016-09-13,230.00,230.00,228.00,228.00,455400,228.00
2016-09-12,230.00,230.00,230.00,230.00,000,230.00
2016-09-09,230.00,230.00,228.00,230.00,455300,230.00
2016-09-08,228.00,230.00,228.00,230.00,488500,230.00
2016-09-07,230.00,230.00,228.00,228.00,392700,228.00
2016-09-06,228.00,230.00,228.00,230.00,509400,230.00
2016-09-05,228.00,230.00,228.00,228.00,207300,228.00
2016-09-02,230.00,230.00,228.00,228.00,225500,228.00
2016-09-01,230.00,230.00,230.00,230.00,236900,230.00
2016-08-31,228.00,230.00,228.00,230.00,331900,230.00
2016-08-30,230.00,230.00,228.00,228.00,338200,228.00
2016-08-29,228.00,230.00,228.00,230.00,330200,230.00
2016-08-26,230.00,230.00,228.00,228.00,330600,228.00
2016-08-25,230.00,230.00,230.00,230.00,242200,230.00
2016-08-24,228.00,230.00,228.00,230.00,223200,230.00
2016-08-23,232.00,232.00,228.00,228.00,790800,228.00
2016-08-22,232.00,232.00,230.00,232.00,658000,232.00
2016-08-19,236.00,236.00,232.00,232.00,661800,232.00
2016-08-18,240.00,240.00,236.00,236.00,593200,236.00
2016-08-17,240.00,240.00,240.00,240.00,000,240.00
2016-08-16,240.00,240.00,238.00,240.00,524200,240.00
2016-08-15,242.00,242.00,238.00,240.00,828700,240.00
2016-08-12,242.00,244.00,242.00,242.00,326800,242.00
2016-08-11,246.00,246.00,242.00,242.00,565300,242.00
2016-08-10,246.00,246.00,244.00,246.00,253100,246.00
2016-08-09,248.00,248.00,244.00,246.00,1941400,246.00
2016-08-08,248.00,248.00,244.00,248.00,719900,248.00
2016-08-05,248.00,248.00,244.00,248.00,626300,248.00
2016-08-04,248.00,248.00,244.00,248.00,832400,248.00
2016-08-03,252.00,252.00,248.00,248.00,920100,248.00
2016-08-02,252.00,252.00,248.00,252.00,710500,252.00
2016-08-01,252.00,252.00,250.00,252.00,1324300,252.00
