Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,650.00,650.00,630.00,630.00,81600,630.00
2017-01-31,650.00,665.00,650.00,650.00,78200,650.00
2017-01-30,665.00,665.00,650.00,665.00,72200,665.00
2017-01-27,680.00,680.00,665.00,665.00,75200,665.00
2017-01-26,690.00,695.00,680.00,680.00,69800,680.00
2017-01-25,690.00,690.00,685.00,690.00,51800,690.00
2017-01-24,690.00,700.00,690.00,690.00,64700,690.00
2017-01-23,690.00,695.00,690.00,690.00,58400,690.00
2017-01-20,700.00,700.00,690.00,690.00,58100,690.00
2017-01-19,700.00,705.00,700.00,700.00,59200,700.00
2017-01-18,700.00,700.00,700.00,700.00,52900,700.00
2017-01-17,700.00,705.00,700.00,700.00,54300,700.00
2017-01-16,695.00,700.00,695.00,700.00,51000,700.00
2017-01-13,700.00,705.00,695.00,695.00,44300,695.00
2017-01-12,695.00,700.00,695.00,700.00,55500,700.00
2017-01-11,690.00,700.00,690.00,695.00,82100,695.00
2017-01-10,695.00,695.00,690.00,690.00,81000,690.00
2017-01-09,700.00,705.00,695.00,695.00,66300,695.00
2017-01-06,695.00,700.00,695.00,700.00,55200,700.00
2017-01-05,700.00,700.00,700.00,700.00,45000,700.00
2017-01-04,700.00,705.00,695.00,700.00,62800,700.00
2017-01-03,700.00,700.00,700.00,700.00,43300,700.00
2017-01-02,705.00,705.00,705.00,705.00,000,705.00
2016-12-30,710.00,710.00,705.00,705.00,45500,705.00
2016-12-29,700.00,705.00,700.00,705.00,38700,705.00
2016-12-28,690.00,695.00,690.00,695.00,48400,695.00
2016-12-27,670.00,685.00,670.00,685.00,57300,685.00
2016-12-26,670.00,670.00,670.00,670.00,000,670.00
2016-12-23,665.00,670.00,665.00,670.00,49800,670.00
2016-12-22,665.00,665.00,665.00,665.00,41500,665.00
2016-12-21,660.00,670.00,660.00,665.00,60400,665.00
2016-12-20,665.00,665.00,660.00,660.00,58500,660.00
2016-12-19,670.00,670.00,665.00,665.00,49500,665.00
2016-12-16,680.00,680.00,675.00,675.00,46400,675.00
2016-12-15,700.00,700.00,680.00,680.00,85800,680.00
2016-12-14,700.00,700.00,700.00,700.00,53900,700.00
2016-12-13,700.00,700.00,700.00,700.00,41200,700.00
2016-12-12,700.00,700.00,700.00,700.00,000,700.00
2016-12-09,700.00,700.00,700.00,700.00,42300,700.00
2016-12-08,700.00,705.00,695.00,700.00,75500,700.00
2016-12-07,695.00,695.00,695.00,695.00,50100,695.00
2016-12-06,700.00,700.00,700.00,700.00,53000,700.00
2016-12-05,695.00,695.00,695.00,695.00,54700,695.00
2016-12-02,695.00,695.00,695.00,695.00,53800,695.00
2016-12-01,690.00,700.00,690.00,695.00,52800,695.00
2016-11-30,685.00,690.00,685.00,690.00,52500,690.00
2016-11-29,675.00,685.00,675.00,685.00,63500,685.00
2016-11-28,675.00,675.00,675.00,675.00,51600,675.00
2016-11-25,675.00,675.00,675.00,675.00,52000,675.00
2016-11-24,670.00,670.00,670.00,670.00,53200,670.00
2016-11-23,675.00,675.00,665.00,670.00,47700,670.00
2016-11-22,675.00,675.00,670.00,675.00,55100,675.00
2016-11-21,680.00,675.00,675.00,675.00,48400,675.00
2016-11-18,685.00,685.00,680.00,680.00,47600,680.00
2016-11-17,685.00,685.00,685.00,685.00,36200,685.00
2016-11-16,685.00,690.00,685.00,690.00,53500,690.00
2016-11-15,690.00,690.00,685.00,685.00,51200,685.00
2016-11-14,705.00,705.00,690.00,690.00,67000,690.00
2016-11-11,720.00,720.00,705.00,710.00,38000,710.00
2016-11-10,715.00,720.00,715.00,715.00,59000,715.00
2016-11-09,715.00,720.00,710.00,710.00,51200,710.00
2016-11-08,705.00,710.00,705.00,710.00,58700,710.00
2016-11-07,705.00,705.00,700.00,700.00,43200,700.00
2016-11-04,705.00,705.00,700.00,705.00,54500,705.00
2016-11-03,705.00,705.00,705.00,705.00,52800,705.00
2016-11-02,710.00,710.00,710.00,710.00,51800,710.00
2016-11-01,715.00,720.00,715.00,715.00,56200,715.00
2016-10-31,715.00,715.00,715.00,715.00,52100,715.00
2016-10-28,715.00,715.00,710.00,710.00,52600,710.00
2016-10-27,710.00,715.00,710.00,715.00,57700,715.00
2016-10-26,705.00,710.00,705.00,710.00,56800,710.00
2016-10-25,710.00,715.00,710.00,710.00,44200,710.00
2016-10-24,705.00,705.00,705.00,705.00,54900,705.00
