Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2300.00,2300.00,2280.00,2280.00,83500,2280.00
2017-01-31,2300.00,2300.00,2270.00,2300.00,64800,2300.00
2017-01-30,2280.00,2300.00,2280.00,2280.00,55200,2280.00
2017-01-27,2300.00,2300.00,2280.00,2280.00,51600,2280.00
2017-01-26,2320.00,2320.00,2310.00,2310.00,59300,2310.00
2017-01-25,2340.00,2340.00,2330.00,2330.00,66200,2330.00
2017-01-24,2250.00,2340.00,2240.00,2340.00,90300,2340.00
2017-01-23,2280.00,2290.00,2260.00,2260.00,85900,2260.00
2017-01-20,2300.00,2300.00,2280.00,2280.00,60300,2280.00
2017-01-19,2310.00,2320.00,2300.00,2300.00,100100,2300.00
2017-01-18,2340.00,2340.00,2310.00,2310.00,80800,2310.00
2017-01-17,2350.00,2350.00,2340.00,2340.00,64900,2340.00
2017-01-16,2350.00,2360.00,2350.00,2350.00,86900,2350.00
2017-01-13,2350.00,2350.00,2340.00,2350.00,75100,2350.00
2017-01-12,2350.00,2360.00,2350.00,2360.00,71200,2360.00
2017-01-11,2360.00,2360.00,2340.00,2350.00,75200,2350.00
2017-01-10,2360.00,2370.00,2360.00,2360.00,112000,2360.00
2017-01-09,2370.00,2370.00,2360.00,2360.00,64100,2360.00
2017-01-06,2360.00,2380.00,2360.00,2370.00,69100,2370.00
2017-01-05,2370.00,2380.00,2340.00,2370.00,39300,2370.00
2017-01-04,2370.00,2380.00,2360.00,2370.00,94700,2370.00
2017-01-03,2360.00,2370.00,2360.00,2370.00,66000,2370.00
2017-01-02,2360.00,2360.00,2360.00,2360.00,000,2360.00
2016-12-30,2370.00,2380.00,2360.00,2360.00,109200,2360.00
2016-12-29,2350.00,2370.00,2340.00,2370.00,90400,2370.00
2016-12-28,2320.00,2370.00,2320.00,2360.00,876300,2360.00
2016-12-27,2320.00,2350.00,2320.00,2320.00,169200,2320.00
2016-12-26,2330.00,2330.00,2330.00,2330.00,000,2330.00
2016-12-23,2340.00,2340.00,2320.00,2330.00,277400,2330.00
