Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,875.00,875.00,850.00,850.00,464500,850.00
2017-01-31,875.00,900.00,765.00,875.00,2597100,875.00
2017-01-30,775.00,780.00,750.00,770.00,64500,770.00
2017-01-27,765.00,775.00,750.00,775.00,227600,775.00
2017-01-26,750.00,775.00,750.00,765.00,251100,765.00
2017-01-25,750.00,765.00,745.00,750.00,631200,750.00
2017-01-24,765.00,765.00,750.00,765.00,116600,765.00
2017-01-23,765.00,770.00,765.00,765.00,5800,765.00
2017-01-20,765.00,770.00,765.00,765.00,196600,765.00
2017-01-19,760.00,765.00,760.00,765.00,44300,765.00
2017-01-18,755.00,765.00,755.00,765.00,145200,765.00
2017-01-17,770.00,780.00,755.00,755.00,139200,755.00
2017-01-16,770.00,780.00,750.00,770.00,7500,770.00
2017-01-13,770.00,770.00,770.00,770.00,4400,770.00
2017-01-12,760.00,770.00,760.00,765.00,212700,765.00
2017-01-11,750.00,760.00,750.00,760.00,15100,760.00
2017-01-10,745.00,750.00,740.00,750.00,1800,750.00
2017-01-09,765.00,765.00,735.00,745.00,30500,745.00
2017-01-06,750.00,765.00,750.00,765.00,39300,765.00
2017-01-05,750.00,765.00,750.00,765.00,23200,765.00
2017-01-04,760.00,780.00,750.00,760.00,16600,760.00
2017-01-03,760.00,770.00,745.00,760.00,42800,760.00
2017-01-02,760.00,760.00,760.00,760.00,000,760.00
2016-12-30,760.00,760.00,745.00,760.00,22200,760.00
2016-12-29,760.00,760.00,745.00,760.00,6800,760.00
2016-12-28,760.00,765.00,745.00,760.00,16100,760.00
2016-12-27,760.00,765.00,760.00,760.00,12100,760.00
2016-12-26,760.00,760.00,760.00,760.00,000,760.00
2016-12-23,770.00,770.00,735.00,760.00,77200,760.00
2016-12-22,785.00,785.00,750.00,770.00,4500,770.00
2016-12-21,765.00,785.00,750.00,750.00,4500,750.00
2016-12-20,775.00,775.00,765.00,765.00,27900,765.00
2016-12-19,775.00,780.00,765.00,775.00,10800,775.00
2016-12-16,775.00,780.00,770.00,775.00,204000,775.00
2016-12-15,750.00,775.00,750.00,775.00,132100,775.00
2016-12-14,750.00,780.00,750.00,775.00,61300,775.00
2016-12-13,760.00,780.00,760.00,775.00,34000,775.00
2016-12-12,760.00,760.00,760.00,760.00,000,760.00
2016-12-09,755.00,770.00,755.00,760.00,192800,760.00
2016-12-08,750.00,755.00,745.00,750.00,60600,750.00
2016-12-07,750.00,750.00,740.00,745.00,17200,745.00
2016-12-06,735.00,750.00,735.00,745.00,50000,745.00
2016-12-05,735.00,745.00,735.00,745.00,63900,745.00
2016-12-02,745.00,750.00,730.00,735.00,197700,735.00
2016-12-01,735.00,750.00,735.00,745.00,28100,745.00
2016-11-30,730.00,750.00,730.00,735.00,27900,735.00
2016-11-29,735.00,750.00,730.00,730.00,59500,730.00
2016-11-28,730.00,750.00,725.00,745.00,112700,745.00
2016-11-25,740.00,740.00,730.00,730.00,160000,730.00
2016-11-24,735.00,740.00,735.00,740.00,8300,740.00
2016-11-23,740.00,740.00,735.00,735.00,70600,735.00
2016-11-22,735.00,740.00,735.00,740.00,51300,740.00
2016-11-21,745.00,740.00,740.00,740.00,73000,740.00
2016-11-18,745.00,745.00,735.00,745.00,23700,745.00
