Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1700.00,1715.00,1690.00,1705.00,16484200,1705.00
2017-01-31,1695.00,1715.00,1680.00,1695.00,13810200,1695.00
2017-01-30,1730.00,1730.00,1700.00,1715.00,26468900,1715.00
2017-01-27,1730.00,1730.00,1690.00,1730.00,4468200,1730.00
2017-01-26,1730.00,1730.00,1705.00,1720.00,5739300,1720.00
2017-01-25,1760.00,1760.00,1700.00,1730.00,8739500,1730.00
2017-01-24,1715.00,1765.00,1710.00,1765.00,7833700,1765.00
2017-01-23,1730.00,1735.00,1695.00,1715.00,6343900,1715.00
2017-01-20,1700.00,1740.00,1695.00,1725.00,13584000,1725.00
2017-01-19,1645.00,1690.00,1645.00,1690.00,7142100,1690.00
2017-01-18,1625.00,1670.00,1625.00,1645.00,7927100,1645.00
2017-01-17,1670.00,1680.00,1625.00,1640.00,13157100,1640.00
2017-01-16,1745.00,1745.00,1660.00,1680.00,13863300,1680.00
2017-01-13,1790.00,1790.00,1765.00,1765.00,5974900,1765.00
2017-01-12,1800.00,1810.00,1780.00,1780.00,4821000,1780.00
2017-01-11,1800.00,1805.00,1780.00,1795.00,9154600,1795.00
2017-01-10,1755.00,1770.00,1735.00,1760.00,8541600,1760.00
2017-01-09,1760.00,1780.00,1750.00,1765.00,3213600,1765.00
2017-01-06,1775.00,1775.00,1750.00,1770.00,6512600,1770.00
2017-01-05,1725.00,1785.00,1725.00,1775.00,9983000,1775.00
2017-01-04,1730.00,1750.00,1715.00,1735.00,6983900,1735.00
2017-01-03,1715.00,1750.00,1715.00,1730.00,4065700,1730.00
2017-01-02,1755.00,1755.00,1755.00,1755.00,000,1755.00
2016-12-30,1750.00,1775.00,1740.00,1755.00,20083100,1755.00
2016-12-29,1585.00,1730.00,1585.00,1730.00,17202800,1730.00
2016-12-28,1600.00,1630.00,1585.00,1590.00,12505900,1590.00
2016-12-27,1620.00,1620.00,1570.00,1590.00,8237900,1590.00
2016-12-26,1620.00,1620.00,1620.00,1620.00,000,1620.00
2016-12-23,1585.00,1625.00,1470.00,1620.00,50878600,1620.00
2016-12-22,1680.00,1715.00,1595.00,1620.00,21498400,1620.00
2016-12-21,1780.00,1790.00,1655.00,1655.00,11841300,1655.00
2016-12-20,1775.00,1805.00,1755.00,1775.00,3432500,1775.00
2016-12-19,1820.00,1840.00,1760.00,1780.00,6733500,1780.00
2016-12-16,1900.00,1900.00,1850.00,1860.00,7325800,1860.00
2016-12-15,1820.00,1900.00,1795.00,1900.00,9617500,1900.00
