Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,218.00,218.00,218.00,218.00,100,218.00
2017-01-31,218.00,226.00,202.00,218.00,3200,218.00
2017-01-30,206.00,226.00,206.00,226.00,100,226.00
2017-01-27,206.00,206.00,206.00,206.00,000,206.00
2017-01-26,204.00,206.00,204.00,206.00,22000,206.00
2017-01-25,204.00,204.00,204.00,204.00,1000,204.00
2017-01-24,204.00,204.00,204.00,204.00,15500,204.00
2017-01-23,220.00,220.00,220.00,220.00,000,220.00
2017-01-20,200.00,220.00,200.00,220.00,20700,220.00
2017-01-19,204.00,204.00,204.00,204.00,000,204.00
2017-01-18,210.00,220.00,202.00,204.00,30700,204.00
2017-01-17,200.00,210.00,200.00,210.00,1100,210.00
2017-01-16,214.00,214.00,200.00,200.00,100,200.00
2017-01-13,214.00,214.00,214.00,214.00,100,214.00
2017-01-12,212.00,212.00,212.00,212.00,1400,212.00
2017-01-11,214.00,214.00,212.00,212.00,300,212.00
2017-01-10,214.00,214.00,214.00,214.00,10100,214.00
2017-01-09,214.00,214.00,214.00,214.00,000,214.00
2017-01-06,214.00,214.00,214.00,214.00,000,214.00
2017-01-05,200.00,214.00,200.00,214.00,9200,214.00
2017-01-04,210.00,214.00,210.00,214.00,4100,214.00
2017-01-03,210.00,210.00,210.00,210.00,700,210.00
2017-01-02,210.00,210.00,210.00,210.00,000,210.00
2016-12-30,210.00,210.00,210.00,210.00,100,210.00
2016-12-29,214.00,214.00,202.00,202.00,500,202.00
2016-12-28,206.00,206.00,206.00,206.00,100,206.00
2016-12-27,200.00,200.00,187.00,191.00,12800,191.00
2016-12-26,202.00,202.00,202.00,202.00,000,202.00
2016-12-23,202.00,202.00,202.00,202.00,100,202.00
2016-12-22,202.00,218.00,202.00,218.00,200,218.00
2016-12-21,220.00,220.00,220.00,220.00,100,220.00
2016-12-20,206.00,220.00,206.00,220.00,100,220.00
2016-12-19,218.00,226.00,206.00,206.00,700,206.00
2016-12-16,218.00,218.00,218.00,218.00,500,218.00
2016-12-15,218.00,218.00,218.00,218.00,1300,218.00
2016-12-14,204.00,204.00,204.00,204.00,000,204.00
2016-12-13,220.00,220.00,200.00,204.00,500,204.00
2016-12-12,220.00,220.00,220.00,220.00,000,220.00
2016-12-09,220.00,220.00,220.00,220.00,400,220.00
2016-12-08,220.00,220.00,220.00,220.00,000,220.00
2016-12-07,214.00,220.00,214.00,220.00,1200,220.00
2016-12-06,214.00,214.00,214.00,214.00,200,214.00
2016-12-05,214.00,214.00,206.00,214.00,12900,214.00
2016-12-02,216.00,216.00,216.00,216.00,200,216.00
2016-12-01,210.00,210.00,210.00,210.00,20200,210.00
2016-11-30,218.00,218.00,210.00,210.00,200,210.00
2016-11-29,210.00,210.00,210.00,210.00,1400,210.00
2016-11-28,210.00,210.00,210.00,210.00,100,210.00
2016-11-25,210.00,210.00,210.00,210.00,000,210.00
2016-11-24,210.00,210.00,210.00,210.00,100,210.00
2016-11-23,210.00,210.00,210.00,210.00,13100,210.00
2016-11-22,210.00,210.00,200.00,200.00,16900,200.00
2016-11-21,210.00,214.00,210.00,210.00,300,210.00
2016-11-18,208.00,210.00,208.00,210.00,200,210.00
