Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,320.00,322.00,318.00,320.00,123200,320.00
2017-01-31,320.00,320.00,320.00,320.00,102500,320.00
2017-01-30,318.00,320.00,318.00,320.00,28200,320.00
2017-01-27,318.00,320.00,316.00,318.00,121600,318.00
2017-01-26,316.00,318.00,316.00,318.00,108500,318.00
2017-01-25,316.00,318.00,316.00,316.00,131800,316.00
2017-01-24,316.00,320.00,316.00,316.00,112300,316.00
2017-01-23,316.00,318.00,314.00,316.00,132700,316.00
2017-01-20,316.00,316.00,314.00,316.00,136500,316.00
2017-01-19,318.00,318.00,316.00,316.00,152200,316.00
2017-01-18,318.00,320.00,318.00,318.00,123900,318.00
2017-01-17,316.00,318.00,316.00,318.00,134600,318.00
2017-01-16,316.00,316.00,316.00,316.00,125000,316.00
2017-01-13,316.00,316.00,316.00,316.00,83500,316.00
2017-01-12,314.00,318.00,314.00,316.00,101300,316.00
2017-01-11,308.00,316.00,308.00,314.00,138400,314.00
2017-01-10,302.00,308.00,302.00,308.00,155200,308.00
2017-01-09,296.00,302.00,296.00,302.00,133500,302.00
2017-01-06,296.00,298.00,294.00,296.00,131700,296.00
2017-01-05,296.00,298.00,296.00,296.00,131400,296.00
2017-01-04,294.00,298.00,294.00,296.00,131500,296.00
2017-01-03,298.00,298.00,294.00,294.00,93400,294.00
2017-01-02,298.00,298.00,298.00,298.00,000,298.00
2016-12-30,298.00,298.00,296.00,298.00,103200,298.00
2016-12-29,298.00,300.00,296.00,298.00,80800,298.00
2016-12-28,298.00,298.00,290.00,296.00,72600,296.00
2016-12-27,296.00,300.00,296.00,298.00,91200,298.00
2016-12-26,296.00,296.00,296.00,296.00,000,296.00
2016-12-23,298.00,302.00,296.00,296.00,89900,296.00
2016-12-22,300.00,304.00,296.00,298.00,112700,298.00
2016-12-21,298.00,300.00,298.00,300.00,85200,300.00
2016-12-20,300.00,300.00,296.00,298.00,84800,298.00
2016-12-19,298.00,300.00,298.00,300.00,101200,300.00
2016-12-16,294.00,300.00,294.00,300.00,116600,300.00
2016-12-15,292.00,294.00,292.00,294.00,68500,294.00
2016-12-14,286.00,292.00,286.00,292.00,69500,292.00
2016-12-13,290.00,290.00,288.00,288.00,16700,288.00
2016-12-12,290.00,290.00,290.00,290.00,000,290.00
2016-12-09,290.00,290.00,286.00,290.00,58500,290.00
2016-12-08,286.00,290.00,286.00,290.00,72200,290.00
2016-12-07,288.00,290.00,286.00,288.00,73400,288.00
2016-12-06,286.00,288.00,286.00,286.00,16100,286.00
2016-12-05,288.00,288.00,288.00,288.00,22500,288.00
2016-12-02,288.00,288.00,288.00,288.00,000,288.00
2016-12-01,288.00,288.00,286.00,288.00,28200,288.00
2016-11-30,290.00,290.00,288.00,288.00,11100,288.00
2016-11-29,290.00,292.00,288.00,292.00,37800,292.00
2016-11-28,292.00,292.00,290.00,290.00,24700,290.00
2016-11-25,290.00,292.00,290.00,292.00,24000,292.00
2016-11-24,292.00,292.00,290.00,290.00,23400,290.00
2016-11-23,292.00,294.00,292.00,294.00,23800,294.00
2016-11-22,292.00,294.00,292.00,294.00,108800,294.00
2016-11-21,290.00,292.00,288.00,292.00,83500,292.00
2016-11-18,290.00,290.00,290.00,290.00,27700,290.00
2016-11-17,290.00,294.00,288.00,290.00,85800,290.00
2016-11-16,288.00,290.00,288.00,290.00,52500,290.00
2016-11-15,286.00,288.00,286.00,288.00,94800,288.00
2016-11-14,288.00,288.00,286.00,286.00,108500,286.00
2016-11-11,296.00,296.00,288.00,290.00,99100,290.00
2016-11-10,292.00,298.00,292.00,296.00,152300,296.00
2016-11-09,294.00,294.00,290.00,292.00,32600,292.00
2016-11-08,292.00,294.00,290.00,294.00,137600,294.00
2016-11-07,294.00,296.00,290.00,290.00,101200,290.00
2016-11-04,296.00,296.00,294.00,294.00,53000,294.00
2016-11-03,298.00,298.00,296.00,296.00,120500,296.00
2016-11-02,296.00,300.00,296.00,298.00,145200,298.00
2016-11-01,290.00,296.00,290.00,296.00,160700,296.00
2016-10-31,280.00,290.00,280.00,290.00,124800,290.00
2016-10-28,280.00,282.00,276.00,280.00,84500,280.00
2016-10-27,278.00,282.00,276.00,280.00,89600,280.00
2016-10-26,278.00,280.00,276.00,280.00,36000,280.00
2016-10-25,280.00,280.00,270.00,280.00,58200,280.00
2016-10-24,280.00,280.00,278.00,280.00,103100,280.00
2016-10-21,278.00,280.00,278.00,280.00,389300,280.00
2016-10-20,272.00,278.00,272.00,278.00,700500,278.00
2016-10-19,278.00,278.00,276.00,276.00,1980000,276.00
2016-10-18,284.00,284.00,278.00,278.00,605000,278.00
2016-10-17,278.00,284.00,278.00,284.00,45000,284.00
2016-10-14,284.00,284.00,284.00,284.00,41000,284.00
2016-10-13,284.00,284.00,284.00,284.00,000,284.00
2016-10-12,284.00,284.00,284.00,284.00,000,284.00
2016-10-11,288.00,290.00,284.00,284.00,40300,284.00
2016-10-10,294.00,294.00,288.00,288.00,47500,288.00
2016-10-07,294.00,294.00,294.00,294.00,000,294.00
2016-10-06,302.00,302.00,294.00,294.00,40100,294.00
2016-10-05,306.00,306.00,304.00,306.00,474600,306.00
2016-10-04,306.00,306.00,306.00,306.00,000,306.00
2016-10-03,306.00,308.00,306.00,306.00,35000,306.00
2016-09-30,304.00,304.00,304.00,304.00,000,304.00
2016-09-29,304.00,304.00,304.00,304.00,000,304.00
2016-09-28,304.00,304.00,304.00,304.00,27000,304.00
2016-09-27,306.00,306.00,304.00,306.00,25500,306.00
2016-09-26,306.00,306.00,306.00,306.00,27200,306.00
2016-09-23,308.00,308.00,308.00,308.00,000,308.00
2016-09-22,308.00,308.00,308.00,308.00,22500,308.00
2016-09-21,308.00,308.00,308.00,308.00,000,308.00
2016-09-20,308.00,308.00,308.00,308.00,22500,308.00
2016-09-19,308.00,308.00,308.00,308.00,000,308.00
2016-09-16,308.00,308.00,308.00,308.00,32000,308.00
2016-09-15,308.00,308.00,308.00,308.00,35000,308.00
2016-09-14,310.00,310.00,282.00,308.00,30500,308.00
2016-09-13,312.00,312.00,312.00,312.00,17500,312.00
2016-09-12,290.00,290.00,290.00,290.00,000,290.00
2016-09-09,290.00,290.00,290.00,290.00,24500,290.00
2016-09-08,312.00,312.00,290.00,312.00,20500,312.00
2016-09-07,312.00,312.00,312.00,312.00,000,312.00
2016-09-06,312.00,312.00,312.00,312.00,000,312.00
2016-09-05,312.00,312.00,312.00,312.00,000,312.00
2016-09-02,312.00,312.00,312.00,312.00,000,312.00
2016-09-01,310.00,312.00,310.00,312.00,32500,312.00
2016-08-31,310.00,310.00,310.00,310.00,000,310.00
2016-08-30,308.00,310.00,308.00,310.00,44000,310.00
2016-08-29,308.00,308.00,308.00,308.00,000,308.00
2016-08-26,308.00,308.00,308.00,308.00,32000,308.00
2016-08-25,306.00,308.00,306.00,308.00,50000,308.00
2016-08-24,308.00,308.00,308.00,308.00,34900,308.00
2016-08-23,308.00,308.00,308.00,308.00,26500,308.00
2016-08-22,314.00,314.00,310.00,310.00,131800,310.00
2016-08-19,308.00,308.00,308.00,308.00,000,308.00
2016-08-18,308.00,308.00,308.00,308.00,25200,308.00
2016-08-17,302.00,302.00,302.00,302.00,000,302.00
2016-08-16,304.00,304.00,276.00,302.00,46400,302.00
2016-08-15,306.00,306.00,304.00,304.00,18400,304.00
2016-08-12,290.00,290.00,290.00,290.00,100,290.00
2016-08-11,306.00,306.00,306.00,306.00,000,306.00
2016-08-10,304.00,306.00,304.00,306.00,30000,306.00
2016-08-09,296.00,296.00,296.00,296.00,12700,296.00
2016-08-08,298.00,298.00,296.00,296.00,25000,296.00
2016-08-05,304.00,306.00,304.00,304.00,94000,304.00
2016-08-04,304.00,304.00,298.00,304.00,43500,304.00
2016-08-03,304.00,304.00,304.00,304.00,42500,304.00
2016-08-02,306.00,306.00,300.00,304.00,719500,304.00
2016-08-01,306.00,306.00,306.00,306.00,45400,306.00
2016-07-29,302.00,306.00,302.00,306.00,47500,306.00
