Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,442.00,460.00,442.00,460.00,5800,460.00
2017-01-31,442.00,442.00,442.00,442.00,400,442.00
2017-01-30,442.00,442.00,442.00,442.00,000,442.00
2017-01-27,442.00,442.00,442.00,442.00,000,442.00
2017-01-26,442.00,442.00,442.00,442.00,300,442.00
2017-01-25,460.00,460.00,460.00,460.00,160100,460.00
2017-01-24,460.00,460.00,442.00,442.00,1300,442.00
2017-01-23,460.00,460.00,460.00,460.00,1100,460.00
2017-01-20,460.00,460.00,460.00,460.00,000,460.00
2017-01-19,460.00,460.00,460.00,460.00,306600,460.00
2017-01-18,450.00,460.00,450.00,456.00,661000,456.00
2017-01-17,470.00,470.00,440.00,450.00,184400,450.00
2017-01-16,470.00,470.00,470.00,470.00,000,470.00
2017-01-13,470.00,470.00,470.00,470.00,1000,470.00
2017-01-12,470.00,470.00,470.00,470.00,000,470.00
2017-01-11,470.00,470.00,470.00,470.00,000,470.00
2017-01-10,456.00,470.00,456.00,470.00,200,470.00
2017-01-09,456.00,456.00,456.00,456.00,000,456.00
2017-01-06,456.00,456.00,456.00,456.00,000,456.00
2017-01-05,456.00,456.00,456.00,456.00,1900,456.00
2017-01-04,456.00,456.00,456.00,456.00,000,456.00
2017-01-03,456.00,456.00,456.00,456.00,000,456.00
2017-01-02,456.00,456.00,456.00,456.00,000,456.00
2016-12-30,456.00,456.00,456.00,456.00,6800,456.00
2016-12-29,456.00,456.00,456.00,456.00,462000,456.00
2016-12-28,454.00,454.00,454.00,454.00,000,454.00
2016-12-27,454.00,454.00,454.00,454.00,500,454.00
2016-12-26,454.00,454.00,454.00,454.00,000,454.00
2016-12-23,454.00,454.00,454.00,454.00,300,454.00
2016-12-22,454.00,454.00,454.00,454.00,000,454.00
2016-12-21,456.00,456.00,452.00,454.00,2200,454.00
2016-12-20,470.00,470.00,456.00,456.00,2200,456.00
2016-12-19,452.00,470.00,452.00,470.00,1500,470.00
2016-12-16,458.00,460.00,458.00,458.00,900,458.00
2016-12-15,454.00,458.00,454.00,458.00,55100,458.00
2016-12-14,454.00,458.00,454.00,458.00,3000,458.00
2016-12-13,454.00,494.00,454.00,456.00,45200,456.00
2016-12-12,454.00,454.00,454.00,454.00,000,454.00
2016-12-09,454.00,454.00,454.00,454.00,3900,454.00
2016-12-08,452.00,456.00,452.00,456.00,3900,456.00
2016-12-07,480.00,480.00,480.00,480.00,000,480.00
2016-12-06,450.00,480.00,450.00,480.00,5900,480.00
2016-12-05,452.00,452.00,452.00,452.00,000,452.00
2016-12-02,452.00,452.00,452.00,452.00,1900,452.00
2016-12-01,450.00,450.00,450.00,450.00,000,450.00
2016-11-30,450.00,450.00,450.00,450.00,000,450.00
2016-11-29,450.00,450.00,450.00,450.00,113500,450.00
2016-11-28,452.00,452.00,452.00,452.00,1900,452.00
2016-11-25,452.00,452.00,452.00,452.00,14600,452.00
2016-11-24,474.00,474.00,474.00,474.00,200,474.00
2016-11-23,510.00,510.00,510.00,510.00,100,510.00
2016-11-22,498.00,498.00,498.00,498.00,100,498.00
2016-11-21,452.00,452.00,452.00,452.00,100,452.00
2016-11-18,460.00,460.00,452.00,452.00,13900,452.00
2016-11-17,452.00,452.00,452.00,452.00,8400,452.00
2016-11-16,454.00,482.00,452.00,482.00,300,482.00
2016-11-15,454.00,454.00,454.00,454.00,1600,454.00
2016-11-14,452.00,452.00,452.00,452.00,58000,452.00
2016-11-11,450.00,450.00,450.00,450.00,109000,450.00
2016-11-10,430.00,460.00,430.00,450.00,5400,450.00
2016-11-09,450.00,452.00,450.00,450.00,4500,450.00
2016-11-08,450.00,470.00,450.00,460.00,10900,460.00
2016-11-07,450.00,450.00,450.00,450.00,1700,450.00
2016-11-04,460.00,460.00,450.00,450.00,14700,450.00
2016-11-03,450.00,470.00,450.00,460.00,17900,460.00
2016-11-02,470.00,476.00,450.00,450.00,14300,450.00
2016-11-01,460.00,476.00,450.00,450.00,24600,450.00
2016-10-31,460.00,460.00,460.00,460.00,17900,460.00
2016-10-28,470.00,470.00,430.00,430.00,11200,430.00
2016-10-27,470.00,470.00,470.00,470.00,100,470.00
2016-10-26,440.00,468.00,420.00,464.00,7300,464.00
2016-10-25,466.00,466.00,440.00,440.00,900,440.00
2016-10-24,476.00,476.00,432.00,438.00,3500,438.00
2016-10-21,476.00,476.00,476.00,476.00,100,476.00
2016-10-20,478.00,478.00,434.00,434.00,6100,434.00
2016-10-19,496.00,496.00,440.00,476.00,100500,476.00
2016-10-18,480.00,480.00,478.00,478.00,300,478.00
2016-10-17,440.00,442.00,440.00,442.00,2500,442.00
2016-10-14,460.00,460.00,460.00,460.00,28200,460.00
2016-10-13,460.00,462.00,460.00,462.00,4100,462.00
2016-10-12,460.00,460.00,460.00,460.00,450000,460.00
2016-10-11,490.00,490.00,460.00,460.00,700,460.00
2016-10-10,460.00,498.00,460.00,490.00,7300,490.00
2016-10-07,470.00,470.00,460.00,460.00,421500,460.00
2016-10-06,460.00,470.00,460.00,470.00,4900,470.00
2016-10-05,460.00,470.00,460.00,460.00,34500,460.00
2016-10-04,460.00,478.00,460.00,478.00,16500,478.00
2016-10-03,474.00,474.00,460.00,460.00,9900,460.00
2016-09-30,460.00,460.00,460.00,460.00,2084900,460.00
2016-09-29,460.00,460.00,460.00,460.00,4000,460.00
2016-09-28,460.00,464.00,460.00,460.00,17300,460.00
2016-09-27,450.00,460.00,450.00,460.00,630700,460.00
2016-09-26,460.00,460.00,450.00,450.00,20300,450.00
