Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,200.00,200.00,200.00,200.00,000,200.00
2017-01-31,200.00,200.00,200.00,200.00,000,200.00
2017-01-30,200.00,200.00,200.00,200.00,000,200.00
2017-01-27,200.00,200.00,200.00,200.00,000,200.00
2017-01-26,200.00,200.00,200.00,200.00,000,200.00
2017-01-25,200.00,200.00,200.00,200.00,1900,200.00
2017-01-24,200.00,200.00,200.00,200.00,000,200.00
2017-01-23,200.00,200.00,200.00,200.00,000,200.00
2017-01-20,200.00,200.00,200.00,200.00,000,200.00
2017-01-19,200.00,200.00,200.00,200.00,000,200.00
2017-01-18,200.00,200.00,200.00,200.00,000,200.00
2017-01-17,200.00,200.00,200.00,200.00,000,200.00
2017-01-16,200.00,200.00,200.00,200.00,000,200.00
2017-01-13,200.00,200.00,200.00,200.00,000,200.00
2017-01-12,200.00,200.00,200.00,200.00,000,200.00
2017-01-11,200.00,200.00,200.00,200.00,000,200.00
2017-01-10,220.00,220.00,200.00,200.00,100,200.00
2017-01-09,220.00,220.00,220.00,220.00,000,220.00
2017-01-06,220.00,220.00,220.00,220.00,000,220.00
2017-01-05,220.00,220.00,220.00,220.00,000,220.00
2017-01-04,220.00,220.00,220.00,220.00,000,220.00
2017-01-03,220.00,220.00,220.00,220.00,1000,220.00
2017-01-02,200.00,200.00,200.00,200.00,000,200.00
2016-12-30,200.00,200.00,200.00,200.00,000,200.00
2016-12-29,200.00,200.00,200.00,200.00,000,200.00
2016-12-28,181.00,200.00,181.00,200.00,2100,200.00
2016-12-27,180.00,180.00,180.00,180.00,100,180.00
2016-12-26,177.00,177.00,177.00,177.00,000,177.00
2016-12-23,177.00,177.00,177.00,177.00,000,177.00
2016-12-22,177.00,177.00,177.00,177.00,000,177.00
2016-12-21,177.00,177.00,177.00,177.00,000,177.00
2016-12-20,177.00,177.00,177.00,177.00,000,177.00
2016-12-19,177.00,177.00,177.00,177.00,000,177.00
2016-12-16,177.00,177.00,177.00,177.00,000,177.00
2016-12-15,177.00,177.00,177.00,177.00,000,177.00
2016-12-14,177.00,177.00,177.00,177.00,000,177.00
2016-12-13,177.00,177.00,177.00,177.00,000,177.00
2016-12-12,177.00,177.00,177.00,177.00,000,177.00
2016-12-09,177.00,177.00,177.00,177.00,000,177.00
2016-12-08,177.00,177.00,177.00,177.00,100,177.00
2016-12-07,196.00,196.00,196.00,196.00,500,196.00
2016-12-06,212.00,212.00,212.00,212.00,200,212.00
2016-12-05,228.00,228.00,228.00,228.00,500,228.00
2016-12-02,252.00,252.00,252.00,252.00,3100,252.00
2016-12-01,280.00,280.00,280.00,280.00,000,280.00
2016-11-30,280.00,280.00,280.00,280.00,100,280.00
2016-11-29,270.00,270.00,270.00,270.00,400,270.00
2016-11-28,218.00,218.00,218.00,218.00,000,218.00
