Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,109.00,115.00,108.00,114.00,48932400,114.00
2017-01-31,109.00,109.00,107.00,109.00,7910500,109.00
2017-01-30,110.00,110.00,107.00,109.00,18818900,109.00
2017-01-27,111.00,112.00,109.00,110.00,16669700,110.00
2017-01-26,112.00,112.00,111.00,111.00,11940900,111.00
2017-01-25,112.00,115.00,110.00,112.00,28314200,112.00
2017-01-24,113.00,113.00,110.00,112.00,17974900,112.00
2017-01-23,112.00,115.00,111.00,112.00,17246500,112.00
2017-01-20,115.00,115.00,111.00,112.00,29545900,112.00
2017-01-19,118.00,118.00,113.00,115.00,33253700,115.00
2017-01-18,117.00,118.00,115.00,117.00,25350900,117.00
2017-01-17,118.00,121.00,116.00,117.00,77688100,117.00
2017-01-16,115.00,122.00,112.00,118.00,75043700,118.00
2017-01-13,119.00,120.00,112.00,115.00,29074300,115.00
2017-01-12,125.00,125.00,116.00,120.00,23446900,120.00
2017-01-11,129.00,136.00,120.00,125.00,39747300,125.00
2017-01-10,119.00,135.00,119.00,129.00,34146400,129.00
2017-01-09,116.00,143.00,116.00,119.00,16912600,119.00
2017-01-06,116.00,116.00,113.00,116.00,413500,116.00
2017-01-05,115.00,117.00,112.00,116.00,977900,116.00
2017-01-04,118.00,120.00,115.00,117.00,328900,117.00
2017-01-03,120.00,120.00,116.00,118.00,314700,118.00
2017-01-02,120.00,120.00,120.00,120.00,000,120.00
2016-12-30,120.00,121.00,118.00,120.00,1088300,120.00
2016-12-29,120.00,124.00,119.00,121.00,959400,121.00
2016-12-28,122.00,122.00,117.00,122.00,820000,122.00
2016-12-27,123.00,123.00,117.00,122.00,584000,122.00
2016-12-26,123.00,123.00,123.00,123.00,000,123.00
2016-12-23,122.00,125.00,118.00,123.00,277500,123.00
2016-12-22,127.00,127.00,122.00,124.00,289300,124.00
2016-12-21,131.00,131.00,127.00,127.00,205500,127.00
2016-12-20,133.00,133.00,128.00,131.00,553600,131.00
2016-12-19,134.00,134.00,128.00,133.00,1083900,133.00
2016-12-16,130.00,135.00,128.00,134.00,326500,134.00
2016-12-15,135.00,136.00,130.00,130.00,307900,130.00
2016-12-14,132.00,135.00,130.00,135.00,839600,135.00
2016-12-13,136.00,145.00,131.00,135.00,516300,135.00
2016-12-12,136.00,136.00,136.00,136.00,000,136.00
2016-12-09,138.00,138.00,136.00,136.00,156100,136.00
2016-12-08,142.00,142.00,131.00,138.00,430500,138.00
2016-12-07,142.00,143.00,138.00,139.00,584000,139.00
2016-12-06,145.00,145.00,142.00,142.00,272400,142.00
2016-12-05,144.00,148.00,142.00,144.00,209000,144.00
2016-12-02,145.00,145.00,140.00,145.00,414600,145.00
