Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,93.00,95.00,93.00,95.00,11100,95.00
2017-01-31,93.00,93.00,93.00,93.00,4800,93.00
2017-01-30,91.00,95.00,91.00,95.00,13100,95.00
2017-01-27,87.00,91.00,87.00,91.00,20600,91.00
2017-01-26,90.00,115.00,82.00,91.00,55000,91.00
2017-01-25,90.00,91.00,90.00,90.00,102100,90.00
2017-01-24,77.00,90.00,75.00,90.00,137600,90.00
2017-01-23,80.00,80.00,78.00,78.00,200,78.00
2017-01-20,84.00,84.00,80.00,80.00,10100,80.00
2017-01-19,82.00,90.00,81.00,81.00,97200,81.00
2017-01-18,80.00,80.00,73.00,75.00,41900,75.00
2017-01-17,80.00,80.00,80.00,80.00,000,80.00
2017-01-16,82.00,82.00,80.00,80.00,34900,80.00
2017-01-13,81.00,85.00,71.00,82.00,269700,82.00
2017-01-12,89.00,91.00,80.00,91.00,35700,91.00
2017-01-11,89.00,89.00,88.00,89.00,2600,89.00
2017-01-10,86.00,95.00,86.00,89.00,44900,89.00
2017-01-09,103.00,123.00,77.00,86.00,145300,86.00
2017-01-06,85.00,107.00,85.00,103.00,85000,103.00
2017-01-05,94.00,94.00,94.00,94.00,1000,94.00
2017-01-04,88.00,118.00,88.00,97.00,10700,97.00
2017-01-03,88.00,88.00,88.00,88.00,000,88.00
2017-01-02,88.00,88.00,88.00,88.00,000,88.00
2016-12-30,88.00,88.00,81.00,88.00,14100,88.00
2016-12-29,81.00,88.00,80.00,80.00,1300,80.00
2016-12-28,84.00,90.00,84.00,88.00,2000,88.00
2016-12-27,79.00,101.00,77.00,88.00,61831500,88.00
2016-12-26,77.00,77.00,77.00,77.00,000,77.00
2016-12-23,78.00,82.00,76.00,77.00,47700,77.00
2016-12-22,78.00,78.00,78.00,78.00,000,78.00
2016-12-21,78.00,78.00,78.00,78.00,000,78.00
2016-12-20,78.00,78.00,78.00,78.00,000,78.00
2016-12-19,78.00,78.00,78.00,78.00,200,78.00
2016-12-16,74.00,74.00,74.00,74.00,000,74.00
2016-12-15,74.00,74.00,74.00,74.00,000,74.00
2016-12-14,74.00,74.00,74.00,74.00,900,74.00
2016-12-13,71.00,76.00,71.00,73.00,3700,73.00
2016-12-12,71.00,71.00,71.00,71.00,000,71.00
2016-12-09,71.00,71.00,71.00,71.00,100,71.00
2016-12-08,76.00,76.00,76.00,76.00,000,76.00
2016-12-07,76.00,76.00,76.00,76.00,100,76.00
2016-12-06,75.00,75.00,75.00,75.00,5000,75.00
2016-12-05,75.00,75.00,75.00,75.00,1900,75.00
2016-12-02,74.00,75.00,74.00,75.00,30500,75.00
2016-12-01,72.00,74.00,72.00,72.00,36700,72.00
2016-11-30,72.00,72.00,72.00,72.00,8000,72.00
2016-11-29,79.00,79.00,73.00,75.00,230100,75.00
2016-11-28,79.00,81.00,72.00,81.00,35800,81.00
2016-11-25,76.00,103.00,72.00,79.00,229000,79.00
2016-11-24,87.00,87.00,79.00,79.00,44000,79.00
2016-11-23,87.00,92.00,87.00,87.00,34100,87.00
2016-11-22,96.00,96.00,96.00,96.00,000,96.00
2016-11-21,95.00,96.00,95.00,96.00,2100,96.00
2016-11-18,95.00,95.00,95.00,95.00,000,95.00
2016-11-17,95.00,95.00,95.00,95.00,000,95.00
2016-11-16,105.00,115.00,95.00,95.00,900,95.00
2016-11-15,105.00,105.00,105.00,105.00,000,105.00
2016-11-14,89.00,105.00,89.00,105.00,200,105.00
2016-11-11,98.00,98.00,89.00,89.00,200,89.00
2016-11-10,82.00,100.00,82.00,98.00,500,98.00
2016-11-09,91.00,91.00,91.00,91.00,5800,91.00
2016-11-08,101.00,101.00,101.00,101.00,000,101.00
2016-11-07,109.00,109.00,101.00,101.00,400,101.00
2016-11-04,109.00,109.00,109.00,109.00,000,109.00
2016-11-03,109.00,109.00,109.00,109.00,100,109.00
2016-11-02,99.00,99.00,99.00,99.00,200,99.00
2016-11-01,95.00,95.00,95.00,95.00,000,95.00
2016-10-31,95.00,95.00,95.00,95.00,000,95.00
2016-10-28,95.00,95.00,95.00,95.00,500,95.00
