Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2870.00,2920.00,2840.00,2900.00,6763300,2900.00
2017-01-31,2820.00,2890.00,2820.00,2820.00,7655900,2820.00
2017-01-30,2920.00,2930.00,2840.00,2870.00,8371200,2870.00
2017-01-27,2860.00,2970.00,2850.00,2900.00,19777200,2900.00
2017-01-26,2770.00,2850.00,2770.00,2840.00,17361000,2840.00
2017-01-25,2680.00,2820.00,2660.00,2750.00,10293300,2750.00
2017-01-24,2620.00,2680.00,2620.00,2670.00,5200100,2670.00
2017-01-23,2650.00,2650.00,2560.00,2620.00,3684900,2620.00
2017-01-20,2680.00,2680.00,2650.00,2660.00,4074000,2660.00
2017-01-19,2670.00,2690.00,2670.00,2680.00,4219800,2680.00
2017-01-18,2650.00,2700.00,2650.00,2680.00,11224700,2680.00
2017-01-17,2730.00,2740.00,2660.00,2690.00,10458000,2690.00
2017-01-16,2800.00,2830.00,2760.00,2760.00,6808600,2760.00
2017-01-13,2850.00,2870.00,2760.00,2790.00,11310900,2790.00
2017-01-12,2830.00,2870.00,2810.00,2850.00,6560800,2850.00
2017-01-11,2830.00,2890.00,2770.00,2800.00,7389300,2800.00
2017-01-10,2880.00,2880.00,2790.00,2830.00,10846400,2830.00
2017-01-09,2870.00,2940.00,2850.00,2880.00,7426800,2880.00
2017-01-06,2840.00,2960.00,2840.00,2940.00,6568200,2940.00
2017-01-05,2900.00,2920.00,2850.00,2900.00,8682600,2900.00
2017-01-04,2800.00,2890.00,2760.00,2890.00,10421600,2890.00
2017-01-03,2810.00,2830.00,2750.00,2800.00,2932900,2800.00
2017-01-02,2800.00,2800.00,2800.00,2800.00,000,2800.00
2016-12-30,2800.00,2820.00,2790.00,2800.00,8538100,2800.00
2016-12-29,2730.00,2810.00,2730.00,2800.00,6065000,2800.00
2016-12-28,2800.00,2890.00,2790.00,2800.00,9558500,2800.00
2016-12-27,2840.00,2840.00,2770.00,2790.00,9452200,2790.00
2016-12-26,2760.00,2760.00,2760.00,2760.00,000,2760.00
2016-12-23,2600.00,2760.00,2580.00,2760.00,27486500,2760.00
2016-12-22,2510.00,2610.00,2470.00,2560.00,28402000,2560.00
2016-12-21,2540.00,2650.00,2460.00,2520.00,44711800,2520.00
2016-12-20,2510.00,2550.00,2480.00,2520.00,5837900,2520.00
2016-12-19,2590.00,2590.00,2510.00,2510.00,5664900,2510.00
2016-12-16,2550.00,2600.00,2510.00,2600.00,11019900,2600.00
2016-12-15,2520.00,2560.00,2500.00,2540.00,4866700,2540.00
2016-12-14,2560.00,2560.00,2530.00,2550.00,6448500,2550.00
2016-12-13,2520.00,2550.00,2500.00,2550.00,8171700,2550.00
2016-12-12,2540.00,2540.00,2540.00,2540.00,000,2540.00
2016-12-09,2520.00,2560.00,2510.00,2540.00,5313600,2540.00
2016-12-08,2500.00,2550.00,2500.00,2540.00,9760900,2540.00
2016-12-07,2500.00,2530.00,2470.00,2500.00,14922500,2500.00
2016-12-06,2510.00,2520.00,2490.00,2500.00,14431700,2500.00
2016-12-05,2550.00,2570.00,2490.00,2500.00,22005600,2500.00
2016-12-02,2500.00,2590.00,2500.00,2580.00,33180900,2525.00
2016-12-01,2510.00,2540.00,2470.00,2500.00,16866200,2446.71
2016-11-30,2510.00,2540.00,2480.00,2510.00,37170800,2456.49
2016-11-29,2340.00,2560.00,2320.00,2470.00,42261500,2417.34
2016-11-28,2360.00,2360.00,2280.00,2330.00,25111000,2280.33
2016-11-25,2300.00,2360.00,2290.00,2340.00,15415900,2290.12
2016-11-24,2370.00,2370.00,2280.00,2300.00,11695600,2250.97
2016-11-23,2280.00,2380.00,2280.00,2380.00,27469900,2329.26
2016-11-22,2220.00,2300.00,2210.00,2280.00,18599300,2231.40
2016-11-21,2260.00,2270.00,2210.00,2220.00,16051000,2172.67
2016-11-18,2360.00,2360.00,2250.00,2260.00,22242600,2211.82
2016-11-17,2280.00,2410.00,2230.00,2350.00,46434300,2299.90
2016-11-16,2230.00,2290.00,2130.00,2260.00,67390700,2211.82
2016-11-15,2330.00,2350.00,2170.00,2230.00,41973200,2182.46
2016-11-14,2320.00,2380.00,2240.00,2330.00,22829900,2280.33
2016-11-11,2450.00,2450.00,2260.00,2350.00,27060500,2299.90
2016-11-10,2510.00,2550.00,2460.00,2490.00,11773000,2436.92
2016-11-09,2520.00,2520.00,2350.00,2480.00,22669900,2427.13
2016-11-08,2470.00,2500.00,2400.00,2500.00,13500900,2446.71
2016-11-07,2480.00,2500.00,2420.00,2470.00,21593400,2417.34
2016-11-04,2350.00,2480.00,2330.00,2470.00,16872800,2417.34
2016-11-03,2500.00,2530.00,2370.00,2380.00,13536300,2329.26
2016-11-02,2590.00,2600.00,2490.00,2510.00,15697200,2456.49
2016-11-01,2650.00,2650.00,2580.00,2590.00,9407200,2534.79
2016-10-31,2640.00,2650.00,2590.00,2650.00,4112800,2593.51
2016-10-28,2560.00,2640.00,2560.00,2630.00,3668100,2573.93
2016-10-27,2610.00,2650.00,2580.00,2600.00,6215400,2544.57
2016-10-26,2730.00,2730.00,2650.00,2670.00,12388000,2613.08
2016-10-25,2680.00,2720.00,2650.00,2700.00,21346400,2642.44
2016-10-24,2650.00,2700.00,2620.00,2680.00,12449300,2622.87
2016-10-21,2600.00,2650.00,2550.00,2650.00,11256900,2593.51
2016-10-20,2600.00,2620.00,2590.00,2600.00,4323200,2544.57
2016-10-19,2600.00,2630.00,2580.00,2600.00,12194700,2544.57
2016-10-18,2600.00,2680.00,2580.00,2630.00,11695600,2573.93
2016-10-17,2650.00,2650.00,2580.00,2580.00,11929400,2525.00
2016-10-14,2580.00,2650.00,2550.00,2650.00,11826500,2593.51
2016-10-13,2590.00,2620.00,2540.00,2560.00,26519000,2505.43
2016-10-12,2590.00,2650.00,2570.00,2600.00,6509900,2544.57
2016-10-11,2650.00,2690.00,2580.00,2620.00,14221900,2564.15
2016-10-10,2680.00,2710.00,2650.00,2650.00,5492800,2593.51
2016-10-07,2740.00,2750.00,2650.00,2680.00,6742200,2622.87
2016-10-06,2900.00,2900.00,2720.00,2720.00,9651700,2662.02
2016-10-05,2900.00,2900.00,2820.00,2870.00,6995600,2808.82
2016-10-04,2890.00,2900.00,2860.00,2890.00,5823700,2828.39
2016-10-03,2800.00,2880.00,2800.00,2880.00,7900500,2818.60
2016-09-30,2830.00,2850.00,2780.00,2800.00,8460900,2740.31
2016-09-29,2820.00,2870.00,2820.00,2850.00,11715100,2789.24
2016-09-28,2790.00,2830.00,2770.00,2810.00,3566400,2750.10
2016-09-27,2750.00,2790.00,2710.00,2790.00,9970400,2730.52
2016-09-26,2800.00,2800.00,2730.00,2770.00,6403200,2710.95
2016-09-23,2820.00,2840.00,2780.00,2820.00,8117800,2759.88
2016-09-22,2880.00,2890.00,2770.00,2780.00,6330500,2720.74
2016-09-21,2840.00,2870.00,2750.00,2840.00,7121200,2779.46
2016-09-20,2880.00,2880.00,2770.00,2820.00,5904600,2759.88
2016-09-19,2880.00,2910.00,2820.00,2860.00,5767100,2799.03
2016-09-16,2900.00,2950.00,2810.00,2870.00,7861300,2808.82
2016-09-15,2720.00,2900.00,2720.00,2900.00,13663100,2838.18
2016-09-14,2810.00,2830.00,2680.00,2720.00,17427300,2662.02
2016-09-13,2950.00,2960.00,2800.00,2840.00,9445400,2779.46
2016-09-12,2940.00,2940.00,2940.00,2940.00,000,2877.33
2016-09-09,3020.00,3050.00,2920.00,2940.00,2360200,2877.33
2016-09-08,3010.00,3100.00,3000.00,3000.00,8033400,2936.05
2016-09-07,2970.00,3010.00,2960.00,3000.00,4404700,2936.05
2016-09-06,3000.00,3000.00,2940.00,3000.00,6587800,2936.05
2016-09-05,2990.00,3050.00,2950.00,3000.00,3631000,2936.05
2016-09-02,2950.00,2990.00,2920.00,2960.00,2289000,2896.90
2016-09-01,2950.00,2980.00,2910.00,2930.00,5379800,2867.54
2016-08-31,3020.00,3050.00,2900.00,3030.00,17064900,2965.41
2016-08-30,3050.00,3070.00,3000.00,3070.00,4524500,3004.55
2016-08-29,3040.00,3100.00,3000.00,3100.00,3065400,3033.91
2016-08-26,3110.00,3120.00,3010.00,3040.00,8529600,2975.19
2016-08-25,3150.00,3180.00,3110.00,3140.00,6376500,3073.06
2016-08-24,3190.00,3230.00,3140.00,3150.00,9516400,3082.85
2016-08-23,3190.00,3290.00,3180.00,3290.00,3565800,3219.86
2016-08-22,3190.00,3240.00,3160.00,3240.00,2831000,3170.93
