Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1995.00,2000.00,1990.00,2000.00,351500,2000.00
2017-01-31,1995.00,2000.00,1990.00,1995.00,209500,1995.00
2017-01-30,1990.00,2000.00,1990.00,2000.00,214000,2000.00
2017-01-27,1955.00,1990.00,1950.00,1990.00,504000,1990.00
2017-01-26,1945.00,1990.00,1945.00,1950.00,487000,1950.00
2017-01-25,1935.00,1950.00,1925.00,1945.00,233500,1945.00
2017-01-24,1935.00,1935.00,1925.00,1935.00,737100,1935.00
2017-01-23,1925.00,1950.00,1920.00,1935.00,642800,1935.00
2017-01-20,1920.00,1930.00,1920.00,1925.00,862900,1925.00
2017-01-19,1920.00,1920.00,1915.00,1920.00,855100,1920.00
2017-01-18,1905.00,1920.00,1900.00,1920.00,805100,1920.00
2017-01-17,1905.00,1905.00,1885.00,1905.00,135100,1905.00
2017-01-16,1900.00,1905.00,1895.00,1905.00,110000,1905.00
2017-01-13,1900.00,1900.00,1900.00,1900.00,226600,1900.00
2017-01-12,1900.00,1900.00,1880.00,1900.00,258900,1900.00
2017-01-11,1895.00,1900.00,1890.00,1900.00,138900,1900.00
2017-01-10,1900.00,1910.00,1890.00,1895.00,221400,1895.00
2017-01-09,1900.00,1905.00,1895.00,1900.00,151300,1900.00
2017-01-06,1930.00,1930.00,1900.00,1900.00,109000,1900.00
2017-01-05,1910.00,1910.00,1900.00,1900.00,88100,1900.00
2017-01-04,1900.00,1905.00,1900.00,1905.00,110000,1905.00
2017-01-03,1910.00,1910.00,1900.00,1900.00,65500,1900.00
2017-01-02,1910.00,1910.00,1910.00,1910.00,000,1910.00
2016-12-30,1910.00,1910.00,1890.00,1910.00,167600,1910.00
2016-12-29,1910.00,1910.00,1900.00,1900.00,76700,1900.00
2016-12-28,1910.00,1910.00,1895.00,1910.00,142400,1910.00
2016-12-27,1900.00,1905.00,1890.00,1905.00,106000,1905.00
2016-12-26,1900.00,1900.00,1900.00,1900.00,000,1900.00
2016-12-23,1900.00,1905.00,1895.00,1900.00,128400,1900.00
2016-12-22,1895.00,1900.00,1890.00,1900.00,158000,1900.00
2016-12-21,1900.00,1905.00,1890.00,1895.00,184400,1895.00
2016-12-20,1900.00,1905.00,1850.00,1900.00,270000,1900.00
2016-12-19,1890.00,1900.00,1890.00,1900.00,104300,1900.00
2016-12-16,1905.00,1910.00,1880.00,1905.00,217500,1905.00
2016-12-15,1905.00,1905.00,1895.00,1905.00,160700,1905.00
2016-12-14,1905.00,1905.00,1890.00,1905.00,148200,1905.00
2016-12-13,1905.00,1910.00,1895.00,1905.00,150300,1905.00
2016-12-12,1905.00,1905.00,1905.00,1905.00,000,1905.00
2016-12-09,1910.00,1910.00,1895.00,1905.00,163700,1905.00
2016-12-08,1910.00,1910.00,1890.00,1900.00,221700,1900.00
2016-12-07,1910.00,1910.00,1895.00,1905.00,361000,1905.00
2016-12-06,1910.00,1910.00,1895.00,1905.00,225100,1905.00
2016-12-05,1910.00,1910.00,1895.00,1900.00,320900,1900.00
2016-12-02,1900.00,1905.00,1895.00,1905.00,112000,1905.00
2016-12-01,1910.00,1910.00,1895.00,1900.00,46800,1900.00
2016-11-30,1910.00,1910.00,1900.00,1910.00,20300,1910.00
2016-11-29,1920.00,1920.00,1895.00,1900.00,109500,1900.00
2016-11-28,2000.00,2000.00,1900.00,1915.00,212800,1915.00
2016-11-25,1900.00,2000.00,1885.00,2000.00,50800,2000.00
2016-11-24,1870.00,1900.00,1800.00,1900.00,87000,1900.00
