Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1315.00,1330.00,1300.00,1300.00,13758500,1300.00
2017-01-31,1310.00,1350.00,1310.00,1310.00,10905600,1310.00
2017-01-30,1385.00,1385.00,1340.00,1340.00,6218300,1340.00
2017-01-27,1400.00,1400.00,1365.00,1365.00,4847300,1365.00
2017-01-26,1395.00,1405.00,1380.00,1400.00,6633700,1400.00
2017-01-25,1405.00,1410.00,1375.00,1375.00,7938400,1375.00
2017-01-24,1370.00,1405.00,1360.00,1395.00,13441500,1395.00
2017-01-23,1370.00,1375.00,1315.00,1345.00,6966400,1345.00
2017-01-20,1400.00,1420.00,1355.00,1355.00,24156000,1355.00
2017-01-19,1320.00,1415.00,1315.00,1400.00,41011400,1400.00
2017-01-18,1295.00,1315.00,1295.00,1315.00,16530200,1315.00
2017-01-17,1280.00,1315.00,1280.00,1300.00,8915200,1300.00
2017-01-16,1325.00,1350.00,1295.00,1295.00,22440300,1295.00
2017-01-13,1350.00,1360.00,1325.00,1335.00,8383500,1335.00
2017-01-12,1315.00,1360.00,1315.00,1360.00,15529300,1360.00
2017-01-11,1325.00,1345.00,1320.00,1325.00,3534000,1325.00
2017-01-10,1375.00,1375.00,1320.00,1325.00,7535100,1325.00
2017-01-09,1355.00,1375.00,1340.00,1375.00,11566000,1375.00
2017-01-06,1340.00,1365.00,1340.00,1355.00,11667200,1355.00
2017-01-05,1365.00,1370.00,1325.00,1340.00,11660800,1340.00
2017-01-04,1310.00,1360.00,1290.00,1360.00,15944800,1360.00
2017-01-03,1310.00,1330.00,1300.00,1310.00,4542600,1310.00
2017-01-02,1325.00,1325.00,1325.00,1325.00,000,1325.00
2016-12-30,1350.00,1350.00,1325.00,1325.00,7047000,1325.00
2016-12-29,1305.00,1350.00,1305.00,1340.00,11270100,1340.00
2016-12-28,1270.00,1350.00,1270.00,1320.00,12271100,1320.00
2016-12-27,1260.00,1290.00,1255.00,1270.00,5622100,1270.00
2016-12-26,1255.00,1255.00,1255.00,1255.00,000,1255.00
2016-12-23,1275.00,1305.00,1255.00,1255.00,11906000,1255.00
2016-12-22,1290.00,1320.00,1275.00,1300.00,16430700,1300.00
2016-12-21,1350.00,1360.00,1250.00,1250.00,18636200,1250.00
2016-12-20,1400.00,1410.00,1335.00,1350.00,15038100,1350.00
2016-12-19,1390.00,1415.00,1385.00,1400.00,13712400,1400.00
2016-12-16,1410.00,1410.00,1385.00,1395.00,22414900,1395.00
2016-12-15,1425.00,1425.00,1375.00,1395.00,16984400,1395.00
2016-12-14,1485.00,1485.00,1415.00,1420.00,11964300,1420.00
2016-12-13,1460.00,1490.00,1450.00,1485.00,10488700,1485.00
2016-12-12,1480.00,1480.00,1480.00,1480.00,000,1480.00
2016-12-09,1495.00,1495.00,1455.00,1480.00,7262800,1480.00
2016-12-08,1480.00,1500.00,1450.00,1495.00,16623400,1495.00
2016-12-07,1485.00,1485.00,1450.00,1465.00,7671500,1465.00
2016-12-06,1465.00,1465.00,1445.00,1465.00,6987400,1465.00
2016-12-05,1425.00,1465.00,1420.00,1445.00,17288200,1445.00
2016-12-02,1390.00,1435.00,1380.00,1425.00,13179000,1425.00
2016-12-01,1420.00,1420.00,1385.00,1385.00,10251300,1385.00
2016-11-30,1405.00,1420.00,1385.00,1415.00,28747000,1415.00
2016-11-29,1365.00,1400.00,1365.00,1390.00,24944600,1390.00
2016-11-28,1365.00,1365.00,1340.00,1360.00,7912400,1360.00
2016-11-25,1330.00,1370.00,1330.00,1370.00,7979000,1370.00
2016-11-24,1400.00,1400.00,1320.00,1320.00,26261100,1320.00
2016-11-23,1410.00,1415.00,1380.00,1400.00,21006400,1400.00
2016-11-22,1360.00,1410.00,1350.00,1395.00,16719400,1395.00
2016-11-21,1350.00,1375.00,1335.00,1345.00,17244200,1345.00
2016-11-18,1355.00,1365.00,1330.00,1350.00,32811600,1350.00
2016-11-17,1350.00,1355.00,1310.00,1350.00,30380400,1350.00
2016-11-16,1260.00,1370.00,1260.00,1355.00,61778500,1355.00
2016-11-15,1300.00,1320.00,1225.00,1235.00,50406700,1235.00
2016-11-14,1365.00,1370.00,1290.00,1300.00,85555600,1300.00
2016-11-11,1415.00,1415.00,1360.00,1375.00,51741600,1375.00
2016-11-10,1480.00,1500.00,1470.00,1475.00,53000900,1475.00
2016-11-09,1470.00,1490.00,1410.00,1465.00,38269200,1465.00
2016-11-08,1465.00,1485.00,1445.00,1470.00,55810300,1470.00
2016-11-07,1445.00,1510.00,1395.00,1450.00,72766200,1450.00
2016-11-04,1410.00,1450.00,1400.00,1435.00,37045300,1435.00
2016-11-03,1460.00,1485.00,1420.00,1430.00,45727200,1430.00
2016-11-02,1510.00,1510.00,1430.00,1460.00,95778100,1460.00
2016-11-01,1640.00,1640.00,1505.00,1515.00,73623600,1515.00
2016-10-31,1695.00,1695.00,1640.00,1650.00,15013800,1650.00
2016-10-28,1730.00,1730.00,1685.00,1695.00,2994000,1695.00
2016-10-27,1710.00,1720.00,1650.00,1720.00,19270700,1720.00
2016-10-26,1710.00,1710.00,1690.00,1695.00,8779800,1695.00
2016-10-25,1720.00,1720.00,1695.00,1700.00,6675500,1700.00
2016-10-24,1695.00,1720.00,1690.00,1700.00,8609300,1700.00
2016-10-21,1735.00,1755.00,1680.00,1680.00,15912500,1680.00
2016-10-20,1765.00,1765.00,1725.00,1745.00,15415600,1745.00
2016-10-19,1760.00,1765.00,1740.00,1745.00,10012100,1745.00
2016-10-18,1760.00,1780.00,1750.00,1755.00,10259900,1755.00
2016-10-17,1760.00,1760.00,1745.00,1750.00,5374400,1750.00
2016-10-14,1760.00,1780.00,1735.00,1780.00,7520900,1780.00
2016-10-13,1740.00,1775.00,1735.00,1755.00,12250100,1755.00
2016-10-12,1760.00,1775.00,1740.00,1770.00,5878700,1770.00
2016-10-11,1730.00,1785.00,1720.00,1785.00,8665400,1785.00
2016-10-10,1755.00,1760.00,1715.00,1740.00,8096400,1740.00
2016-10-07,1750.00,1760.00,1730.00,1760.00,2547700,1760.00
2016-10-06,1740.00,1780.00,1740.00,1745.00,3108200,1745.00
2016-10-05,1770.00,1785.00,1735.00,1785.00,16639800,1785.00
2016-10-04,1790.00,1795.00,1770.00,1790.00,17951100,1790.00
2016-10-03,1760.00,1785.00,1755.00,1785.00,8928400,1785.00
2016-09-30,1750.00,1780.00,1735.00,1755.00,28131900,1755.00
2016-09-29,1750.00,1765.00,1745.00,1755.00,10622400,1755.00
2016-09-28,1740.00,1750.00,1720.00,1750.00,15851700,1750.00
2016-09-27,1705.00,1755.00,1695.00,1740.00,25041800,1740.00
2016-09-26,1685.00,1720.00,1685.00,1705.00,35143400,1705.00
2016-09-23,1715.00,1715.00,1680.00,1715.00,30561400,1715.00
2016-09-22,1745.00,1770.00,1710.00,1735.00,30797500,1735.00
2016-09-21,1665.00,1790.00,1655.00,1720.00,22113200,1720.00
2016-09-20,1660.00,1685.00,1640.00,1655.00,26173700,1655.00
2016-09-19,1650.00,1660.00,1635.00,1660.00,18866200,1660.00
2016-09-16,1710.00,1720.00,1625.00,1640.00,35516300,1640.00
2016-09-15,1600.00,1710.00,1600.00,1700.00,34921900,1700.00
2016-09-14,1600.00,1635.00,1585.00,1625.00,21005800,1625.00
2016-09-13,1680.00,1680.00,1630.00,1635.00,23343500,1635.00
2016-09-12,1695.00,1695.00,1695.00,1695.00,000,1695.00
2016-09-09,1730.00,1730.00,1680.00,1695.00,43826400,1695.00
2016-09-08,1755.00,1765.00,1740.00,1740.00,6296400,1740.00
2016-09-07,1770.00,1770.00,1735.00,1755.00,15441200,1755.00
