Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1620.00,1625.00,1600.00,1600.00,37405300,1600.00
2017-01-31,1620.00,1630.00,1605.00,1620.00,38043500,1620.00
2017-01-30,1635.00,1635.00,1610.00,1630.00,45108600,1630.00
2017-01-27,1615.00,1630.00,1595.00,1630.00,45033900,1630.00
2017-01-26,1615.00,1620.00,1605.00,1610.00,41071900,1610.00
2017-01-25,1600.00,1615.00,1595.00,1610.00,43172500,1610.00
2017-01-24,1590.00,1610.00,1555.00,1600.00,22532200,1600.00
2017-01-23,1575.00,1625.00,1565.00,1590.00,68039100,1590.00
2017-01-20,1550.00,1580.00,1535.00,1580.00,46943600,1580.00
2017-01-19,1560.00,1565.00,1535.00,1555.00,50542900,1555.00
2017-01-18,1530.00,1560.00,1530.00,1560.00,47705800,1560.00
2017-01-17,1525.00,1540.00,1500.00,1525.00,21092500,1525.00
2017-01-16,1480.00,1535.00,1475.00,1525.00,81018600,1525.00
2017-01-13,1360.00,1475.00,1350.00,1475.00,58680400,1475.00
2017-01-12,1375.00,1375.00,1350.00,1360.00,33805300,1360.00
2017-01-11,1370.00,1375.00,1350.00,1370.00,37864100,1370.00
2017-01-10,1360.00,1380.00,1355.00,1370.00,39670400,1370.00
2017-01-09,1365.00,1380.00,1360.00,1360.00,63079100,1360.00
2017-01-06,1380.00,1395.00,1360.00,1365.00,32314100,1365.00
2017-01-05,1355.00,1395.00,1355.00,1380.00,28607700,1380.00
2017-01-04,1410.00,1415.00,1320.00,1340.00,44943400,1340.00
2017-01-03,1400.00,1420.00,1385.00,1400.00,30405800,1400.00
2017-01-02,1400.00,1400.00,1400.00,1400.00,000,1400.00
2016-12-30,1400.00,1425.00,1375.00,1400.00,59665400,1400.00
2016-12-29,1380.00,1395.00,1370.00,1395.00,32909800,1395.00
2016-12-28,1360.00,1390.00,1350.00,1375.00,32935500,1375.00
2016-12-27,1320.00,1360.00,1320.00,1355.00,47303100,1355.00
2016-12-26,1320.00,1320.00,1320.00,1320.00,000,1320.00
2016-12-23,1335.00,1340.00,1305.00,1320.00,18411300,1320.00
2016-12-22,1320.00,1340.00,1300.00,1330.00,58184500,1330.00
2016-12-21,1335.00,1345.00,1315.00,1320.00,34527300,1320.00
2016-12-20,1350.00,1365.00,1330.00,1335.00,31164500,1335.00
2016-12-19,1375.00,1400.00,1335.00,1350.00,35098200,1350.00
2016-12-16,1380.00,1405.00,1370.00,1370.00,58498200,1370.00
2016-12-15,1380.00,1425.00,1370.00,1375.00,80763600,1375.00
2016-12-14,1395.00,1425.00,1375.00,1375.00,64225400,1375.00
2016-12-13,1380.00,1390.00,1350.00,1390.00,32044900,1390.00
2016-12-12,1380.00,1380.00,1380.00,1380.00,000,1380.00
2016-12-09,1340.00,1445.00,1340.00,1380.00,65429200,1380.00
2016-12-08,1320.00,1340.00,1315.00,1340.00,42507100,1340.00
2016-12-07,1345.00,1350.00,1310.00,1310.00,57062700,1310.00
2016-12-06,1375.00,1380.00,1345.00,1345.00,52234400,1345.00
2016-12-05,1380.00,1380.00,1360.00,1370.00,43857200,1370.00
2016-12-02,1370.00,1385.00,1355.00,1375.00,40715200,1375.00
2016-12-01,1375.00,1380.00,1365.00,1380.00,40462400,1380.00
2016-11-30,1345.00,1375.00,1330.00,1370.00,61609500,1370.00
