Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,55.00,56.00,55.00,56.00,394400,56.00
2017-01-31,55.00,56.00,55.00,55.00,1056500,55.00
2017-01-30,56.00,56.00,55.00,56.00,109000,56.00
2017-01-27,55.00,56.00,55.00,56.00,222100,56.00
2017-01-26,56.00,56.00,55.00,56.00,219300,56.00
2017-01-25,55.00,56.00,55.00,56.00,466400,56.00
2017-01-24,56.00,56.00,55.00,56.00,5255900,56.00
2017-01-23,56.00,56.00,55.00,56.00,10454800,56.00
2017-01-20,55.00,56.00,55.00,56.00,695400,56.00
2017-01-19,55.00,56.00,55.00,56.00,255900,56.00
2017-01-18,56.00,56.00,55.00,56.00,5900,56.00
2017-01-17,56.00,56.00,55.00,56.00,1610700,56.00
2017-01-16,55.00,56.00,55.00,56.00,884600,56.00
2017-01-13,55.00,56.00,54.00,55.00,4968500,55.00
2017-01-12,55.00,56.00,55.00,56.00,5200,56.00
2017-01-11,56.00,56.00,55.00,55.00,18200,55.00
2017-01-10,56.00,56.00,55.00,56.00,58900,56.00
2017-01-09,56.00,56.00,55.00,56.00,282100,56.00
2017-01-06,55.00,56.00,55.00,56.00,146700,56.00
2017-01-05,55.00,56.00,55.00,56.00,5800,56.00
2017-01-04,55.00,56.00,55.00,56.00,23200,56.00
2017-01-03,56.00,56.00,55.00,55.00,37400,55.00
2017-01-02,56.00,56.00,56.00,56.00,000,56.00
2016-12-30,55.00,56.00,55.00,56.00,338800,56.00
2016-12-29,56.00,56.00,55.00,56.00,105200,56.00
2016-12-28,56.00,56.00,54.00,56.00,1106200,56.00
2016-12-27,56.00,56.00,55.00,56.00,461700,56.00
2016-12-26,56.00,56.00,56.00,56.00,000,56.00
2016-12-23,56.00,56.00,55.00,56.00,139000,56.00
2016-12-22,55.00,56.00,55.00,56.00,2752200,56.00
2016-12-21,56.00,56.00,55.00,56.00,656500,56.00
2016-12-20,56.00,56.00,55.00,56.00,105100,56.00
2016-12-19,55.00,56.00,55.00,56.00,69100,56.00
2016-12-16,56.00,56.00,56.00,56.00,15000,56.00
2016-12-15,55.00,56.00,54.00,56.00,4205900,56.00
2016-12-14,56.00,56.00,55.00,56.00,28200,56.00
2016-12-13,56.00,56.00,54.00,55.00,710300,55.00
2016-12-12,56.00,56.00,56.00,56.00,000,56.00
2016-12-09,56.00,56.00,54.00,56.00,2887400,56.00
2016-12-08,56.00,56.00,56.00,56.00,5000,56.00
2016-12-07,55.00,56.00,55.00,56.00,98300,56.00
2016-12-06,55.00,56.00,55.00,56.00,533800,56.00
2016-12-05,56.00,56.00,55.00,56.00,1311600,56.00
2016-12-02,55.00,56.00,55.00,56.00,512100,56.00
2016-12-01,56.00,56.00,55.00,56.00,471200,56.00
2016-11-30,55.00,56.00,55.00,56.00,116100,56.00
2016-11-29,56.00,56.00,56.00,56.00,5000,56.00
2016-11-28,56.00,56.00,55.00,56.00,705100,56.00
2016-11-25,56.00,56.00,56.00,56.00,5000,56.00
2016-11-24,55.00,56.00,55.00,56.00,460000,56.00
2016-11-23,55.00,56.00,54.00,56.00,3668400,56.00
2016-11-22,56.00,56.00,56.00,56.00,2900,56.00
2016-11-21,55.00,56.00,54.00,56.00,488600,56.00
2016-11-18,54.00,55.00,54.00,55.00,2117100,55.00
2016-11-17,54.00,56.00,54.00,55.00,1476000,55.00
2016-11-16,56.00,56.00,54.00,56.00,302600,56.00
2016-11-15,53.00,56.00,52.00,56.00,2171800,56.00
2016-11-14,56.00,56.00,51.00,53.00,2805300,53.00
2016-11-11,55.00,55.00,51.00,51.00,5478900,51.00
2016-11-10,55.00,56.00,54.00,56.00,924700,56.00
2016-11-09,56.00,56.00,55.00,56.00,1481700,56.00
2016-11-08,55.00,56.00,55.00,56.00,101700,56.00
2016-11-07,56.00,56.00,56.00,56.00,2500,56.00
2016-11-04,56.00,56.00,55.00,56.00,105400,56.00
2016-11-03,55.00,56.00,55.00,56.00,13300,56.00
2016-11-02,55.00,56.00,55.00,56.00,12700,56.00
2016-11-01,56.00,56.00,55.00,56.00,2012500,56.00
2016-10-31,56.00,56.00,55.00,56.00,953100,56.00
2016-10-28,55.00,56.00,55.00,56.00,176000,56.00
2016-10-27,56.00,56.00,55.00,55.00,693500,55.00
2016-10-26,55.00,56.00,55.00,56.00,283700,56.00
2016-10-25,55.00,56.00,55.00,56.00,565700,56.00
2016-10-24,55.00,56.00,54.00,56.00,6017300,56.00
2016-10-21,55.00,56.00,55.00,55.00,564300,55.00
2016-10-20,55.00,56.00,54.00,56.00,2431400,56.00
2016-10-19,55.00,55.00,55.00,55.00,205900,55.00
2016-10-18,55.00,56.00,55.00,56.00,449100,56.00
2016-10-17,55.00,56.00,55.00,56.00,57500,56.00
2016-10-14,55.00,56.00,55.00,56.00,2102200,56.00
2016-10-13,55.00,56.00,55.00,56.00,119100,56.00
2016-10-12,55.00,56.00,55.00,56.00,3003400,56.00
2016-10-11,55.00,56.00,55.00,56.00,102500,56.00
2016-10-10,56.00,56.00,54.00,55.00,3925100,55.00
2016-10-07,55.00,56.00,55.00,56.00,1022100,56.00
2016-10-06,55.00,56.00,55.00,56.00,7282000,56.00
2016-10-05,55.00,56.00,55.00,56.00,301200,56.00
2016-10-04,56.00,57.00,55.00,57.00,7700,57.00
2016-10-03,55.00,56.00,55.00,56.00,182200,56.00
2016-09-30,56.00,56.00,56.00,56.00,3000,56.00
2016-09-29,55.00,56.00,55.00,56.00,212100,56.00
2016-09-28,55.00,56.00,55.00,56.00,2700,56.00
2016-09-27,56.00,56.00,55.00,56.00,210400,56.00
2016-09-26,55.00,56.00,55.00,56.00,4763400,56.00
2016-09-23,55.00,56.00,55.00,55.00,5100,55.00
2016-09-22,56.00,56.00,55.00,56.00,86400,56.00
2016-09-21,56.00,56.00,55.00,56.00,81200,56.00
2016-09-20,56.00,56.00,56.00,56.00,500,56.00
2016-09-19,55.00,56.00,55.00,56.00,1505300,56.00
2016-09-16,56.00,56.00,55.00,56.00,41800,56.00
2016-09-15,55.00,56.00,55.00,56.00,24400,56.00
2016-09-14,55.00,56.00,55.00,56.00,1078900,56.00
2016-09-13,55.00,56.00,55.00,56.00,1501900,56.00
2016-09-12,55.00,55.00,55.00,55.00,000,55.00
2016-09-09,55.00,56.00,55.00,55.00,642800,55.00
2016-09-08,55.00,56.00,55.00,56.00,139300,56.00
2016-09-07,56.00,56.00,55.00,56.00,414800,56.00
2016-09-06,55.00,56.00,55.00,55.00,3092900,55.00
2016-09-05,54.00,56.00,54.00,55.00,1350000,55.00
2016-09-02,55.00,56.00,55.00,56.00,1568300,56.00
2016-09-01,56.00,56.00,55.00,56.00,1340000,56.00
2016-08-31,55.00,56.00,55.00,56.00,551600,56.00
2016-08-30,55.00,56.00,55.00,56.00,874200,56.00
2016-08-29,55.00,56.00,55.00,56.00,55100,56.00
2016-08-26,55.00,56.00,55.00,56.00,1689900,56.00
2016-08-25,55.00,56.00,55.00,56.00,467900,56.00
2016-08-24,56.00,56.00,55.00,56.00,1021700,56.00
2016-08-23,55.00,56.00,55.00,56.00,7971200,56.00
2016-08-22,55.00,56.00,55.00,56.00,28700,56.00
2016-08-19,56.00,56.00,55.00,56.00,1639600,56.00
2016-08-18,57.00,57.00,55.00,56.00,1082000,56.00
2016-08-17,57.00,57.00,57.00,57.00,000,57.00
2016-08-16,56.00,57.00,55.00,57.00,173500,57.00
2016-08-15,56.00,57.00,56.00,57.00,56100,57.00
2016-08-12,57.00,57.00,56.00,57.00,186800,57.00
2016-08-11,57.00,57.00,56.00,56.00,598600,56.00
2016-08-10,56.00,57.00,55.00,57.00,315200,57.00
2016-08-09,58.00,58.00,57.00,58.00,795300,58.00
2016-08-08,56.00,58.00,56.00,57.00,228600,57.00
2016-08-05,56.00,57.00,55.00,56.00,424800,56.00
2016-08-04,55.00,58.00,52.00,55.00,10070200,55.00
2016-08-03,57.00,58.00,57.00,57.00,1800,57.00
2016-08-02,56.00,58.00,55.00,58.00,442100,58.00
2016-08-01,56.00,57.00,55.00,55.00,475100,55.00
2016-07-29,56.00,57.00,55.00,56.00,13458000,56.00
2016-07-28,57.00,58.00,56.00,58.00,596200,58.00
2016-07-27,57.00,58.00,56.00,57.00,118400,57.00
2016-07-26,57.00,57.00,56.00,57.00,10600,57.00
2016-07-25,57.00,57.00,56.00,57.00,4400,57.00
2016-07-22,58.00,58.00,55.00,56.00,123300,56.00
2016-07-21,57.00,59.00,56.00,56.00,290200,56.00
2016-07-20,56.00,57.00,55.00,57.00,407400,57.00
2016-07-19,57.00,58.00,55.00,57.00,34400,57.00
2016-07-18,57.00,58.00,56.00,56.00,218300,56.00
2016-07-15,57.00,57.00,56.00,57.00,322900,57.00
2016-07-14,57.00,57.00,56.00,57.00,1506100,57.00
2016-07-13,56.00,57.00,55.00,56.00,292500,56.00
2016-07-12,56.00,56.00,54.00,55.00,3215200,55.00
2016-07-11,56.00,56.00,55.00,56.00,50700,56.00
2016-07-08,55.00,55.00,55.00,55.00,000,55.00
2016-07-07,55.00,55.00,55.00,55.00,000,55.00
2016-07-06,55.00,55.00,55.00,55.00,000,55.00
2016-07-05,55.00,55.00,55.00,55.00,000,55.00
2016-07-04,55.00,55.00,55.00,55.00,000,55.00
2016-07-01,56.00,56.00,55.00,55.00,43400,55.00
2016-06-30,55.00,56.00,55.00,56.00,156800,56.00
2016-06-28,55.00,56.00,55.00,55.00,1300800,55.00
2016-06-27,55.00,56.00,55.00,55.00,146200,55.00
2016-06-24,56.00,56.00,55.00,56.00,1001400,56.00
2016-06-23,56.00,56.00,55.00,56.00,40700,56.00
2016-06-22,55.00,56.00,55.00,56.00,435700,56.00
2016-06-21,56.00,56.00,55.00,56.00,121200,56.00
2016-06-20,55.00,57.00,55.00,56.00,89800,56.00
2016-06-17,56.00,57.00,55.00,56.00,6400,56.00
2016-06-16,56.00,57.00,55.00,56.00,518600,56.00
2016-06-15,55.00,57.00,54.00,56.00,2049300,56.00
2016-06-14,56.00,56.00,55.00,56.00,825500,56.00
2016-06-13,57.00,57.00,55.00,56.00,15300,56.00
2016-06-10,56.00,57.00,55.00,57.00,449000,57.00
2016-06-09,56.00,56.00,55.00,56.00,425600,56.00
2016-06-08,56.00,57.00,55.00,56.00,766500,56.00
2016-06-07,56.00,56.00,55.00,55.00,921700,55.00
2016-06-06,55.00,58.00,55.00,56.00,966000,56.00
2016-06-03,55.00,56.00,55.00,56.00,62700,56.00
2016-06-02,56.00,56.00,56.00,56.00,300,56.00
2016-06-01,55.00,56.00,55.00,56.00,150300,56.00
2016-05-31,56.00,56.00,55.00,55.00,876500,55.00
2016-05-30,55.00,55.00,54.00,55.00,2357200,55.00
2016-05-27,55.00,56.00,55.00,56.00,866800,56.00
2016-05-26,56.00,56.00,55.00,56.00,1611200,56.00
2016-05-25,55.00,56.00,55.00,56.00,930200,56.00
2016-05-24,56.00,56.00,55.00,56.00,3412700,56.00
2016-05-23,55.00,56.00,54.00,56.00,1888000,56.00
2016-05-20,55.00,56.00,55.00,55.00,228500,55.00
2016-05-19,56.00,58.00,54.00,55.00,1573000,55.00
2016-05-18,56.00,56.00,55.00,56.00,552300,56.00
2016-05-17,55.00,57.00,55.00,56.00,660100,56.00
2016-05-16,55.00,56.00,55.00,55.00,555200,55.00
2016-05-13,55.00,56.00,54.00,56.00,582200,56.00
2016-05-12,55.00,56.00,53.00,55.00,2861000,55.00
2016-05-11,55.00,57.00,54.00,55.00,513800,55.00
2016-05-10,54.00,55.00,54.00,54.00,983400,54.00
2016-05-09,56.00,56.00,54.00,54.00,45500,54.00
2016-05-06,56.00,56.00,56.00,56.00,000,56.00
2016-05-05,56.00,56.00,56.00,56.00,000,56.00
2016-05-04,55.00,57.00,54.00,56.00,364200,56.00
2016-05-03,54.00,55.00,54.00,55.00,1797000,55.00
2016-05-02,56.00,56.00,54.00,55.00,925900,55.00
2016-04-29,55.00,56.00,54.00,56.00,1021000,56.00
2016-04-28,56.00,57.00,55.00,55.00,115500,55.00
2016-04-27,55.00,56.00,53.00,56.00,1326600,56.00
2016-04-26,54.00,55.00,54.00,55.00,600400,55.00
2016-04-25,55.00,55.00,53.00,54.00,354300,54.00
2016-04-22,55.00,55.00,54.00,55.00,87300,55.00
2016-04-21,55.00,56.00,53.00,55.00,962200,55.00
2016-04-12,55.00,55.00,52.00,53.00,749300,53.00
2016-04-08,56.00,56.00,55.00,55.00,712300,55.00
2016-04-07,55.00,56.00,54.00,55.00,634300,55.00
2016-04-06,55.00,56.00,55.00,55.00,11600,55.00
2016-04-05,55.00,55.00,53.00,54.00,508500,54.00
2016-04-04,55.00,56.00,53.00,54.00,479500,54.00
2016-04-01,56.00,56.00,54.00,55.00,835500,55.00
2016-03-31,55.00,56.00,55.00,55.00,2259100,55.00
2016-03-30,56.00,56.00,54.00,55.00,1052800,55.00
2016-03-29,56.00,56.00,54.00,56.00,1152700,56.00
2016-03-28,53.00,56.00,52.00,56.00,2418100,56.00
2016-03-25,55.00,55.00,55.00,55.00,000,55.00
2016-03-24,57.00,57.00,53.00,55.00,1410900,55.00
2016-03-23,53.00,58.00,53.00,56.00,2926100,56.00
2016-03-22,57.00,58.00,53.00,53.00,428700,53.00
2016-03-21,57.00,58.00,55.00,56.00,188600,56.00
2016-03-18,56.00,57.00,55.00,56.00,486700,56.00
2016-03-17,57.00,57.00,52.00,55.00,1428500,55.00
2016-03-16,53.00,56.00,52.00,56.00,1964300,56.00
2016-03-15,53.00,55.00,52.00,53.00,167000,53.00
2016-03-10,53.00,56.00,52.00,55.00,2042800,55.00
2016-03-09,52.00,52.00,52.00,52.00,000,52.00
2016-03-08,53.00,54.00,52.00,52.00,1329000,52.00
2016-03-07,53.00,55.00,51.00,53.00,1362600,53.00
2016-03-04,53.00,57.00,53.00,53.00,2336400,53.00
2016-03-03,53.00,57.00,51.00,55.00,746400,55.00
2016-03-02,55.00,56.00,53.00,55.00,2038400,55.00
2016-03-01,50.00,62.00,50.00,54.00,8510000,54.00
2016-02-29,50.00,52.00,50.00,52.00,900300,52.00
2016-02-26,50.00,50.00,50.00,50.00,600,50.00
2016-02-25,51.00,51.00,51.00,51.00,000,51.00
2016-02-24,51.00,51.00,50.00,51.00,5200,51.00
2016-02-23,50.00,50.00,50.00,50.00,1000,50.00
2016-02-22,51.00,51.00,50.00,50.00,111100,50.00
2016-02-19,50.00,51.00,50.00,50.00,163300,50.00
2016-02-18,50.00,51.00,50.00,51.00,105800,51.00
2016-02-17,50.00,51.00,50.00,51.00,173900,51.00
2016-02-16,50.00,50.00,50.00,50.00,100,50.00
2016-02-15,50.00,50.00,50.00,50.00,5000,50.00
2016-02-12,50.00,50.00,50.00,50.00,23400,50.00
2016-02-11,51.00,51.00,50.00,51.00,17900,51.00
2016-02-10,50.00,50.00,50.00,50.00,200,50.00
2016-02-09,51.00,51.00,50.00,50.00,5300,50.00
