Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1275.00,1295.00,1275.00,1295.00,10000,1295.00
2017-01-31,1275.00,1275.00,1275.00,1275.00,2100,1275.00
2017-01-30,1295.00,1295.00,1265.00,1280.00,25100,1280.00
2017-01-27,1300.00,1300.00,1265.00,1295.00,77100,1295.00
2017-01-26,1270.00,1300.00,1210.00,1300.00,166900,1300.00
2017-01-25,1265.00,1270.00,1250.00,1270.00,13800,1270.00
2017-01-24,1195.00,1280.00,1195.00,1280.00,72700,1280.00
2017-01-23,1200.00,1200.00,1150.00,1200.00,52800,1200.00
2017-01-20,1200.00,1200.00,1170.00,1200.00,66100,1200.00
2017-01-19,1200.00,1200.00,1200.00,1200.00,4300,1200.00
2017-01-18,1225.00,1225.00,1170.00,1200.00,32800,1200.00
2017-01-17,1200.00,1230.00,1200.00,1225.00,12000,1225.00
2017-01-16,1275.00,1275.00,1110.00,1200.00,73700,1200.00
2017-01-13,1275.00,1275.00,1275.00,1275.00,20800,1275.00
2017-01-12,1250.00,1280.00,1250.00,1280.00,6300,1280.00
2017-01-11,1290.00,1290.00,1200.00,1250.00,51200,1250.00
2017-01-10,1290.00,1290.00,1200.00,1290.00,156000,1290.00
2017-01-09,1275.00,1290.00,1275.00,1290.00,57300,1290.00
2017-01-06,1255.00,1285.00,1250.00,1275.00,66200,1275.00
2017-01-05,1250.00,1255.00,1125.00,1255.00,111400,1255.00
2017-01-04,1250.00,1250.00,1250.00,1250.00,10100,1250.00
2017-01-03,1245.00,1250.00,1245.00,1250.00,12800,1250.00
2017-01-02,1245.00,1245.00,1245.00,1245.00,000,1245.00
2016-12-30,1245.00,1245.00,1115.00,1245.00,65400,1245.00
2016-12-29,1245.00,1250.00,1180.00,1225.00,33100,1225.00
2016-12-28,1180.00,1200.00,1180.00,1200.00,244300,1200.00
2016-12-27,1180.00,1180.00,1180.00,1180.00,1300,1180.00
2016-12-26,1180.00,1180.00,1180.00,1180.00,000,1180.00
2016-12-23,1180.00,1180.00,1180.00,1180.00,61000,1180.00
2016-12-22,1105.00,1180.00,1105.00,1180.00,73300,1180.00
2016-12-21,1125.00,1135.00,1125.00,1135.00,51300,1135.00
2016-12-20,1120.00,1125.00,1120.00,1125.00,30100,1125.00
2016-12-19,1115.00,1120.00,1115.00,1120.00,231000,1120.00
2016-12-16,1115.00,1115.00,1110.00,1115.00,120100,1115.00
2016-12-15,1115.00,1120.00,1100.00,1115.00,58000,1115.00
2016-12-14,1100.00,1115.00,1100.00,1115.00,26000,1115.00
2016-12-13,1100.00,1110.00,1005.00,1100.00,107600,1100.00
2016-12-12,1100.00,1100.00,1100.00,1100.00,000,1100.00
2016-12-09,1100.00,1100.00,1100.00,1100.00,10000,1100.00
2016-12-08,1090.00,1100.00,1090.00,1100.00,26300,1100.00
2016-12-07,1050.00,1090.00,1040.00,1090.00,137900,1090.00
2016-12-06,1045.00,1190.00,1045.00,1090.00,358400,1090.00
2016-12-05,1040.00,1040.00,1000.00,1000.00,10100,1000.00
2016-12-02,1000.00,1000.00,1000.00,1000.00,1000,1000.00
2016-12-01,1000.00,1000.00,995.00,1000.00,27600,1000.00
2016-11-30,1000.00,1000.00,1000.00,1000.00,1000,1000.00
2016-11-29,960.00,975.00,960.00,975.00,194700,975.00
2016-11-28,975.00,975.00,960.00,975.00,16700,975.00
2016-11-25,970.00,975.00,950.00,975.00,37700,975.00
2016-11-24,940.00,975.00,940.00,960.00,273700,960.00
2016-11-23,940.00,950.00,935.00,935.00,3600,935.00
2016-11-22,920.00,920.00,900.00,900.00,91400,900.00
2016-11-21,900.00,880.00,880.00,880.00,39700,880.00
2016-11-18,900.00,900.00,900.00,900.00,20000,900.00
2016-11-17,860.00,900.00,860.00,880.00,95300,880.00
2016-11-16,870.00,870.00,860.00,870.00,352800,870.00
2016-11-15,825.00,870.00,825.00,870.00,137600,870.00
2016-11-14,840.00,850.00,810.00,850.00,171100,850.00
2016-11-11,830.00,840.00,830.00,840.00,10100,840.00
2016-11-10,830.00,870.00,830.00,870.00,11800,870.00
2016-11-09,860.00,865.00,860.00,865.00,600,865.00
2016-11-08,820.00,860.00,820.00,835.00,1240100,835.00
2016-11-07,840.00,840.00,830.00,835.00,829200,835.00
2016-11-04,840.00,840.00,840.00,840.00,000,840.00
2016-11-03,840.00,840.00,810.00,840.00,223800,840.00
2016-11-02,865.00,865.00,825.00,840.00,95300,840.00
2016-11-01,850.00,870.00,850.00,850.00,83300,850.00
2016-10-31,835.00,850.00,805.00,850.00,115900,850.00
2016-10-28,815.00,845.00,805.00,840.00,177300,840.00
2016-10-27,860.00,860.00,825.00,840.00,237500,840.00
2016-10-26,800.00,850.00,800.00,850.00,179300,850.00
2016-10-25,810.00,835.00,810.00,835.00,118700,835.00
2016-10-24,825.00,825.00,800.00,825.00,31200,825.00
2016-10-21,865.00,865.00,795.00,825.00,25600,825.00
2016-10-20,870.00,870.00,790.00,825.00,41700,825.00
2016-10-19,890.00,890.00,825.00,830.00,20300,830.00
2016-10-18,880.00,900.00,850.00,850.00,154100,850.00
2016-10-17,750.00,890.00,745.00,810.00,297000,810.00
2016-10-14,775.00,775.00,715.00,715.00,14400,715.00
2016-10-13,720.00,775.00,710.00,715.00,168100,715.00
2016-10-12,700.00,785.00,700.00,785.00,2500,785.00
2016-10-11,695.00,705.00,690.00,705.00,4000,705.00
2016-10-10,705.00,710.00,695.00,695.00,23000,695.00
2016-10-07,690.00,705.00,670.00,705.00,159000,705.00
2016-10-06,685.00,705.00,685.00,705.00,3800,705.00
2016-10-05,685.00,700.00,685.00,700.00,33200,700.00
2016-10-04,705.00,705.00,680.00,700.00,34500,700.00
2016-10-03,705.00,705.00,690.00,705.00,22700,705.00
2016-09-30,705.00,705.00,680.00,685.00,99000,685.00
2016-09-29,685.00,710.00,685.00,705.00,81800,705.00
2016-09-28,715.00,715.00,690.00,700.00,25400,700.00
2016-09-27,715.00,715.00,670.00,715.00,50100,715.00
2016-09-26,690.00,715.00,690.00,715.00,248900,715.00
2016-09-23,705.00,705.00,685.00,705.00,15400,705.00
2016-09-22,695.00,705.00,685.00,705.00,10500,705.00
2016-09-21,695.00,695.00,695.00,695.00,000,695.00
2016-09-20,710.00,710.00,685.00,695.00,144300,695.00
2016-09-19,675.00,710.00,675.00,710.00,39700,710.00
2016-09-16,715.00,715.00,670.00,710.00,1000,710.00
2016-09-15,715.00,715.00,715.00,715.00,400,715.00
2016-09-14,665.00,725.00,665.00,725.00,90200,725.00
2016-09-13,700.00,700.00,700.00,700.00,500000,700.00
2016-09-12,700.00,700.00,700.00,700.00,000,700.00
2016-09-09,700.00,700.00,700.00,700.00,200,700.00
2016-09-08,700.00,700.00,700.00,700.00,3500,700.00
2016-09-07,710.00,710.00,690.00,700.00,106000,700.00
2016-09-06,710.00,710.00,710.00,710.00,100,710.00
2016-09-05,675.00,700.00,675.00,700.00,19800,700.00
2016-09-02,700.00,700.00,700.00,700.00,400,700.00
2016-09-01,700.00,715.00,690.00,715.00,20200,715.00
2016-08-31,700.00,700.00,700.00,700.00,200,700.00
2016-08-30,670.00,700.00,660.00,700.00,12900,700.00
2016-08-29,650.00,690.00,650.00,690.00,5500,690.00
2016-08-26,700.00,700.00,665.00,675.00,7900,675.00
2016-08-25,680.00,680.00,650.00,655.00,21800,655.00
2016-08-24,700.00,700.00,660.00,660.00,31300,660.00
2016-08-23,680.00,680.00,680.00,680.00,500,680.00
2016-08-22,670.00,685.00,665.00,685.00,51500,685.00
2016-08-19,690.00,690.00,690.00,690.00,000,690.00
2016-08-18,690.00,690.00,690.00,690.00,40700,690.00
2016-08-17,690.00,690.00,690.00,690.00,000,690.00
2016-08-16,670.00,690.00,670.00,690.00,27900,690.00
2016-08-15,685.00,695.00,680.00,695.00,33100,695.00
2016-08-12,700.00,700.00,685.00,700.00,1100,700.00
2016-08-11,710.00,710.00,690.00,690.00,3800,690.00
2016-08-10,690.00,730.00,685.00,700.00,33100,700.00
2016-08-09,690.00,720.00,690.00,720.00,13500,720.00
2016-08-08,690.00,720.00,690.00,710.00,1500,710.00
2016-08-05,705.00,710.00,705.00,710.00,15700,710.00
2016-08-04,705.00,705.00,680.00,705.00,2200,705.00
2016-08-03,670.00,700.00,670.00,700.00,2600,700.00
2016-08-02,690.00,690.00,650.00,690.00,40600,690.00
2016-08-01,710.00,710.00,700.00,700.00,10400,700.00
2016-07-29,710.00,710.00,710.00,710.00,2500,710.00
2016-07-28,720.00,725.00,695.00,700.00,22200,700.00
2016-07-27,720.00,720.00,705.00,720.00,2500,720.00
2016-07-26,700.00,705.00,695.00,705.00,1300,705.00
2016-07-25,700.00,700.00,695.00,700.00,1500,700.00
2016-07-22,700.00,715.00,685.00,715.00,82600,715.00
2016-07-21,700.00,700.00,695.00,700.00,12000,700.00
2016-07-20,710.00,710.00,690.00,700.00,17300,700.00
2016-07-19,710.00,710.00,700.00,705.00,19200,705.00
2016-07-18,695.00,710.00,690.00,705.00,4300,705.00
2016-07-15,695.00,710.00,695.00,705.00,900,705.00
2016-07-14,700.00,700.00,690.00,695.00,10600,695.00
2016-07-13,680.00,720.00,675.00,680.00,74700,680.00
2016-07-12,670.00,710.00,670.00,700.00,40300,700.00
2016-07-11,670.00,710.00,665.00,710.00,40700,710.00
2016-07-08,710.00,710.00,710.00,710.00,000,710.00
2016-07-07,710.00,710.00,710.00,710.00,000,710.00
2016-07-06,710.00,710.00,710.00,710.00,000,710.00
2016-07-05,710.00,710.00,710.00,710.00,000,710.00
2016-07-04,710.00,710.00,710.00,710.00,000,710.00
2016-07-01,700.00,710.00,685.00,710.00,17200,710.00
2016-06-30,725.00,725.00,665.00,720.00,42700,720.00
2016-06-28,745.00,745.00,700.00,735.00,300,735.00
2016-06-27,695.00,700.00,675.00,700.00,20100,700.00
2016-06-24,685.00,695.00,680.00,695.00,2300,695.00
2016-06-23,730.00,730.00,680.00,710.00,5700,710.00
2016-06-22,690.00,730.00,675.00,730.00,31500,730.00
2016-06-21,780.00,780.00,690.00,725.00,4900,725.00
2016-06-20,770.00,770.00,730.00,730.00,6300,730.00
2016-06-17,690.00,730.00,690.00,720.00,1400,720.00
2016-06-16,740.00,740.00,680.00,680.00,34700,680.00
2016-06-15,700.00,850.00,700.00,750.00,16300,750.00
2016-06-14,730.00,800.00,730.00,765.00,102100,765.00
2016-06-13,670.00,720.00,670.00,720.00,2400,720.00
2016-06-10,680.00,725.00,680.00,725.00,600,725.00
2016-06-09,725.00,760.00,685.00,730.00,6500,730.00
2016-06-08,755.00,755.00,685.00,725.00,15800,725.00
2016-06-07,695.00,745.00,695.00,725.00,300,725.00
2016-06-06,725.00,725.00,695.00,695.00,65000,695.00
2016-06-03,680.00,695.00,680.00,695.00,200,695.00
2016-06-02,685.00,685.00,675.00,675.00,300,675.00
2016-06-01,640.00,685.00,640.00,660.00,267000,660.00
2016-05-31,720.00,720.00,640.00,640.00,27400,632.32
2016-05-30,680.00,705.00,675.00,695.00,59000,686.66
2016-05-27,635.00,680.00,635.00,675.00,3600,666.90
2016-05-26,620.00,625.00,615.00,625.00,14200,617.50
2016-05-25,620.00,620.00,560.00,620.00,600,612.56
2016-05-24,620.00,620.00,620.00,620.00,000,612.56
2016-05-23,615.00,620.00,565.00,620.00,2700,612.56
2016-05-20,615.00,620.00,590.00,615.00,12200,607.62
2016-05-19,605.00,620.00,600.00,615.00,8200,607.62
2016-05-18,605.00,605.00,605.00,605.00,000,597.74
2016-05-17,605.00,605.00,605.00,605.00,2000,597.74
2016-05-16,605.00,605.00,605.00,605.00,000,597.74
2016-05-13,605.00,605.00,605.00,605.00,400,597.74
2016-05-12,600.00,605.00,600.00,605.00,2200,597.74
2016-05-11,605.00,605.00,585.00,605.00,10100,597.74
2016-05-10,585.00,600.00,550.00,590.00,1600,582.92
2016-05-09,600.00,600.00,545.00,585.00,16100,577.98
2016-05-06,600.00,600.00,600.00,600.00,000,592.80
2016-05-05,600.00,600.00,600.00,600.00,000,592.80
2016-05-04,600.00,600.00,540.00,600.00,17300,592.80
2016-05-03,545.00,600.00,540.00,600.00,17300,592.80
2016-05-02,600.00,600.00,545.00,600.00,1800,592.80
2016-04-29,575.00,600.00,550.00,600.00,4100,592.80
2016-04-28,570.00,575.00,525.00,575.00,40200,568.10
2016-04-27,525.00,560.00,480.00,560.00,42200,553.28
2016-04-26,495.00,535.00,488.00,525.00,1200,518.70
2016-04-25,545.00,550.00,495.00,495.00,48000,489.06
2016-04-22,575.00,600.00,520.00,545.00,64500,538.46
2016-04-21,535.00,590.00,535.00,575.00,5100,568.10
2016-04-12,510.00,510.00,480.00,500.00,36300,494.00
2016-04-08,520.00,520.00,520.00,520.00,100,513.76
2016-04-07,499.00,500.00,499.00,500.00,10200,494.00
2016-04-06,500.00,500.00,500.00,500.00,300,494.00
2016-04-05,500.00,500.00,500.00,500.00,100,494.00
