Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,310.00,310.00,310.00,310.00,000,310.00
2017-01-31,310.00,310.00,310.00,310.00,000,310.00
2017-01-30,300.00,310.00,300.00,310.00,50000,310.00
2017-01-27,300.00,300.00,300.00,300.00,000,300.00
2017-01-26,300.00,300.00,300.00,300.00,000,300.00
2017-01-25,300.00,300.00,300.00,300.00,30000,300.00
2017-01-24,300.00,300.00,300.00,300.00,100,300.00
2017-01-23,300.00,300.00,300.00,300.00,20000,300.00
2017-01-20,300.00,300.00,300.00,300.00,000,300.00
2017-01-19,300.00,300.00,300.00,300.00,10000,300.00
2017-01-18,300.00,300.00,300.00,300.00,100000,300.00
2017-01-17,300.00,300.00,300.00,300.00,000,300.00
2017-01-16,300.00,300.00,300.00,300.00,000,300.00
2017-01-13,300.00,300.00,300.00,300.00,88200,300.00
2017-01-12,300.00,300.00,294.00,298.00,231000,298.00
2017-01-11,300.00,300.00,296.00,300.00,60200,300.00
2017-01-10,294.00,300.00,294.00,300.00,42300,300.00
2017-01-09,296.00,300.00,294.00,294.00,180000,294.00
2017-01-06,300.00,300.00,296.00,296.00,120000,296.00
2017-01-05,300.00,300.00,296.00,296.00,277500,296.00
2017-01-04,296.00,300.00,296.00,300.00,10000,300.00
2017-01-03,300.00,300.00,296.00,296.00,60000,296.00
2017-01-02,300.00,300.00,300.00,300.00,000,300.00
2016-12-30,300.00,300.00,300.00,300.00,181700,300.00
2016-12-29,300.00,300.00,296.00,300.00,561000,300.00
2016-12-28,300.00,300.00,296.00,296.00,60000,296.00
2016-12-27,318.00,318.00,300.00,300.00,30000,300.00
2016-12-26,300.00,300.00,300.00,300.00,000,300.00
2016-12-23,300.00,300.00,300.00,300.00,50000,300.00
2016-12-22,300.00,300.00,300.00,300.00,215100,300.00
2016-12-21,300.00,300.00,300.00,300.00,360000,300.00
2016-12-20,300.00,300.00,300.00,300.00,26000,300.00
2016-12-19,300.00,300.00,300.00,300.00,18500,300.00
2016-12-16,304.00,304.00,300.00,300.00,163500,300.00
2016-12-15,304.00,304.00,304.00,304.00,000,304.00
2016-12-14,300.00,304.00,300.00,304.00,1300,304.00
2016-12-13,300.00,302.00,300.00,302.00,400,302.00
2016-12-12,300.00,300.00,300.00,300.00,000,300.00
2016-12-09,300.00,300.00,300.00,300.00,98800,300.00
2016-12-08,300.00,300.00,300.00,300.00,10000,300.00
2016-12-07,300.00,304.00,300.00,300.00,631900,300.00
2016-12-06,300.00,300.00,300.00,300.00,000,300.00
2016-12-05,300.00,300.00,300.00,300.00,821300,300.00
2016-12-02,300.00,300.00,300.00,300.00,1800,300.00
2016-12-01,306.00,306.00,306.00,306.00,000,306.00
2016-11-30,300.00,306.00,300.00,306.00,600,306.00
2016-11-29,304.00,304.00,304.00,304.00,2600,304.00
2016-11-28,300.00,304.00,300.00,300.00,18800,300.00
2016-11-25,300.00,300.00,300.00,300.00,40200,300.00
2016-11-24,300.00,302.00,300.00,300.00,384100,300.00
2016-11-23,300.00,300.00,300.00,300.00,115500,300.00
2016-11-22,300.00,300.00,300.00,300.00,212600,300.00
2016-11-21,302.00,300.00,300.00,300.00,35600,300.00
2016-11-18,300.00,302.00,300.00,302.00,225000,302.00
2016-11-17,280.00,300.00,280.00,300.00,273900,300.00
2016-11-16,252.00,280.00,252.00,280.00,1169300,280.00
2016-11-15,280.00,280.00,252.00,252.00,229800,252.00
2016-11-14,240.00,286.00,240.00,278.00,4830100,278.00
2016-11-11,234.00,234.00,234.00,234.00,000,234.00
2016-11-10,236.00,236.00,234.00,234.00,36400,234.00
2016-11-09,216.00,216.00,216.00,216.00,000,216.00
2016-11-08,240.00,240.00,216.00,216.00,200100,216.00
2016-11-07,230.00,230.00,208.00,220.00,150000,220.00
2016-11-04,230.00,230.00,230.00,230.00,000,230.00
2016-11-03,230.00,230.00,230.00,230.00,000,230.00
2016-11-02,240.00,240.00,226.00,230.00,425300,230.00
2016-11-01,240.00,250.00,240.00,242.00,700,242.00
2016-10-31,256.00,256.00,240.00,240.00,183700,240.00
2016-10-28,256.00,256.00,252.00,252.00,578100,252.00
2016-10-27,280.00,280.00,280.00,280.00,100500,280.00
2016-10-26,280.00,280.00,280.00,280.00,100000,280.00
2016-10-25,278.00,278.00,278.00,278.00,7500,278.00
2016-10-24,278.00,278.00,278.00,278.00,000,278.00
2016-10-21,278.00,278.00,278.00,278.00,100,278.00
2016-10-20,258.00,258.00,258.00,258.00,000,258.00
2016-10-19,258.00,258.00,258.00,258.00,000,258.00
2016-10-18,258.00,258.00,258.00,258.00,000,258.00
2016-10-17,258.00,258.00,258.00,258.00,000,258.00
2016-10-14,258.00,258.00,258.00,258.00,000,258.00
2016-10-13,258.00,258.00,258.00,258.00,000,258.00
2016-10-12,258.00,258.00,258.00,258.00,000,258.00
2016-10-11,258.00,258.00,258.00,258.00,000,258.00
2016-10-10,258.00,258.00,258.00,258.00,000,258.00
2016-10-07,258.00,258.00,258.00,258.00,000,258.00
2016-10-06,258.00,258.00,258.00,258.00,000,258.00
2016-10-05,258.00,258.00,258.00,258.00,4100,258.00
2016-10-04,276.00,276.00,272.00,272.00,7500,272.00
2016-10-03,280.00,280.00,274.00,276.00,132700,276.00
2016-09-30,296.00,296.00,296.00,296.00,000,296.00
2016-09-29,296.00,296.00,296.00,296.00,2000,296.00
2016-09-28,296.00,296.00,296.00,296.00,000,296.00
2016-09-27,280.00,296.00,280.00,296.00,21000,296.00
2016-09-26,280.00,280.00,280.00,280.00,100000,280.00
2016-09-23,310.00,310.00,310.00,310.00,100,310.00
2016-09-22,310.00,310.00,310.00,310.00,000,310.00
2016-09-21,310.00,310.00,310.00,310.00,000,310.00
2016-09-20,310.00,310.00,310.00,310.00,000,310.00
2016-09-19,310.00,310.00,310.00,310.00,000,310.00
2016-09-16,310.00,310.00,310.00,310.00,000,310.00
2016-09-15,310.00,310.00,310.00,310.00,000,310.00
2016-09-14,310.00,310.00,310.00,310.00,000,310.00
2016-09-13,310.00,310.00,310.00,310.00,000,310.00
2016-09-12,310.00,310.00,310.00,310.00,000,310.00
2016-09-09,310.00,310.00,310.00,310.00,26000,310.00
2016-09-08,314.00,314.00,314.00,314.00,000,314.00
2016-09-07,314.00,314.00,314.00,314.00,000,314.00
2016-09-06,314.00,314.00,314.00,314.00,000,314.00
2016-09-05,314.00,314.00,314.00,314.00,000,314.00
2016-09-02,314.00,314.00,314.00,314.00,000,314.00
2016-09-01,314.00,314.00,314.00,314.00,000,314.00
2016-08-31,314.00,314.00,314.00,314.00,000,314.00
2016-08-30,314.00,314.00,314.00,314.00,000,314.00
2016-08-29,314.00,314.00,314.00,314.00,000,314.00
2016-08-26,314.00,314.00,314.00,314.00,000,314.00
2016-08-25,314.00,314.00,314.00,314.00,000,314.00
2016-08-24,314.00,314.00,314.00,314.00,100,314.00
2016-08-23,324.00,324.00,320.00,320.00,40000,320.00
2016-08-22,326.00,326.00,324.00,324.00,25000,324.00
2016-08-19,330.00,332.00,330.00,332.00,2000,332.00
2016-08-18,328.00,330.00,328.00,330.00,86500,330.00
2016-08-17,330.00,330.00,330.00,330.00,000,330.00
2016-08-16,330.00,330.00,330.00,330.00,000,330.00
2016-08-15,330.00,330.00,330.00,330.00,000,330.00
2016-08-12,330.00,330.00,330.00,330.00,000,330.00
2016-08-11,330.00,330.00,330.00,330.00,811400,330.00
2016-08-10,330.00,330.00,330.00,330.00,40000,330.00
