Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1860.00,1870.00,1860.00,1870.00,500,1870.00
2017-01-31,1860.00,1880.00,1780.00,1860.00,177400,1860.00
2017-01-30,1880.00,1880.00,1870.00,1880.00,144300,1880.00
2017-01-27,1880.00,1880.00,1860.00,1880.00,157600,1880.00
2017-01-26,1870.00,1870.00,1870.00,1870.00,8400,1870.00
2017-01-25,1870.00,1875.00,1870.00,1870.00,65400,1870.00
2017-01-24,1880.00,1880.00,1870.00,1870.00,149500,1870.00
2017-01-23,1890.00,1890.00,1850.00,1865.00,152000,1865.00
2017-01-20,1895.00,1910.00,1890.00,1890.00,52900,1890.00
2017-01-19,1895.00,1895.00,1895.00,1895.00,10000,1895.00
2017-01-18,1920.00,1920.00,1850.00,1895.00,1050700,1895.00
2017-01-17,1925.00,1930.00,1910.00,1920.00,399800,1920.00
2017-01-16,1950.00,1950.00,1910.00,1925.00,76600,1925.00
2017-01-13,1930.00,1950.00,1900.00,1950.00,436100,1950.00
2017-01-12,1920.00,1920.00,1920.00,1920.00,92300,1920.00
2017-01-11,1915.00,1920.00,1915.00,1920.00,99600,1920.00
2017-01-10,1940.00,1940.00,1915.00,1915.00,130600,1915.00
2017-01-09,1940.00,1940.00,1940.00,1940.00,3100,1940.00
2017-01-06,1920.00,1945.00,1900.00,1940.00,14300,1940.00
2017-01-05,1920.00,1920.00,1900.00,1920.00,79300,1920.00
2017-01-04,1945.00,1945.00,1910.00,1920.00,37100,1920.00
2017-01-03,1970.00,1970.00,1935.00,1945.00,700,1945.00
2017-01-02,1970.00,1970.00,1970.00,1970.00,000,1970.00
2016-12-30,1990.00,1990.00,1920.00,1970.00,2141400,1970.00
2016-12-29,1975.00,2000.00,1970.00,1995.00,429900,1995.00
2016-12-28,2000.00,2070.00,1975.00,1995.00,837400,1995.00
2016-12-27,1920.00,1950.00,1920.00,1950.00,50400,1950.00
2016-12-26,1950.00,1950.00,1950.00,1950.00,000,1950.00
2016-12-23,1920.00,1950.00,1915.00,1950.00,159200,1950.00
2016-12-22,1965.00,1965.00,1900.00,1925.00,177200,1925.00
2016-12-21,1925.00,1950.00,1920.00,1945.00,110400,1945.00
2016-12-20,1930.00,1950.00,1880.00,1925.00,1471600,1925.00
2016-12-19,1910.00,1970.00,1910.00,1930.00,277400,1930.00
2016-12-16,1990.00,1990.00,1980.00,1980.00,150000,1980.00
2016-12-15,1950.00,1990.00,1950.00,1990.00,85400,1990.00
2016-12-14,2000.00,2000.00,1940.00,1995.00,182300,1995.00
2016-12-13,2000.00,2000.00,2000.00,2000.00,100,2000.00
2016-12-12,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-12-09,1985.00,2000.00,1985.00,2000.00,154000,2000.00
2016-12-08,1990.00,2000.00,1975.00,1985.00,3052600,1985.00
2016-12-07,1970.00,2000.00,1960.00,1990.00,660200,1990.00
2016-12-06,2000.00,2010.00,2000.00,2000.00,203400,2000.00
2016-12-05,2000.00,2050.00,2000.00,2000.00,314900,2000.00
2016-12-02,2000.00,2020.00,2000.00,2000.00,249000,2000.00
2016-12-01,2050.00,2050.00,2000.00,2000.00,463300,2000.00
2016-11-30,2000.00,2050.00,2000.00,2050.00,447300,2050.00
