Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2560.00,2590.00,2550.00,2560.00,16061800,2520.267
2017-01-31,2560.00,2590.00,2540.00,2560.00,17299900,2520.267
2017-01-30,2590.00,2590.00,2550.00,2560.00,7018600,2520.267
2017-01-27,2570.00,2590.00,2570.00,2570.00,3710700,2530.112
2017-01-26,2590.00,2610.00,2560.00,2580.00,45899600,2539.957
2017-01-25,2580.00,2580.00,2540.00,2550.00,20398200,2510.423
2017-01-24,2530.00,2600.00,2530.00,2540.00,6922100,2500.578
2017-01-23,2620.00,2620.00,2520.00,2530.00,15793700,2490.733
2017-01-20,2670.00,2670.00,2620.00,2620.00,10388100,2579.336
2017-01-19,2660.00,2670.00,2630.00,2670.00,7296500,2628.56
2017-01-18,2650.00,2680.00,2630.00,2660.00,19309300,2618.715
2017-01-17,2610.00,2650.00,2610.00,2640.00,10682400,2599.026
2017-01-16,2640.00,2650.00,2610.00,2630.00,10189600,2589.181
2017-01-13,2590.00,2660.00,2550.00,2640.00,31720100,2599.026
2017-01-12,2580.00,2620.00,2570.00,2600.00,12668900,2559.647
2017-01-11,2600.00,2620.00,2580.00,2590.00,16761700,2549.802
2017-01-10,2550.00,2590.00,2520.00,2580.00,11921000,2539.957
2017-01-09,2580.00,2620.00,2540.00,2540.00,7204100,2500.578
2017-01-06,2590.00,2590.00,2560.00,2580.00,3419100,2539.957
2017-01-05,2600.00,2630.00,2550.00,2550.00,8709200,2510.423
2017-01-04,2520.00,2640.00,2520.00,2600.00,25349500,2559.647
2017-01-03,2500.00,2580.00,2500.00,2540.00,9913300,2500.578
2017-01-02,2550.00,2550.00,2550.00,2550.00,000,2510.423
2016-12-30,2600.00,2650.00,2540.00,2550.00,60123800,2510.423
2016-12-29,2490.00,2610.00,2480.00,2600.00,28902300,2559.647
2016-12-28,2390.00,2520.00,2390.00,2470.00,9455200,2431.664
2016-12-27,2320.00,2400.00,2310.00,2390.00,4379300,2352.906
2016-12-26,2300.00,2300.00,2300.00,2300.00,000,2264.303
2016-12-23,2300.00,2370.00,2290.00,2300.00,12236700,2264.303
2016-12-22,2390.00,2430.00,2290.00,2300.00,10941800,2264.303
2016-12-21,2460.00,2480.00,2360.00,2360.00,8828300,2323.372
2016-12-20,2440.00,2460.00,2420.00,2430.00,5207900,2392.285
2016-12-19,2490.00,2500.00,2420.00,2440.00,8739800,2402.13
2016-12-16,2560.00,2560.00,2480.00,2480.00,13589700,2441.509
2016-12-15,2510.00,2550.00,2470.00,2520.00,10383400,2480.888
2016-12-14,2570.00,2580.00,2510.00,2530.00,12184100,2490.733
2016-12-13,2570.00,2580.00,2510.00,2570.00,8648300,2530.112
2016-12-12,2570.00,2570.00,2570.00,2570.00,000,2530.112
2016-12-09,2580.00,2610.00,2530.00,2570.00,22853200,2530.112
