Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1055.00,1065.00,1055.00,1065.00,500,1065.00
2017-01-31,1055.00,1055.00,1055.00,1055.00,200,1055.00
2017-01-30,1070.00,1070.00,1050.00,1050.00,20600,1050.00
2017-01-27,1080.00,1080.00,1070.00,1070.00,13300,1070.00
2017-01-26,1090.00,1110.00,1055.00,1080.00,3900,1080.00
2017-01-25,1060.00,1090.00,1060.00,1090.00,3600,1090.00
2017-01-24,1105.00,1105.00,1050.00,1060.00,45000,1060.00
2017-01-23,1075.00,1075.00,1060.00,1065.00,4300,1065.00
2017-01-20,1075.00,1075.00,1075.00,1075.00,3300,1075.00
2017-01-19,1125.00,1125.00,1075.00,1100.00,12200,1100.00
2017-01-18,1110.00,1130.00,1100.00,1100.00,20900,1100.00
2017-01-17,1100.00,1115.00,1100.00,1110.00,49700,1110.00
2017-01-16,1050.00,1100.00,1050.00,1100.00,79600,1100.00
2017-01-13,1035.00,1070.00,1035.00,1050.00,22200,1050.00
2017-01-12,1035.00,1040.00,1030.00,1035.00,6500,1035.00
2017-01-11,1020.00,1040.00,1015.00,1035.00,68000,1035.00
2017-01-10,1040.00,1040.00,1005.00,1020.00,76500,1020.00
2017-01-09,1020.00,1040.00,1015.00,1040.00,83600,1040.00
2017-01-06,1020.00,1060.00,1015.00,1020.00,15400,1020.00
2017-01-05,1060.00,1060.00,1020.00,1020.00,10900,1020.00
2017-01-04,1020.00,1050.00,1010.00,1040.00,48400,1040.00
2017-01-03,1000.00,1020.00,1000.00,1020.00,33200,1020.00
2017-01-02,1000.00,1000.00,1000.00,1000.00,000,1000.00
2016-12-30,1005.00,1010.00,1000.00,1000.00,87100,1000.00
2016-12-29,1025.00,1025.00,1010.00,1010.00,94700,1010.00
2016-12-28,1050.00,1050.00,1045.00,1045.00,6300,1045.00
2016-12-27,1045.00,1045.00,1045.00,1045.00,000,1045.00
2016-12-26,1045.00,1045.00,1045.00,1045.00,000,1045.00
2016-12-23,1010.00,1045.00,1000.00,1045.00,15500,1045.00
2016-12-22,1025.00,1025.00,1000.00,1000.00,14600,1000.00
2016-12-21,1020.00,1020.00,1020.00,1020.00,15000,1020.00
2016-12-20,1075.00,1075.00,1000.00,1020.00,56500,1020.00
2016-12-19,1075.00,1075.00,1075.00,1075.00,1400,1075.00
2016-12-16,1110.00,1200.00,1080.00,1080.00,108500,1080.00
2016-12-15,1110.00,1110.00,1100.00,1110.00,38600,1110.00
2016-12-14,1125.00,1125.00,1110.00,1110.00,10300,1110.00
2016-12-13,1120.00,1120.00,1110.00,1110.00,10000,1110.00
2016-12-12,1120.00,1120.00,1120.00,1120.00,000,1120.00
2016-12-09,1125.00,1125.00,1120.00,1120.00,33700,1120.00
2016-12-08,1100.00,1125.00,1100.00,1125.00,25800,1125.00
2016-12-07,1125.00,1125.00,1120.00,1120.00,17600,1120.00
2016-12-06,1125.00,1125.00,1105.00,1125.00,43000,1125.00
2016-12-05,1130.00,1130.00,1125.00,1125.00,5700,1125.00
2016-12-02,1130.00,1130.00,1130.00,1130.00,000,1130.00
2016-12-01,1120.00,1170.00,1120.00,1130.00,20000,1130.00
2016-11-30,1120.00,1200.00,1120.00,1120.00,34000,1120.00
2016-11-29,1130.00,1130.00,1100.00,1120.00,32900,1120.00
2016-11-28,1140.00,1140.00,1120.00,1120.00,9700,1120.00
2016-11-25,1140.00,1140.00,1140.00,1140.00,2400,1140.00
2016-11-24,1170.00,1170.00,1140.00,1140.00,10000,1140.00
2016-11-23,1125.00,1180.00,1125.00,1170.00,3400,1170.00
2016-11-22,1120.00,1210.00,1120.00,1170.00,25000,1170.00
2016-11-21,1125.00,1140.00,1120.00,1120.00,9300,1120.00
2016-11-18,1175.00,1175.00,1125.00,1125.00,1500,1125.00
2016-11-17,1180.00,1180.00,1180.00,1180.00,000,1180.00
2016-11-16,1185.00,1185.00,1180.00,1180.00,2900,1180.00
2016-11-15,1185.00,1185.00,1185.00,1185.00,000,1185.00
2016-11-14,1185.00,1185.00,1185.00,1185.00,500,1185.00
2016-11-11,1150.00,1225.00,1100.00,1200.00,34500,1200.00
2016-11-10,1150.00,1150.00,1145.00,1150.00,42600,1150.00
2016-11-09,1195.00,1195.00,1110.00,1140.00,53400,1140.00
2016-11-08,1205.00,1205.00,1180.00,1195.00,27700,1195.00
2016-11-07,1230.00,1230.00,1205.00,1205.00,15600,1205.00
2016-11-04,1200.00,1240.00,1200.00,1230.00,13900,1230.00
2016-11-03,1245.00,1250.00,1200.00,1200.00,25500,1200.00
2016-11-02,1160.00,1210.00,1160.00,1210.00,8600,1210.00
2016-11-01,1205.00,1205.00,1150.00,1160.00,1600,1160.00
2016-10-31,1180.00,1205.00,1180.00,1205.00,1000,1205.00
2016-10-28,1210.00,1210.00,1210.00,1210.00,100,1210.00
2016-10-27,1240.00,1240.00,1175.00,1220.00,38600,1220.00
2016-10-26,1260.00,1260.00,1240.00,1240.00,8200,1240.00
2016-10-25,1255.00,1275.00,1255.00,1260.00,8500,1260.00
2016-10-24,1200.00,1220.00,1200.00,1220.00,13100,1220.00
2016-10-21,1210.00,1215.00,1200.00,1200.00,18300,1200.00
2016-10-20,1230.00,1235.00,1225.00,1225.00,4100,1225.00
2016-10-19,1280.00,1280.00,1230.00,1235.00,9200,1235.00
2016-10-18,1240.00,1240.00,1235.00,1240.00,14700,1240.00
2016-10-17,1295.00,1295.00,1245.00,1285.00,10500,1285.00
2016-10-14,1250.00,1260.00,1245.00,1245.00,28100,1245.00
2016-10-13,1250.00,1300.00,1240.00,1255.00,31700,1255.00
2016-10-12,1250.00,1250.00,1250.00,1250.00,10500,1250.00
2016-10-11,1255.00,1270.00,1255.00,1270.00,1000,1270.00
2016-10-10,1255.00,1255.00,1255.00,1255.00,000,1255.00
2016-10-07,1255.00,1260.00,1255.00,1255.00,7400,1255.00
2016-10-06,1270.00,1270.00,1245.00,1270.00,500,1270.00
2016-10-05,1275.00,1275.00,1270.00,1270.00,700,1270.00
2016-10-04,1250.00,1295.00,1250.00,1290.00,5700,1290.00
2016-10-03,1275.00,1275.00,1250.00,1250.00,25400,1250.00
2016-09-30,1300.00,1300.00,1295.00,1300.00,5000,1300.00
2016-09-29,1300.00,1300.00,1300.00,1300.00,1000,1300.00
2016-09-28,1270.00,1275.00,1270.00,1270.00,18000,1270.00
2016-09-27,1280.00,1290.00,1270.00,1270.00,600,1270.00
2016-09-26,1270.00,1290.00,1270.00,1280.00,12700,1280.00
2016-09-23,1290.00,1300.00,1260.00,1290.00,2300,1290.00
2016-09-22,1320.00,1320.00,1315.00,1320.00,1500,1320.00
2016-09-21,1295.00,1320.00,1295.00,1320.00,10200,1320.00
2016-09-20,1270.00,1295.00,1270.00,1295.00,2000,1295.00
2016-09-19,1255.00,1300.00,1255.00,1265.00,3300,1265.00
