Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1575.00,1965.00,1575.00,1950.00,5708400,1950.00
2017-01-31,1575.00,1990.00,1575.00,1575.00,3304100,1575.00
2017-01-30,1965.00,1965.00,1935.00,1945.00,1579900,1945.00
2017-01-27,1995.00,1995.00,1965.00,1965.00,1261200,1965.00
2017-01-26,1985.00,2000.00,1980.00,1990.00,936900,1990.00
2017-01-25,2010.00,2040.00,1985.00,1985.00,1089600,1985.00
2017-01-24,2070.00,2070.00,2010.00,2010.00,1286500,2010.00
2017-01-23,2000.00,2080.00,1985.00,2040.00,8685200,2040.00
2017-01-20,2030.00,2030.00,1980.00,2000.00,1322400,2000.00
2017-01-19,2050.00,2060.00,2010.00,2020.00,1757700,2020.00
2017-01-18,1980.00,2060.00,1980.00,2050.00,11809100,2050.00
2017-01-17,2000.00,2030.00,1980.00,1980.00,4144900,1980.00
2017-01-16,2000.00,2000.00,1995.00,2000.00,2355800,2000.00
2017-01-13,2000.00,2000.00,1965.00,2000.00,988200,2000.00
2017-01-12,1995.00,2000.00,1995.00,2000.00,2246800,2000.00
2017-01-11,1995.00,2000.00,1995.00,1995.00,1111100,1995.00
2017-01-10,1980.00,2000.00,1980.00,1995.00,2326300,1995.00
2017-01-09,1990.00,2000.00,1975.00,1980.00,773400,1980.00
2017-01-06,2000.00,2010.00,1980.00,1990.00,5330300,1990.00
2017-01-05,1960.00,2010.00,1955.00,2000.00,4471100,2000.00
2017-01-04,1975.00,1990.00,1950.00,1950.00,676000,1950.00
2017-01-03,1950.00,1980.00,1950.00,1975.00,224700,1975.00
2017-01-02,1945.00,1945.00,1945.00,1945.00,000,1945.00
2016-12-30,2020.00,2020.00,1945.00,1945.00,1504600,1945.00
2016-12-29,2030.00,2050.00,1995.00,2000.00,4456100,2000.00
2016-12-28,1935.00,2050.00,1935.00,2050.00,6468100,2050.00
2016-12-27,1900.00,1935.00,1900.00,1910.00,1009400,1910.00
2016-12-26,1905.00,1905.00,1905.00,1905.00,000,1905.00
2016-12-23,1950.00,1950.00,1880.00,1905.00,780200,1905.00
2016-12-22,1905.00,1990.00,1905.00,1910.00,1955100,1910.00
2016-12-21,1935.00,1950.00,1920.00,1920.00,249800,1920.00
2016-12-20,1950.00,1965.00,1905.00,1935.00,550600,1935.00
2016-12-19,1995.00,1995.00,1950.00,1950.00,534400,1950.00
2016-12-16,1950.00,2000.00,1930.00,2000.00,1234200,2000.00
2016-12-15,1995.00,2000.00,1950.00,1950.00,1222700,1950.00
2016-12-14,2000.00,2000.00,1975.00,1990.00,614600,1990.00
2016-12-13,2000.00,2040.00,1980.00,2000.00,2895000,2000.00
2016-12-12,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-12-09,2020.00,2020.00,1975.00,2000.00,2473300,2000.00
2016-12-08,2080.00,2110.00,2020.00,2020.00,7046200,2020.00
2016-12-07,1920.00,2060.00,1915.00,2060.00,3860600,2060.00
2016-12-06,1925.00,1925.00,1900.00,1915.00,735500,1915.00
2016-12-05,1940.00,1945.00,1900.00,1910.00,1104000,1910.00
2016-12-02,1965.00,1965.00,1915.00,1940.00,1176800,1940.00
2016-12-01,1870.00,1980.00,1870.00,1965.00,2077800,1965.00
2016-11-30,1875.00,1915.00,1870.00,1870.00,1742300,1870.00
2016-11-29,1875.00,1905.00,1875.00,1875.00,907100,1875.00
2016-11-28,1905.00,1950.00,1850.00,1870.00,1262100,1870.00
2016-11-25,1950.00,1950.00,1900.00,1905.00,1170900,1905.00
2016-11-24,1980.00,1980.00,1945.00,1945.00,899200,1945.00
2016-11-23,1990.00,2000.00,1975.00,1980.00,605100,1980.00
2016-11-22,1995.00,2010.00,1980.00,1990.00,1116900,1990.00
2016-11-21,1985.00,2000.00,1970.00,1995.00,546300,1995.00
2016-11-18,1990.00,2010.00,1960.00,1985.00,3062100,1985.00
2016-11-17,1940.00,2000.00,1940.00,1960.00,2828900,1960.00
2016-11-16,1865.00,1945.00,1865.00,1940.00,2549200,1940.00
2016-11-15,1910.00,1925.00,1845.00,1865.00,3051300,1865.00
2016-11-14,2000.00,2020.00,1860.00,1880.00,6081800,1880.00
2016-11-11,2080.00,2100.00,1960.00,2020.00,9571600,2020.00
2016-11-10,1980.00,2090.00,1980.00,2080.00,5639300,2080.00
2016-11-09,2030.00,2030.00,1935.00,1960.00,5706700,1960.00
2016-11-08,2020.00,2040.00,2010.00,2010.00,2203400,2010.00
2016-11-07,2010.00,2040.00,1980.00,2010.00,1204800,2010.00
2016-11-04,2010.00,2040.00,1985.00,2010.00,1799800,2010.00
2016-11-03,2050.00,2090.00,2000.00,2010.00,1923200,2010.00
2016-11-02,2110.00,2110.00,2050.00,2070.00,919800,2070.00
2016-11-01,2080.00,2120.00,2050.00,2110.00,953500,2110.00
2016-10-31,2170.00,2170.00,2040.00,2080.00,3163600,2080.00
2016-10-28,2260.00,2270.00,2150.00,2170.00,2853300,2170.00
2016-10-27,2270.00,2280.00,2230.00,2270.00,2223800,2270.00
2016-10-26,2230.00,2290.00,2220.00,2270.00,3958400,2270.00
2016-10-25,2260.00,2280.00,2220.00,2230.00,1750800,2230.00
2016-10-24,2160.00,2260.00,2130.00,2260.00,6776000,2260.00
2016-10-21,2150.00,2160.00,2110.00,2160.00,1021900,2160.00
2016-10-20,2130.00,2140.00,2080.00,2100.00,1321600,2100.00
2016-10-19,2180.00,2200.00,2090.00,2110.00,5352700,2110.00
2016-10-18,2050.00,2190.00,2050.00,2180.00,10607900,2180.00
2016-10-17,2060.00,2060.00,2030.00,2050.00,558300,2050.00
2016-10-14,2070.00,2080.00,2040.00,2050.00,245700,2050.00
2016-10-13,2040.00,2060.00,2040.00,2040.00,1026400,2040.00
2016-10-12,2010.00,2050.00,2010.00,2040.00,137000,2040.00
2016-10-11,2050.00,2050.00,2000.00,2050.00,898300,2050.00
2016-10-10,2080.00,2080.00,2030.00,2050.00,764300,2050.00
2016-10-07,2070.00,2090.00,2050.00,2080.00,612700,2080.00
2016-10-06,2100.00,2100.00,2070.00,2090.00,795900,2090.00
2016-10-05,2060.00,2120.00,2060.00,2090.00,1399200,2090.00
2016-10-04,2020.00,2120.00,2020.00,2100.00,3425800,2100.00
2016-10-03,2000.00,2050.00,1975.00,2020.00,2052100,2020.00
2016-09-30,2050.00,2060.00,1950.00,1950.00,1462000,1950.00
2016-09-29,2050.00,2070.00,2020.00,2050.00,1793700,2050.00
2016-09-28,2050.00,2120.00,2050.00,2070.00,2193500,2070.00
2016-09-27,2020.00,2100.00,2000.00,2090.00,1292600,2090.00
2016-09-26,2040.00,2050.00,2010.00,2020.00,432300,2020.00
2016-09-23,2040.00,2080.00,2040.00,2040.00,629200,2040.00
2016-09-22,2070.00,2100.00,2060.00,2060.00,902600,2060.00
2016-09-21,2090.00,2110.00,2030.00,2070.00,3628300,2070.00
2016-09-20,2060.00,2080.00,2030.00,2080.00,2000400,2080.00
2016-09-19,2000.00,2080.00,1990.00,2070.00,1337600,2070.00
2016-09-16,2020.00,2050.00,1980.00,2020.00,1477600,2020.00
2016-09-15,1910.00,2030.00,1900.00,2020.00,5033300,2020.00
2016-09-14,2010.00,2010.00,1890.00,1910.00,7298800,1910.00
2016-09-13,2130.00,2130.00,1995.00,2000.00,3287200,2000.00
2016-09-12,2130.00,2130.00,2130.00,2130.00,000,2130.00
2016-09-09,2150.00,2150.00,2090.00,2130.00,1658400,2130.00
2016-09-08,2120.00,2150.00,2100.00,2100.00,2059200,2100.00
2016-09-07,2120.00,2130.00,2080.00,2100.00,1067800,2100.00
2016-09-06,2130.00,2140.00,2100.00,2110.00,1084300,2110.00
2016-09-05,2150.00,2190.00,2110.00,2120.00,2083700,2120.00
2016-09-02,2120.00,2150.00,2100.00,2150.00,1468500,2150.00
2016-09-01,2150.00,2150.00,2110.00,2120.00,1499100,2120.00
2016-08-31,2190.00,2200.00,2120.00,2150.00,1524300,2150.00
2016-08-30,2170.00,2200.00,2000.00,2190.00,5575800,2190.00
2016-08-29,2280.00,2280.00,2140.00,2170.00,3275300,2170.00
2016-08-26,2290.00,2340.00,2240.00,2290.00,4951900,2290.00
2016-08-25,2220.00,2300.00,2220.00,2290.00,6133300,2290.00
2016-08-24,2190.00,2270.00,2170.00,2220.00,2822000,2220.00
2016-08-23,2220.00,2230.00,2140.00,2180.00,4204400,2180.00
2016-08-22,2280.00,2300.00,2210.00,2230.00,5301100,2230.00
2016-08-19,2240.00,2340.00,2240.00,2280.00,8131800,2280.00
