Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,700.00,800.00,700.00,800.00,400,800.00
2017-01-31,700.00,700.00,700.00,700.00,1000,700.00
2017-01-30,700.00,700.00,700.00,700.00,100,700.00
2017-01-27,835.00,835.00,835.00,835.00,000,835.00
2017-01-26,835.00,835.00,835.00,835.00,000,835.00
2017-01-25,750.00,975.00,750.00,835.00,3400,835.00
2017-01-24,990.00,990.00,990.00,990.00,000,990.00
2017-01-23,990.00,990.00,990.00,990.00,000,990.00
2017-01-20,990.00,990.00,990.00,990.00,000,990.00
2017-01-19,990.00,990.00,990.00,990.00,000,990.00
2017-01-18,990.00,990.00,990.00,990.00,000,990.00
2017-01-17,900.00,1000.00,900.00,990.00,1600,990.00
2017-01-16,900.00,900.00,900.00,900.00,000,900.00
2017-01-13,900.00,900.00,900.00,900.00,000,900.00
2017-01-12,835.00,900.00,700.00,900.00,400,900.00
2017-01-11,885.00,885.00,800.00,835.00,700,835.00
2017-01-10,885.00,885.00,885.00,885.00,000,885.00
2017-01-09,885.00,885.00,885.00,885.00,000,885.00
2017-01-06,885.00,885.00,885.00,885.00,000,885.00
2017-01-05,885.00,885.00,885.00,885.00,000,885.00
2017-01-04,885.00,885.00,885.00,885.00,000,885.00
2017-01-03,885.00,885.00,885.00,885.00,600,885.00
2017-01-02,900.00,900.00,900.00,900.00,000,900.00
2016-12-30,900.00,900.00,900.00,900.00,000,900.00
2016-12-29,900.00,900.00,900.00,900.00,000,900.00
2016-12-28,900.00,900.00,900.00,900.00,000,900.00
2016-12-27,900.00,900.00,900.00,900.00,000,900.00
2016-12-26,900.00,900.00,900.00,900.00,000,900.00
2016-12-23,900.00,900.00,900.00,900.00,000,900.00
2016-12-22,760.00,1000.00,760.00,900.00,1600,900.00
2016-12-21,840.00,840.00,840.00,840.00,000,840.00
2016-12-20,840.00,840.00,840.00,840.00,000,840.00
2016-12-19,840.00,840.00,840.00,840.00,100,840.00
2016-12-16,855.00,855.00,855.00,855.00,000,855.00
2016-12-15,855.00,855.00,855.00,855.00,000,855.00
2016-12-14,855.00,855.00,855.00,855.00,000,855.00
2016-12-13,855.00,855.00,855.00,855.00,000,855.00
2016-12-12,855.00,855.00,855.00,855.00,000,855.00
