Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,600.00,600.00,600.00,600.00,000,600.00
2017-01-31,600.00,600.00,600.00,600.00,000,600.00
2017-01-30,600.00,600.00,600.00,600.00,000,600.00
2017-01-27,600.00,600.00,600.00,600.00,000,600.00
2017-01-26,600.00,600.00,600.00,600.00,000,600.00
2017-01-25,600.00,600.00,600.00,600.00,000,600.00
2017-01-24,600.00,600.00,600.00,600.00,000,600.00
2017-01-23,600.00,600.00,600.00,600.00,000,600.00
2017-01-20,600.00,600.00,600.00,600.00,000,600.00
2017-01-19,600.00,600.00,600.00,600.00,000,600.00
2017-01-18,600.00,600.00,600.00,600.00,000,600.00
2017-01-17,600.00,600.00,600.00,600.00,000,600.00
2017-01-16,600.00,600.00,600.00,600.00,000,600.00
2017-01-13,600.00,600.00,600.00,600.00,000,600.00
2017-01-12,600.00,600.00,600.00,600.00,000,600.00
2017-01-11,600.00,600.00,600.00,600.00,000,600.00
2017-01-10,600.00,600.00,600.00,600.00,000,600.00
2017-01-09,600.00,600.00,600.00,600.00,000,600.00
2017-01-06,600.00,600.00,600.00,600.00,000,600.00
2017-01-05,600.00,600.00,600.00,600.00,000,600.00
2017-01-04,600.00,600.00,600.00,600.00,000,600.00
2017-01-03,600.00,600.00,600.00,600.00,000,600.00
2017-01-02,600.00,600.00,600.00,600.00,000,600.00
2016-12-30,600.00,600.00,600.00,600.00,000,600.00
2016-12-29,600.00,600.00,600.00,600.00,000,600.00
2016-12-28,600.00,600.00,600.00,600.00,000,600.00
2016-12-27,600.00,600.00,600.00,600.00,000,600.00
2016-12-26,600.00,600.00,600.00,600.00,000,600.00
2016-12-23,600.00,600.00,600.00,600.00,000,600.00
2016-12-22,600.00,600.00,600.00,600.00,000,600.00
2016-12-21,600.00,600.00,600.00,600.00,000,600.00
2016-12-20,600.00,600.00,600.00,600.00,000,600.00
2016-12-19,600.00,600.00,600.00,600.00,000,600.00
2016-12-16,600.00,600.00,600.00,600.00,000,600.00
