Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,330.00,330.00,300.00,330.00,245100,330.00
2017-01-31,330.00,330.00,310.00,330.00,283300,330.00
2017-01-30,320.00,320.00,300.00,300.00,314500,300.00
2017-01-27,300.00,320.00,300.00,320.00,671200,320.00
2017-01-26,320.00,320.00,320.00,320.00,000,320.00
2017-01-25,320.00,320.00,320.00,320.00,000,320.00
2017-01-24,300.00,320.00,300.00,320.00,256900,320.00
2017-01-23,320.00,320.00,300.00,320.00,240700,320.00
2017-01-20,320.00,320.00,300.00,320.00,919700,320.00
2017-01-19,300.00,320.00,300.00,320.00,536800,320.00
2017-01-18,300.00,300.00,296.00,300.00,488000,300.00
2017-01-17,290.00,300.00,288.00,300.00,489200,300.00
2017-01-16,300.00,300.00,290.00,290.00,475200,290.00
2017-01-13,298.00,300.00,298.00,300.00,322500,300.00
2017-01-12,300.00,300.00,296.00,300.00,1022200,300.00
2017-01-11,300.00,300.00,298.00,300.00,152000,300.00
2017-01-10,256.00,300.00,256.00,300.00,394100,300.00
2017-01-09,320.00,320.00,240.00,256.00,912400,256.00
2017-01-06,328.00,328.00,300.00,320.00,429900,320.00
2017-01-05,330.00,330.00,328.00,328.00,287100,328.00
2017-01-04,336.00,336.00,328.00,330.00,240200,330.00
2017-01-03,330.00,336.00,330.00,336.00,257600,336.00
2017-01-02,330.00,330.00,330.00,330.00,000,330.00
2016-12-30,328.00,330.00,328.00,330.00,239300,330.00
2016-12-29,326.00,328.00,326.00,328.00,925400,328.00
2016-12-28,326.00,326.00,326.00,326.00,000,326.00
2016-12-27,326.00,326.00,326.00,326.00,000,326.00
2016-12-26,326.00,326.00,326.00,326.00,000,326.00
2016-12-23,326.00,326.00,326.00,326.00,000,326.00
2016-12-22,326.00,326.00,326.00,326.00,000,326.00
2016-12-21,326.00,326.00,326.00,326.00,000,326.00
2016-12-20,326.00,326.00,326.00,326.00,000,326.00
2016-12-19,326.00,326.00,326.00,326.00,000,326.00
2016-12-16,326.00,326.00,326.00,326.00,000,326.00
2016-12-15,328.00,328.00,326.00,326.00,35000,326.00
2016-12-14,326.00,328.00,326.00,328.00,236900,328.00
2016-12-13,330.00,330.00,326.00,328.00,213900,328.00
2016-12-12,330.00,330.00,330.00,330.00,000,330.00
2016-12-09,328.00,330.00,328.00,330.00,241100,330.00
2016-12-08,326.00,330.00,326.00,330.00,239600,330.00
2016-12-07,326.00,328.00,326.00,328.00,252000,328.00
2016-12-06,326.00,326.00,326.00,326.00,235800,326.00
2016-12-05,326.00,328.00,326.00,328.00,40000,328.00
2016-12-02,326.00,326.00,320.00,326.00,232700,326.00
2016-12-01,328.00,328.00,326.00,328.00,261400,328.00
2016-11-30,328.00,328.00,326.00,328.00,249100,328.00
2016-11-29,328.00,328.00,326.00,328.00,252500,328.00
2016-11-28,328.00,328.00,326.00,328.00,234500,328.00
2016-11-25,326.00,328.00,326.00,328.00,230800,328.00
2016-11-24,328.00,328.00,326.00,328.00,275300,328.00
2016-11-23,328.00,330.00,328.00,330.00,243400,330.00
2016-11-22,328.00,328.00,328.00,328.00,237900,328.00
2016-11-21,330.00,330.00,328.00,330.00,250600,330.00
2016-11-18,328.00,330.00,328.00,330.00,227500,330.00
2016-11-17,330.00,330.00,328.00,330.00,258100,330.00
2016-11-16,330.00,334.00,330.00,334.00,238400,334.00
2016-11-15,336.00,336.00,328.00,330.00,649700,330.00
2016-11-14,328.00,328.00,328.00,328.00,000,328.00
2016-11-11,328.00,328.00,328.00,328.00,000,328.00
2016-11-10,328.00,328.00,328.00,328.00,000,328.00
2016-11-09,340.00,340.00,328.00,328.00,300,328.00
2016-11-08,330.00,330.00,330.00,330.00,900,330.00
2016-11-07,328.00,328.00,328.00,328.00,000,328.00
2016-11-04,328.00,328.00,328.00,328.00,000,328.00
2016-11-03,328.00,328.00,328.00,328.00,185600,328.00
2016-11-02,326.00,330.00,326.00,330.00,229600,330.00
2016-11-01,330.00,330.00,328.00,330.00,170200,330.00
2016-10-31,326.00,330.00,326.00,330.00,241400,330.00
2016-10-28,328.00,330.00,326.00,330.00,238600,330.00
2016-10-27,328.00,330.00,328.00,330.00,203600,330.00
2016-10-26,328.00,330.00,328.00,330.00,190200,330.00
2016-10-25,328.00,330.00,328.00,330.00,282000,330.00
2016-10-24,330.00,330.00,328.00,328.00,219900,328.00
2016-10-21,328.00,330.00,326.00,330.00,288200,330.00
