Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-31,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-30,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-27,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-26,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-25,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-24,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-23,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-20,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-19,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-18,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-17,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-16,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-13,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-12,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-11,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-10,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-09,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-06,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-05,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-04,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-03,1990.00,1990.00,1990.00,1990.00,000,1990.00
2017-01-02,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-30,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-29,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-28,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-27,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-26,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-23,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-22,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-21,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-20,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-19,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-16,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-15,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-14,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-13,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-12,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-09,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-08,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-07,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-06,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-05,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-02,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-12-01,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-30,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-29,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-28,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-25,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-24,1990.00,1990.00,1990.00,1990.00,100,1990.00
2016-11-23,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-22,1990.00,1990.00,1990.00,1990.00,100,1990.00
2016-11-21,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-18,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-17,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-16,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-15,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-14,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-11,2000.00,2000.00,2000.00,2000.00,000,2000.00
2016-11-10,2040.00,2040.00,2000.00,2000.00,5100,2000.00
2016-11-09,1990.00,1990.00,1990.00,1990.00,2000,1990.00
2016-11-08,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-07,1990.00,1990.00,1990.00,1990.00,100,1990.00
2016-11-04,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-03,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-02,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-11-01,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-31,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-28,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-27,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-26,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-25,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-24,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-21,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-20,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-19,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-18,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-17,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-14,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-13,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-12,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-11,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-10,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-07,1990.00,1990.00,1990.00,1990.00,000,1990.00
2016-10-06,1990.00,1990.00,1990.00,1990.00,200,1990.00
2016-10-05,2000.00,2000.00,2000.00,2000.00,100,2000.00
2016-10-04,1950.00,1950.00,1950.00,1950.00,000,1950.00
2016-10-03,1950.00,1950.00,1950.00,1950.00,000,1950.00
2016-09-30,1950.00,1950.00,1950.00,1950.00,000,1950.00
2016-09-29,1820.00,1950.00,1820.00,1950.00,400,1950.00
2016-09-28,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-27,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-26,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-23,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-22,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-21,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-20,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-19,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-16,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-15,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-14,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-13,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-12,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-09,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-08,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-07,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-06,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-05,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-02,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-09-01,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-31,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-30,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-29,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-26,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-25,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-24,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-23,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-22,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-19,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-18,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-17,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-16,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-15,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-12,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-11,1785.00,1785.00,1785.00,1785.00,000,1785.00
2016-08-10,1785.00,1785.00,1785.00,1785.00,200,1785.00
2016-08-09,1790.00,1790.00,1790.00,1790.00,200,1790.00
2016-08-08,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-08-05,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-08-04,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-08-03,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-08-02,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-08-01,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-07-29,1790.00,1790.00,1790.00,1790.00,000,1790.00
2016-07-28,1790.00,1790.00,1790.00,1790.00,000,1790.00
