Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,378.00,378.00,368.00,368.00,100,368.00
2017-01-31,378.00,378.00,378.00,378.00,000,378.00
2017-01-30,378.00,378.00,378.00,378.00,000,378.00
2017-01-27,378.00,378.00,378.00,378.00,000,378.00
2017-01-26,378.00,378.00,378.00,378.00,000,378.00
2017-01-25,350.00,378.00,350.00,378.00,200,378.00
2017-01-24,378.00,378.00,378.00,378.00,100,378.00
2017-01-23,380.00,380.00,302.00,370.00,6500,370.00
2017-01-20,380.00,380.00,380.00,380.00,000,380.00
2017-01-19,380.00,380.00,380.00,380.00,000,380.00
2017-01-18,380.00,380.00,380.00,380.00,000,380.00
2017-01-17,380.00,380.00,380.00,380.00,000,380.00
2017-01-16,386.00,386.00,380.00,380.00,300,380.00
2017-01-13,386.00,386.00,386.00,386.00,000,386.00
2017-01-12,386.00,386.00,386.00,386.00,000,386.00
2017-01-11,386.00,386.00,386.00,386.00,000,386.00
2017-01-10,386.00,386.00,386.00,386.00,000,386.00
2017-01-09,386.00,386.00,386.00,386.00,000,386.00
2017-01-06,386.00,386.00,386.00,386.00,100,386.00
2017-01-05,378.00,388.00,378.00,388.00,1100,388.00
2017-01-04,380.00,380.00,380.00,380.00,000,380.00
2017-01-03,380.00,380.00,380.00,380.00,000,380.00
2017-01-02,380.00,380.00,380.00,380.00,000,380.00
2016-12-30,380.00,380.00,380.00,380.00,000,380.00
2016-12-29,380.00,380.00,380.00,380.00,000,380.00
2016-12-28,360.00,380.00,360.00,380.00,500,380.00
2016-12-27,358.00,358.00,358.00,358.00,000,358.00
2016-12-26,358.00,358.00,358.00,358.00,000,358.00
2016-12-23,358.00,358.00,358.00,358.00,000,358.00
2016-12-22,354.00,358.00,354.00,358.00,200,358.00
2016-12-21,360.00,360.00,356.00,356.00,25000,356.00
2016-12-20,360.00,360.00,360.00,360.00,000,360.00
2016-12-19,360.00,360.00,360.00,360.00,000,360.00
2016-12-16,364.00,364.00,360.00,360.00,100,360.00
2016-12-15,364.00,364.00,364.00,364.00,000,364.00
2016-12-14,364.00,364.00,364.00,364.00,000,364.00
2016-12-13,364.00,364.00,364.00,364.00,000,364.00
2016-12-12,364.00,364.00,364.00,364.00,000,364.00
2016-12-09,364.00,364.00,364.00,364.00,000,364.00
2016-12-08,364.00,364.00,364.00,364.00,000,364.00
2016-12-07,364.00,364.00,364.00,364.00,000,364.00
2016-12-06,356.00,364.00,356.00,364.00,300,364.00
2016-12-05,302.00,354.00,302.00,354.00,1700,354.00
2016-12-02,300.00,300.00,300.00,300.00,100,300.00
2016-12-01,320.00,320.00,320.00,320.00,000,320.00
2016-11-30,320.00,320.00,320.00,320.00,300,320.00
2016-11-29,338.00,338.00,338.00,338.00,000,338.00
2016-11-28,338.00,338.00,338.00,338.00,000,338.00
2016-11-25,338.00,338.00,338.00,338.00,200,338.00
2016-11-24,340.00,340.00,340.00,340.00,000,340.00
2016-11-23,340.00,340.00,340.00,340.00,000,340.00
2016-11-22,350.00,366.00,336.00,340.00,17600,340.00
2016-11-21,338.00,358.00,338.00,350.00,3000,350.00
2016-11-18,320.00,370.00,312.00,338.00,306200,338.00
2016-11-17,340.00,340.00,340.00,340.00,200,340.00
2016-11-16,376.00,376.00,340.00,340.00,4200,340.00
2016-11-15,376.00,376.00,376.00,376.00,100,376.00
2016-11-14,376.00,376.00,340.00,340.00,1200,340.00
2016-11-11,386.00,386.00,376.00,376.00,300,376.00
2016-11-10,376.00,376.00,376.00,376.00,000,376.00
2016-11-09,378.00,378.00,376.00,376.00,300,376.00
2016-11-08,326.00,378.00,324.00,378.00,2500,378.00
2016-11-07,334.00,340.00,316.00,336.00,13000,336.00
2016-11-04,336.00,336.00,334.00,334.00,8800,334.00
2016-11-03,324.00,342.00,324.00,336.00,40200,336.00
2016-11-02,340.00,340.00,340.00,340.00,10500,340.00
2016-11-01,312.00,336.00,312.00,336.00,8900,336.00
2016-10-31,322.00,324.00,310.00,312.00,231400,312.00
2016-10-28,336.00,338.00,328.00,328.00,90100,328.00
2016-10-27,354.00,354.00,316.00,338.00,38300,338.00
2016-10-26,348.00,374.00,348.00,350.00,10100,350.00
2016-10-25,338.00,350.00,300.00,300.00,1100,300.00
2016-10-24,310.00,312.00,282.00,290.00,4400,290.00
2016-10-21,324.00,324.00,310.00,310.00,400,310.00
2016-10-20,310.00,348.00,310.00,336.00,19300,336.00
2016-10-19,310.00,346.00,310.00,344.00,2900,344.00
2016-10-18,338.00,350.00,332.00,344.00,1200,344.00
2016-10-17,336.00,350.00,328.00,328.00,109700,328.00
2016-10-14,338.00,364.00,338.00,364.00,700,364.00
2016-10-13,362.00,378.00,330.00,336.00,52400,336.00
2016-10-12,410.00,410.00,356.00,362.00,3500,362.00
2016-10-11,360.00,404.00,360.00,392.00,4500,392.00
2016-10-10,380.00,380.00,360.00,360.00,52900,360.00
2016-10-07,420.00,420.00,380.00,380.00,2600,380.00
2016-10-06,414.00,414.00,414.00,414.00,2400,414.00
2016-10-05,418.00,418.00,418.00,418.00,500,418.00
2016-10-04,396.00,398.00,396.00,398.00,200,398.00
2016-10-03,400.00,400.00,396.00,396.00,2600,396.00
2016-09-30,384.00,440.00,384.00,440.00,100,440.00
2016-09-29,418.00,438.00,384.00,384.00,3100,384.00
2016-09-28,370.00,418.00,370.00,418.00,5100,418.00
2016-09-27,390.00,390.00,360.00,360.00,100,360.00
2016-09-26,430.00,430.00,390.00,390.00,300,390.00
2016-09-23,432.00,432.00,432.00,432.00,000,432.00
2016-09-22,432.00,432.00,432.00,432.00,000,432.00
2016-09-21,432.00,432.00,432.00,432.00,100,432.00
2016-09-20,436.00,436.00,378.00,378.00,200,378.00
2016-09-19,446.00,446.00,396.00,396.00,200,396.00
2016-09-16,446.00,446.00,402.00,438.00,12100,438.00
2016-09-15,442.00,446.00,442.00,446.00,200,446.00
2016-09-14,480.00,480.00,432.00,432.00,55100,432.00
2016-09-13,480.00,480.00,480.00,480.00,100,480.00
