Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,300.00,300.00,300.00,300.00,67000,300.00
2017-01-31,300.00,330.00,270.00,300.00,385000,300.00
2017-01-30,302.00,340.00,300.00,300.00,530200,300.00
2017-01-27,250.00,302.00,250.00,302.00,3231200,302.00
2017-01-26,180.00,242.00,180.00,242.00,6409900,242.00
2017-01-25,180.00,180.00,180.00,180.00,102400,180.00
2017-01-24,180.00,206.00,175.00,178.00,2877600,178.00
2017-01-23,173.00,193.00,172.00,180.00,9391200,180.00
2017-01-20,172.00,173.00,172.00,173.00,1200100,173.00
2017-01-19,170.00,172.00,170.00,172.00,1190000,172.00
2017-01-18,172.00,176.00,170.00,172.00,1196400,172.00
2017-01-17,176.00,176.00,170.00,172.00,1170000,172.00
2017-01-16,177.00,177.00,175.00,176.00,1130000,176.00
2017-01-13,178.00,178.00,177.00,177.00,1335200,177.00
2017-01-12,176.00,176.00,176.00,176.00,1130000,176.00
2017-01-11,176.00,186.00,176.00,176.00,1238600,176.00
2017-01-10,177.00,177.00,176.00,176.00,1120000,176.00
2017-01-09,184.00,184.00,175.00,177.00,1229800,177.00
2017-01-06,190.00,190.00,175.00,184.00,1165200,184.00
2017-01-05,186.00,186.00,175.00,184.00,1150200,184.00
2017-01-04,188.00,188.00,178.00,186.00,1110100,186.00
2017-01-03,185.00,188.00,180.00,188.00,1005200,188.00
2017-01-02,186.00,186.00,186.00,186.00,000,186.00
2016-12-30,185.00,186.00,185.00,186.00,1080000,186.00
2016-12-29,184.00,185.00,184.00,185.00,1085000,185.00
2016-12-28,183.00,184.00,183.00,184.00,1080000,184.00
2016-12-27,187.00,187.00,187.00,187.00,1060000,187.00
2016-12-26,191.00,191.00,191.00,191.00,000,191.00
2016-12-23,191.00,191.00,186.00,191.00,1068800,191.00
2016-12-22,190.00,198.00,190.00,191.00,1929800,191.00
2016-12-21,190.00,192.00,188.00,191.00,3738500,191.00
2016-12-20,193.00,193.00,188.00,190.00,1050000,190.00
2016-12-19,195.00,198.00,192.00,193.00,3709000,193.00
2016-12-16,200.00,200.00,194.00,195.00,1000000,195.00
2016-12-15,190.00,200.00,190.00,200.00,1592400,200.00
2016-12-14,200.00,200.00,194.00,196.00,1000700,196.00
2016-12-13,210.00,210.00,196.00,200.00,3491800,200.00
2016-12-12,210.00,210.00,210.00,210.00,000,210.00
2016-12-09,200.00,210.00,200.00,210.00,10069100,210.00
2016-12-08,200.00,200.00,200.00,200.00,601900,200.00
2016-12-07,180.00,200.00,180.00,200.00,63600,200.00
2016-12-06,200.00,200.00,200.00,200.00,000,200.00
2016-12-05,200.00,200.00,200.00,200.00,7800,200.00
2016-12-02,200.00,200.00,200.00,200.00,000,200.00
2016-12-01,200.00,200.00,200.00,200.00,000,200.00
2016-11-30,200.00,200.00,200.00,200.00,000,200.00
2016-11-29,200.00,200.00,200.00,200.00,000,200.00
2016-11-28,200.00,200.00,200.00,200.00,000,200.00
2016-11-25,200.00,200.00,200.00,200.00,000,200.00
2016-11-24,200.00,200.00,200.00,200.00,000,200.00
2016-11-23,200.00,200.00,200.00,200.00,000,200.00
2016-11-22,200.00,200.00,200.00,200.00,000,200.00
2016-11-21,200.00,200.00,200.00,200.00,000,200.00
2016-11-18,202.00,204.00,200.00,200.00,644000,200.00
2016-11-17,206.00,210.00,200.00,200.00,490500,200.00
2016-11-16,202.00,204.00,202.00,204.00,470000,204.00
2016-11-15,200.00,202.00,200.00,202.00,500000,202.00
2016-11-14,220.00,220.00,220.00,220.00,000,220.00
2016-11-11,220.00,220.00,220.00,220.00,000,220.00
2016-11-10,220.00,220.00,220.00,220.00,000,220.00
2016-11-09,220.00,220.00,220.00,220.00,000,220.00
2016-11-08,220.00,220.00,220.00,220.00,000,220.00
2016-11-07,220.00,220.00,220.00,220.00,000,220.00
2016-11-04,220.00,220.00,220.00,220.00,000,220.00
2016-11-03,220.00,220.00,220.00,220.00,000,220.00
2016-11-02,220.00,220.00,220.00,220.00,000,220.00
2016-11-01,220.00,220.00,220.00,220.00,000,220.00
2016-10-31,220.00,220.00,220.00,220.00,000,220.00
2016-10-28,220.00,220.00,220.00,220.00,000,220.00
2016-10-27,220.00,220.00,220.00,220.00,5900,220.00
2016-10-26,240.00,240.00,224.00,224.00,33100,224.00
2016-10-25,240.00,240.00,240.00,240.00,000,240.00
2016-10-24,240.00,240.00,238.00,240.00,500,240.00
2016-10-21,240.00,240.00,240.00,240.00,22000,240.00
2016-10-20,220.00,220.00,220.00,220.00,000,220.00
2016-10-19,220.00,220.00,220.00,220.00,000,220.00
2016-10-18,220.00,220.00,220.00,220.00,000,220.00
2016-10-17,220.00,220.00,220.00,220.00,000,220.00
2016-10-14,220.00,220.00,220.00,220.00,500,220.00
2016-10-13,240.00,240.00,240.00,240.00,000,240.00
2016-10-12,240.00,240.00,240.00,240.00,000,240.00
2016-10-11,224.00,240.00,224.00,240.00,10400,240.00
2016-10-10,236.00,236.00,216.00,224.00,1500,224.00
2016-10-07,236.00,236.00,236.00,236.00,000,236.00
2016-10-06,236.00,236.00,236.00,236.00,1100,236.00
2016-10-05,236.00,236.00,236.00,236.00,100,236.00
2016-10-04,210.00,262.00,210.00,262.00,38400,262.00
2016-10-03,210.00,210.00,210.00,210.00,000,210.00
2016-09-30,210.00,210.00,210.00,210.00,000,210.00
2016-09-29,210.00,210.00,210.00,210.00,000,210.00
2016-09-28,210.00,210.00,210.00,210.00,100,210.00
2016-09-27,200.00,200.00,200.00,200.00,000,200.00
2016-09-26,200.00,200.00,200.00,200.00,000,200.00
2016-09-23,200.00,200.00,200.00,200.00,000,200.00
2016-09-22,200.00,200.00,200.00,200.00,000,200.00
2016-09-21,200.00,200.00,200.00,200.00,000,200.00
2016-09-20,200.00,200.00,200.00,200.00,000,200.00
2016-09-19,200.00,200.00,200.00,200.00,000,200.00
2016-09-16,200.00,200.00,200.00,200.00,000,200.00
2016-09-15,206.00,206.00,200.00,200.00,29400,200.00
2016-09-14,206.00,206.00,206.00,206.00,000,206.00
2016-09-13,206.00,206.00,206.00,206.00,55200,206.00
2016-09-12,206.00,206.00,206.00,206.00,000,206.00
2016-09-09,206.00,206.00,206.00,206.00,100,206.00
2016-09-08,206.00,206.00,206.00,206.00,000,206.00
2016-09-07,210.00,210.00,206.00,206.00,3000,206.00
2016-09-06,206.00,206.00,206.00,206.00,2800,206.00
2016-09-05,210.00,210.00,210.00,210.00,500,210.00
2016-09-02,212.00,212.00,212.00,212.00,000,212.00
2016-09-01,212.00,212.00,212.00,212.00,000,212.00
2016-08-31,212.00,212.00,212.00,212.00,100,212.00
2016-08-30,218.00,218.00,218.00,218.00,000,218.00
2016-08-29,218.00,218.00,218.00,218.00,000,218.00
2016-08-26,218.00,218.00,218.00,218.00,500,218.00
2016-08-25,218.00,218.00,200.00,200.00,6500,200.00
2016-08-24,200.00,200.00,200.00,200.00,000,200.00
