Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,770.00,790.00,750.00,775.00,900,775.00
2017-01-31,770.00,790.00,760.00,770.00,600,770.00
2017-01-30,765.00,780.00,765.00,765.00,800,765.00
2017-01-27,745.00,790.00,740.00,765.00,2500,765.00
2017-01-26,790.00,790.00,790.00,790.00,000,790.00
2017-01-25,770.00,790.00,755.00,790.00,10000,790.00
2017-01-24,755.00,770.00,745.00,770.00,2400,770.00
2017-01-23,790.00,790.00,735.00,790.00,4500,790.00
2017-01-20,790.00,790.00,790.00,790.00,000,790.00
2017-01-19,760.00,790.00,760.00,790.00,10200,790.00
2017-01-18,780.00,785.00,780.00,785.00,400,785.00
2017-01-17,785.00,785.00,725.00,780.00,35800,780.00
2017-01-16,765.00,785.00,765.00,785.00,5200,785.00
2017-01-13,775.00,775.00,765.00,765.00,1500,765.00
2017-01-12,790.00,790.00,725.00,775.00,53500,775.00
2017-01-11,785.00,790.00,785.00,790.00,600,790.00
2017-01-10,780.00,785.00,740.00,785.00,17000,785.00
2017-01-09,780.00,780.00,780.00,780.00,100,780.00
2017-01-06,780.00,780.00,780.00,780.00,000,780.00
2017-01-05,780.00,780.00,780.00,780.00,200,780.00
2017-01-04,790.00,790.00,790.00,790.00,000,790.00
2017-01-03,790.00,790.00,790.00,790.00,000,790.00
2017-01-02,790.00,790.00,790.00,790.00,000,790.00
2016-12-30,790.00,790.00,790.00,790.00,000,790.00
2016-12-29,790.00,790.00,790.00,790.00,100,790.00
2016-12-28,795.00,795.00,795.00,795.00,000,795.00
2016-12-27,795.00,795.00,795.00,795.00,000,795.00
2016-12-26,795.00,795.00,795.00,795.00,000,795.00
2016-12-23,795.00,795.00,795.00,795.00,100,795.00
2016-12-22,765.00,795.00,765.00,765.00,4400,765.00
2016-12-21,770.00,800.00,765.00,795.00,4700,795.00
2016-12-20,790.00,810.00,760.00,770.00,3200,770.00
2016-12-19,770.00,790.00,765.00,790.00,1100,790.00
2016-12-16,800.00,800.00,800.00,800.00,100,800.00
2016-12-15,800.00,800.00,800.00,800.00,000,800.00
2016-12-14,810.00,810.00,800.00,800.00,500,800.00
2016-12-13,820.00,820.00,820.00,820.00,000,820.00
2016-12-12,820.00,820.00,820.00,820.00,000,820.00
2016-12-09,820.00,820.00,820.00,820.00,000,820.00
