Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,5700.00,5950.00,5675.00,5950.00,69953000,5763.794
2017-01-31,5700.00,5725.00,5625.00,5700.00,19780300,5521.618
2017-01-30,5775.00,5800.00,5700.00,5725.00,28483800,5545.835
2017-01-27,5600.00,5800.00,5575.00,5750.00,60702700,5570.053
2017-01-26,5550.00,5625.00,5525.00,5600.00,32743100,5424.747
2017-01-25,5600.00,5600.00,5500.00,5500.00,25846700,5327.877
2017-01-24,5550.00,5575.00,5500.00,5550.00,10048300,5376.312
2017-01-23,5500.00,5575.00,5450.00,5525.00,17986900,5352.094
2017-01-20,5475.00,5525.00,5450.00,5450.00,11497300,5279.442
2017-01-19,5575.00,5600.00,5450.00,5450.00,12431800,5279.442
2017-01-18,5575.00,5575.00,5525.00,5575.00,20682700,5400.53
2017-01-17,5475.00,5550.00,5475.00,5525.00,18352200,5352.094
2017-01-16,5525.00,5625.00,5475.00,5475.00,17422600,5303.659
2017-01-13,5550.00,5600.00,5400.00,5475.00,10899900,5303.659
2017-01-12,5625.00,5625.00,5550.00,5550.00,5229800,5376.312
2017-01-11,5625.00,5625.00,5575.00,5600.00,12116600,5424.747
2017-01-10,5625.00,5625.00,5550.00,5600.00,9258400,5424.747
2017-01-09,5650.00,5675.00,5550.00,5550.00,5590700,5376.312
2017-01-06,5600.00,5675.00,5575.00,5600.00,11663500,5424.747
2017-01-05,5650.00,5650.00,5550.00,5625.00,10540900,5448.965
2017-01-04,5500.00,5600.00,5475.00,5600.00,21406600,5424.747
2017-01-03,5525.00,5525.00,5450.00,5475.00,6710500,5303.659
2017-01-02,5525.00,5525.00,5525.00,5525.00,000,5352.094
2016-12-30,5500.00,5650.00,5450.00,5525.00,28427800,5352.094
2016-12-29,5375.00,5525.00,5375.00,5475.00,19411800,5303.659
2016-12-28,5250.00,5450.00,5250.00,5375.00,13783500,5206.789
2016-12-27,5200.00,5300.00,5200.00,5250.00,3934200,5085.701
2016-12-26,5250.00,5250.00,5250.00,5250.00,000,5085.701
2016-12-23,5275.00,5400.00,5225.00,5250.00,9146700,5085.701
2016-12-22,5425.00,5450.00,5275.00,5300.00,8044200,5134.136
2016-12-21,5450.00,5475.00,5350.00,5350.00,16047500,5182.571
2016-12-20,5500.00,5500.00,5350.00,5400.00,8613200,5231.006
2016-12-19,5425.00,5500.00,5375.00,5425.00,16237100,5255.224
2016-12-16,5500.00,5500.00,5350.00,5350.00,20732700,5182.571
2016-12-15,5400.00,5475.00,5350.00,5400.00,12414000,5231.006
2016-12-14,5550.00,5550.00,5450.00,5475.00,10630900,5303.659
2016-12-13,5400.00,5525.00,5400.00,5475.00,21177400,5303.659
2016-12-12,5475.00,5475.00,5475.00,5475.00,000,5303.659
2016-12-09,5500.00,5525.00,5400.00,5475.00,5435500,5303.659
2016-12-08,5375.00,5425.00,5350.00,5425.00,12393200,5255.224
2016-12-07,5350.00,5425.00,5325.00,5350.00,9967800,5182.571
2016-12-06,5400.00,5400.00,5325.00,5375.00,15421400,5206.789
2016-12-05,5275.00,5375.00,5275.00,5325.00,13521100,5158.353
2016-12-02,5300.00,5350.00,5250.00,5300.00,10152600,5134.136
2016-12-01,5200.00,5300.00,5200.00,5275.00,20271700,5109.918
2016-11-30,5150.00,5275.00,5125.00,5175.00,26160100,5013.048
2016-11-29,5075.00,5200.00,5075.00,5100.00,10763000,4940.395
2016-11-28,5025.00,5100.00,5025.00,5075.00,7859700,4916.177
2016-11-25,5000.00,5150.00,5000.00,5025.00,10259900,4867.742
2016-11-24,5100.00,5175.00,5000.00,5000.00,28693800,4843.524
2016-11-23,5200.00,5225.00,5100.00,5125.00,33734500,4964.613
2016-11-22,5200.00,5250.00,5150.00,5250.00,14508800,5085.701
2016-11-21,5300.00,5300.00,5200.00,5200.00,23031200,5037.265
2016-11-18,5300.00,5300.00,5200.00,5225.00,13810200,5061.483
2016-11-17,5225.00,5325.00,5200.00,5225.00,23881500,5061.483
2016-11-16,5075.00,5325.00,5075.00,5225.00,42752600,5061.483
2016-11-15,5125.00,5250.00,5000.00,5000.00,47330700,4843.524
2016-11-14,5050.00,5250.00,4810.00,5125.00,38602900,4964.613
2016-11-11,5450.00,5450.00,5025.00,5150.00,73671600,4988.83
2016-11-10,5625.00,5650.00,5550.00,5575.00,19672200,5400.53
2016-11-09,5700.00,5700.00,5400.00,5575.00,40124400,5400.53
2016-11-08,5625.00,5725.00,5575.00,5725.00,25386000,5545.835
2016-11-07,5550.00,5650.00,5500.00,5575.00,21125700,5400.53
2016-11-04,5400.00,5625.00,5400.00,5600.00,20033000,5424.747
2016-11-03,5475.00,5525.00,5450.00,5475.00,14272800,5303.659
2016-11-02,5525.00,5525.00,5425.00,5525.00,10426000,5352.094
2016-11-01,5600.00,5600.00,5500.00,5525.00,8436300,5352.094
2016-10-31,5550.00,5600.00,5525.00,5575.00,13679800,5400.53
2016-10-28,5525.00,5550.00,5500.00,5525.00,12597600,5352.094
2016-10-27,5475.00,5525.00,5400.00,5525.00,18363400,5352.094
2016-10-26,5475.00,5500.00,5425.00,5450.00,19854400,5279.442
2016-10-25,5450.00,5500.00,5400.00,5475.00,13459600,5303.659
2016-10-24,5425.00,5500.00,5425.00,5450.00,6452000,5279.442
2016-10-21,5425.00,5475.00,5425.00,5425.00,8486200,5255.224
2016-10-20,5450.00,5500.00,5425.00,5450.00,14011900,5279.442
2016-10-19,5425.00,5450.00,5375.00,5400.00,19366200,5231.006
2016-10-18,5475.00,5525.00,5375.00,5400.00,32238200,5231.006
2016-10-17,5450.00,5550.00,5425.00,5500.00,24388700,5327.877
2016-10-14,5425.00,5500.00,5350.00,5475.00,35603000,5303.659
2016-10-13,5200.00,5425.00,5150.00,5375.00,75763600,5206.789
2016-10-12,5175.00,5200.00,5150.00,5175.00,20311900,5013.048
2016-10-11,5300.00,5350.00,5150.00,5200.00,25475300,5037.265
2016-10-10,5325.00,5350.00,5275.00,5300.00,10648500,5134.136
2016-10-07,5400.00,5400.00,5250.00,5300.00,26482100,5134.136
2016-10-06,5525.00,5550.00,5350.00,5400.00,28814100,5231.006
2016-10-05,5550.00,5575.00,5450.00,5525.00,23204700,5352.094
2016-10-04,5575.00,5625.00,5500.00,5575.00,18860600,5400.53
2016-10-03,5600.00,5625.00,5550.00,5625.00,11813300,5448.965
2016-09-30,5600.00,5625.00,5500.00,5550.00,23008500,5376.312
2016-09-29,5675.00,5675.00,5575.00,5600.00,11245100,5424.747
2016-09-28,5600.00,5650.00,5550.00,5625.00,23485600,5448.965
2016-09-27,5475.00,5625.00,5425.00,5600.00,37857700,5424.747
2016-09-26,5575.00,5575.00,5500.00,5525.00,11389700,5352.094
2016-09-23,5525.00,5575.00,5450.00,5525.00,28010500,5352.094
2016-09-22,5550.00,5600.00,5450.00,5575.00,28392800,5400.53
2016-09-21,5400.00,5500.00,5375.00,5475.00,21619200,5303.659
2016-09-20,5325.00,5450.00,5325.00,5450.00,33487100,5279.442
2016-09-19,5525.00,5525.00,5300.00,5300.00,43002400,5134.136
2016-09-16,5575.00,5625.00,5425.00,5475.00,57565000,5303.659
2016-09-15,5450.00,5550.00,5350.00,5525.00,71316000,5352.094
