Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,2300.00,2420.00,2290.00,2320.00,14784400,2320.00
2017-01-31,2300.00,2330.00,2260.00,2300.00,8839400,2300.00
2017-01-30,2300.00,2360.00,2290.00,2300.00,6229700,2300.00
2017-01-27,2300.00,2340.00,2240.00,2300.00,5805900,2300.00
2017-01-26,2300.00,2380.00,2300.00,2300.00,5125000,2300.00
2017-01-25,2340.00,2350.00,2290.00,2300.00,5071000,2300.00
2017-01-24,2400.00,2400.00,2330.00,2330.00,10033300,2330.00
2017-01-23,2330.00,2470.00,2280.00,2400.00,23133900,2400.00
2017-01-20,2370.00,2390.00,2300.00,2330.00,8416300,2330.00
2017-01-19,2470.00,2490.00,2360.00,2380.00,10825800,2380.00
2017-01-18,2510.00,2560.00,2400.00,2470.00,18511400,2470.00
2017-01-17,2480.00,2620.00,2440.00,2510.00,12885100,2510.00
2017-01-16,2600.00,2630.00,2460.00,2480.00,11145900,2480.00
2017-01-13,2820.00,2840.00,2580.00,2600.00,14419000,2600.00
2017-01-12,2870.00,2900.00,2800.00,2810.00,8991200,2810.00
2017-01-11,2880.00,2930.00,2810.00,2870.00,10180500,2870.00
2017-01-10,2810.00,2960.00,2770.00,2880.00,24227100,2880.00
2017-01-09,2910.00,2960.00,2810.00,2810.00,8510500,2810.00
2017-01-06,2850.00,3000.00,2800.00,2910.00,15651700,2910.00
2017-01-05,3200.00,3210.00,2850.00,2850.00,41879200,2850.00
2017-01-04,3280.00,3330.00,3120.00,3170.00,25665300,3170.00
2017-01-03,3390.00,3400.00,3280.00,3280.00,6412200,3280.00
2017-01-02,3390.00,3390.00,3390.00,3390.00,000,3390.00
2016-12-30,3370.00,3420.00,3270.00,3390.00,37498900,3390.00
2016-12-29,3400.00,3440.00,3330.00,3350.00,14702500,3350.00
2016-12-28,3310.00,3460.00,3300.00,3400.00,42189700,3400.00
2016-12-27,3170.00,3390.00,3170.00,3300.00,35031400,3300.00
2016-12-26,3170.00,3170.00,3170.00,3170.00,000,3170.00
2016-12-23,3000.00,3220.00,2950.00,3170.00,51162800,3170.00
2016-12-22,3000.00,3160.00,2860.00,2980.00,19046200,2980.00
2016-12-21,3010.00,3240.00,2990.00,2990.00,29317200,2990.00
2016-12-20,3040.00,3510.00,2910.00,3010.00,359933300,3010.00
2016-12-19,2970.00,3280.00,2830.00,3040.00,70583800,3040.00
2016-12-16,2400.00,2970.00,2400.00,2950.00,142160100,2950.00
2016-12-15,2180.00,2520.00,2180.00,2400.00,96162600,2400.00
2016-12-14,2150.00,2370.00,2150.00,2200.00,82485500,2200.00
2016-12-13,2200.00,2360.00,2140.00,2150.00,52847000,2150.00
2016-12-12,2200.00,2200.00,2200.00,2200.00,000,2200.00
2016-12-09,2430.00,2440.00,2190.00,2200.00,67896800,2200.00
2016-12-08,2730.00,2730.00,2430.00,2430.00,100562100,2430.00
2016-12-07,2250.00,2760.00,2150.00,2700.00,101220500,2700.00
2016-12-06,1890.00,2260.00,1865.00,2250.00,68578600,2250.00
2016-12-05,1745.00,1910.00,1680.00,1890.00,53472700,1890.00
2016-12-02,1560.00,1750.00,1505.00,1745.00,39225800,1745.00
2016-12-01,1550.00,1580.00,1530.00,1550.00,6899700,1550.00
2016-11-30,1530.00,1550.00,1475.00,1550.00,14589200,1550.00
2016-11-29,1515.00,1515.00,1495.00,1505.00,6176600,1505.00
2016-11-28,1540.00,1540.00,1465.00,1515.00,2901700,1515.00
2016-11-25,1475.00,1545.00,1445.00,1540.00,17676700,1540.00
2016-11-24,1495.00,1495.00,1445.00,1450.00,1130900,1450.00
2016-11-23,1510.00,1520.00,1475.00,1495.00,1830000,1495.00
2016-11-22,1450.00,1510.00,1420.00,1500.00,7244300,1500.00
