Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,7000.00,7000.00,7000.00,7000.00,000,7000.00
2017-01-31,7000.00,7000.00,7000.00,7000.00,000,7000.00
2017-01-30,7000.00,7000.00,7000.00,7000.00,000,7000.00
2017-01-27,7000.00,7000.00,7000.00,7000.00,000,7000.00
2017-01-26,7000.00,7000.00,7000.00,7000.00,000,7000.00
2017-01-25,7000.00,7000.00,7000.00,7000.00,200,7000.00
2017-01-24,6275.00,7000.00,6275.00,7000.00,200,7000.00
2017-01-23,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-20,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-19,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-18,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-17,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-16,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-13,6200.00,6200.00,6200.00,6200.00,000,6200.00
2017-01-12,6350.00,6350.00,5200.00,6200.00,3300,6200.00
2017-01-11,5400.00,6350.00,5400.00,6350.00,100,6350.00
2017-01-10,5400.00,5400.00,5400.00,5400.00,000,5400.00
2017-01-09,5750.00,5750.00,5200.00,5400.00,12800,5400.00
2017-01-06,6000.00,6000.00,5750.00,5750.00,16800,5750.00
2017-01-05,5525.00,7100.00,5400.00,7100.00,21900,7100.00
2017-01-04,6000.00,6000.00,6000.00,6000.00,000,6000.00
2017-01-03,6000.00,6000.00,6000.00,6000.00,1000,6000.00
2017-01-02,6675.00,6675.00,6675.00,6675.00,000,6675.00
2016-12-30,6700.00,6700.00,6675.00,6675.00,11400,6675.00
2016-12-29,7400.00,7400.00,7400.00,7400.00,000,7400.00
2016-12-28,7400.00,7400.00,7400.00,7400.00,000,7400.00
2016-12-27,7400.00,7400.00,7400.00,7400.00,000,7400.00
2016-12-26,7400.00,7400.00,7400.00,7400.00,000,7400.00
2016-12-23,7400.00,7400.00,7400.00,7400.00,100,7400.00
2016-12-22,6500.00,6500.00,6500.00,6500.00,000,6500.00
2016-12-21,6750.00,6750.00,6500.00,6500.00,200,6500.00
2016-12-20,6750.00,6750.00,6750.00,6750.00,000,6750.00
2016-12-19,6750.00,6750.00,6750.00,6750.00,200,6750.00
2016-12-16,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-15,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-14,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-13,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-12,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-09,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-08,7500.00,7500.00,7500.00,7500.00,100,7500.00
2016-12-07,6300.00,6300.00,6300.00,6300.00,700,6300.00
2016-12-06,7000.00,7000.00,7000.00,7000.00,100,7000.00
2016-12-05,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-02,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-12-01,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-30,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-29,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-28,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-25,7500.00,7500.00,7500.00,7500.00,100,7500.00
2016-11-24,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-23,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-22,7500.00,7500.00,7500.00,7500.00,700,7500.00
2016-11-21,9000.00,8100.00,8100.00,8100.00,300,8100.00
2016-11-18,9000.00,9000.00,9000.00,9000.00,100,9000.00
2016-11-17,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-16,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-15,7500.00,7500.00,7500.00,7500.00,000,7500.00
2016-11-14,7500.00,7500.00,7500.00,7500.00,100,7500.00
2016-11-11,6750.00,6750.00,6750.00,6750.00,800,6750.00
2016-11-10,6275.00,7500.00,6275.00,7500.00,400,7500.00
2016-11-09,6950.00,6950.00,6950.00,6950.00,100,6950.00
2016-11-08,5500.00,5800.00,5300.00,5800.00,20200,5800.00
2016-11-07,5500.00,5500.00,5025.00,5025.00,100,5025.00
2016-11-04,5500.00,5500.00,5500.00,5500.00,000,5500.00
2016-11-03,5500.00,5500.00,5500.00,5500.00,000,5500.00
2016-11-02,5500.00,5500.00,5500.00,5500.00,000,5500.00
2016-11-01,5500.00,5500.00,5500.00,5500.00,000,5500.00
2016-10-31,5500.00,5500.00,5500.00,5500.00,000,5500.00
2016-10-28,5500.00,5500.00,5500.00,5500.00,000,5500.00
2016-10-27,5500.00,5500.00,5500.00,5500.00,200,5500.00
2016-10-26,5100.00,5250.00,5100.00,5200.00,700,5200.00
2016-10-25,5500.00,5575.00,5500.00,5575.00,300,5575.00
2016-10-24,6750.00,6750.00,6075.00,6075.00,2200,6075.00
2016-10-21,6750.00,6750.00,6750.00,6750.00,1300,6750.00
2016-10-20,7500.00,7500.00,7500.00,7500.00,200,7500.00
2016-10-19,7500.00,7500.00,7500.00,7500.00,100,7500.00
2016-10-18,7125.00,7125.00,7125.00,7125.00,4300,7125.00
2016-10-17,7900.00,7900.00,7900.00,7900.00,200,7900.00
2016-10-14,8775.00,8775.00,8775.00,8775.00,200,8775.00
