Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,128.00,129.00,127.00,127.00,31400,127.00
2017-01-31,128.00,133.00,128.00,128.00,12800,128.00
2017-01-30,128.00,134.00,127.00,128.00,124600,128.00
2017-01-27,127.00,130.00,127.00,128.00,61200,128.00
2017-01-26,127.00,127.00,127.00,127.00,102000,127.00
2017-01-25,125.00,127.00,125.00,127.00,25500,127.00
2017-01-24,129.00,129.00,123.00,128.00,136100,128.00
2017-01-23,121.00,132.00,121.00,128.00,107600,128.00
2017-01-20,121.00,121.00,121.00,121.00,30000,121.00
2017-01-19,130.00,133.00,125.00,133.00,80000,133.00
2017-01-18,131.00,132.00,128.00,130.00,384500,130.00
2017-01-17,123.00,134.00,123.00,131.00,74700,131.00
2017-01-16,124.00,124.00,122.00,123.00,31900,123.00
2017-01-13,122.00,124.00,122.00,124.00,38600,124.00
2017-01-12,125.00,125.00,121.00,122.00,22200,122.00
2017-01-11,125.00,125.00,121.00,125.00,10600,125.00
2017-01-10,125.00,127.00,125.00,125.00,2200,125.00
2017-01-09,124.00,127.00,120.00,125.00,3100,125.00
2017-01-06,127.00,127.00,124.00,124.00,2200,124.00
2017-01-05,124.00,126.00,124.00,126.00,9600,126.00
2017-01-04,124.00,126.00,120.00,125.00,15700,125.00
2017-01-03,124.00,124.00,124.00,124.00,1800,124.00
2017-01-02,126.00,126.00,126.00,126.00,000,126.00
2016-12-30,128.00,128.00,126.00,126.00,400,126.00
2016-12-29,130.00,130.00,115.00,124.00,40900,124.00
2016-12-28,138.00,138.00,120.00,121.00,22200,121.00
2016-12-27,127.00,130.00,120.00,128.00,29800,128.00
2016-12-26,127.00,127.00,127.00,127.00,000,127.00
2016-12-23,116.00,127.00,116.00,127.00,44400,127.00
2016-12-22,126.00,126.00,125.00,126.00,23100,126.00
2016-12-21,124.00,125.00,124.00,124.00,2400,124.00
2016-12-20,124.00,125.00,124.00,124.00,28700,124.00
2016-12-19,125.00,129.00,124.00,124.00,14400,124.00
2016-12-16,125.00,131.00,125.00,125.00,573400,125.00
2016-12-15,125.00,127.00,125.00,125.00,14500,125.00
2016-12-14,125.00,125.00,125.00,125.00,10000,125.00
2016-12-13,128.00,128.00,126.00,128.00,63800,128.00
2016-12-12,128.00,128.00,128.00,128.00,000,128.00
2016-12-09,131.00,131.00,126.00,128.00,115800,128.00
2016-12-08,123.00,127.00,123.00,127.00,5000,127.00
2016-12-07,125.00,128.00,124.00,128.00,29300,128.00
2016-12-06,127.00,127.00,126.00,127.00,19800,127.00
2016-12-05,130.00,130.00,125.00,126.00,11400,126.00
