Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,10.25,11.00,9.75,9.88,1900,79.00
2017-01-31,10.25,10.62,9.62,10.25,4040869600,82.00
2017-01-30,8.75,10.38,8.75,10.12,72234000,81.00
2017-01-27,8.25,9.00,8.25,8.75,1895252000,70.00
2017-01-26,8.62,8.88,8.12,8.25,1400,66.00
2017-01-25,9.25,9.25,8.00,8.62,583652600,69.00
2017-01-24,6.88,8.38,6.75,8.25,5616708400,66.00
2017-01-23,6.25,7.00,6.25,6.75,3872536400,54.00
2017-01-20,6.25,6.50,6.25,6.25,2018370000,50.00
2017-01-19,6.25,6.25,6.25,6.25,1363500,50.00
2017-01-18,6.25,6.25,6.25,6.25,112800,50.00
2017-01-17,6.25,6.25,6.25,6.25,735200,50.00
2017-01-16,6.25,6.25,6.25,6.25,516200,50.00
2017-01-13,6.25,6.25,6.25,6.25,1330700,50.00
2017-01-12,6.25,6.25,6.25,6.25,7053500,50.00
2017-01-11,6.25,6.25,6.25,6.25,501100,50.00
2017-01-10,6.25,6.25,6.25,6.25,313300,50.00
2017-01-09,6.25,6.25,6.25,6.25,629600,50.00
2017-01-06,6.25,6.25,6.25,6.25,3514100,50.00
2017-01-05,6.25,6.25,6.25,6.25,3178800,50.00
2017-01-04,6.25,6.25,6.25,6.25,1500,50.00
2017-01-03,6.25,6.25,6.25,6.25,504700,50.00
2017-01-02,6.25,6.25,6.25,6.25,000,50.00
2016-12-30,6.25,6.25,6.25,6.25,78900,50.00
2016-12-29,6.25,6.25,6.25,6.25,172800,50.00
2016-12-28,6.25,6.25,6.25,6.25,12100,50.00
2016-12-27,6.25,6.25,6.25,6.25,5940000,50.00
2016-12-26,6.25,6.25,6.25,6.25,000,50.00
2016-12-23,6.25,6.25,6.25,6.25,116300,50.00
2016-12-22,6.25,6.25,6.25,6.25,463600,50.00
2016-12-21,6.25,6.25,6.25,6.25,367700,50.00
2016-12-20,6.25,6.25,6.25,6.25,11900,50.00
2016-12-19,6.25,6.25,6.25,6.25,173600,50.00
2016-12-16,6.25,6.25,6.25,6.25,28700,50.00
2016-12-15,6.25,6.25,6.25,6.25,23300,50.00
2016-12-14,6.25,6.25,6.25,6.25,1487100,50.00
2016-12-13,6.25,6.25,6.25,6.25,1338700,50.00
2016-12-12,6.25,6.25,6.25,6.25,000,50.00
2016-12-09,6.25,6.25,6.25,6.25,227400,50.00
2016-12-08,6.25,6.25,6.25,6.25,344200,50.00
2016-12-07,6.25,6.25,6.25,6.25,1456200,50.00
2016-12-06,6.25,6.25,6.25,6.25,339100,50.00
2016-12-05,6.25,6.25,6.25,6.25,9832300,50.00
2016-12-02,6.25,6.25,6.25,6.25,15404000,50.00
2016-12-01,6.25,6.38,6.25,6.25,559317600,50.00
2016-11-30,6.25,6.25,6.25,6.25,36600,50.00
2016-11-29,6.25,6.25,6.25,6.25,1042600,50.00
2016-11-28,6.25,6.25,6.25,6.25,2083300,50.00
2016-11-25,6.25,6.25,6.25,6.25,135100,50.00
