Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,170.00,170.00,170.00,170.00,000,170.00
2017-01-31,170.00,170.00,170.00,170.00,000,170.00
2017-01-30,170.00,170.00,170.00,170.00,000,170.00
2017-01-27,170.00,170.00,170.00,170.00,000,170.00
2017-01-26,170.00,170.00,170.00,170.00,000,170.00
2017-01-25,170.00,170.00,170.00,170.00,000,170.00
2017-01-24,170.00,170.00,170.00,170.00,000,170.00
2017-01-23,170.00,170.00,170.00,170.00,000,170.00
2017-01-20,170.00,170.00,170.00,170.00,000,170.00
2017-01-19,160.00,170.00,160.00,170.00,11500,170.00
2017-01-18,160.00,160.00,160.00,160.00,000,160.00
2017-01-17,157.00,160.00,157.00,160.00,2000,160.00
2017-01-16,157.00,157.00,157.00,157.00,000,157.00
2017-01-13,158.00,158.00,157.00,157.00,8000,157.00
2017-01-12,166.00,166.00,140.00,157.00,16000,157.00
2017-01-11,166.00,166.00,166.00,166.00,000,166.00
2017-01-10,166.00,166.00,166.00,166.00,000,166.00
2017-01-09,167.00,167.00,166.00,166.00,1500,166.00
2017-01-06,166.00,167.00,166.00,167.00,6900,167.00
2017-01-05,166.00,166.00,166.00,166.00,000,166.00
2017-01-04,165.00,166.00,165.00,166.00,500,166.00
2017-01-03,165.00,165.00,165.00,165.00,200,165.00
2017-01-02,165.00,165.00,165.00,165.00,000,165.00
2016-12-30,165.00,165.00,165.00,165.00,000,165.00
2016-12-29,190.00,190.00,165.00,165.00,48000,165.00
2016-12-28,188.00,188.00,166.00,182.00,11600,182.00
2016-12-27,184.00,184.00,184.00,184.00,000,184.00
2016-12-26,184.00,184.00,184.00,184.00,000,184.00
2016-12-23,184.00,184.00,184.00,184.00,17500,184.00
2016-12-22,193.00,193.00,188.00,188.00,300,188.00
2016-12-21,188.00,197.00,170.00,185.00,2600,185.00
2016-12-20,174.00,191.00,174.00,188.00,500,188.00
2016-12-19,193.00,193.00,174.00,174.00,1100,174.00
2016-12-16,204.00,204.00,184.00,184.00,700,184.00
2016-12-15,204.00,204.00,204.00,204.00,100,204.00
2016-12-14,197.00,197.00,197.00,197.00,100,197.00
2016-12-13,197.00,197.00,197.00,197.00,100,197.00
2016-12-12,197.00,197.00,197.00,197.00,000,197.00
2016-12-09,197.00,197.00,197.00,197.00,100,197.00
2016-12-08,167.00,187.00,167.00,187.00,45900,187.00
2016-12-07,200.00,200.00,166.00,166.00,10400,166.00
2016-12-06,170.00,170.00,170.00,170.00,3800,170.00
2016-12-05,175.00,175.00,170.00,170.00,50200,170.00
2016-12-02,199.00,199.00,182.00,185.00,62700,185.00
2016-12-01,182.00,199.00,165.00,199.00,26900,199.00
2016-11-30,202.00,202.00,182.00,182.00,15300,182.00
2016-11-29,202.00,202.00,202.00,202.00,100,202.00
2016-11-28,200.00,202.00,195.00,195.00,200,195.00
