Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,190.00,190.00,190.00,190.00,000,190.00
2017-01-31,190.00,190.00,190.00,190.00,1800,190.00
2017-01-30,232.00,232.00,220.00,220.00,8000,220.00
2017-01-27,270.00,270.00,270.00,270.00,000,270.00
2017-01-26,270.00,270.00,270.00,270.00,000,270.00
2017-01-25,280.00,280.00,270.00,270.00,500,270.00
2017-01-24,260.00,260.00,260.00,260.00,000,260.00
2017-01-23,210.00,260.00,210.00,260.00,100,260.00
2017-01-20,210.00,210.00,210.00,210.00,100,210.00
2017-01-19,220.00,220.00,220.00,220.00,000,220.00
2017-01-18,230.00,230.00,186.00,220.00,200,220.00
2017-01-17,230.00,230.00,230.00,230.00,000,230.00
2017-01-16,230.00,230.00,230.00,230.00,000,230.00
2017-01-13,282.00,282.00,190.00,230.00,5400,230.00
2017-01-12,200.00,228.00,200.00,228.00,400,228.00
2017-01-11,181.00,200.00,181.00,200.00,3000,200.00
2017-01-10,181.00,181.00,181.00,181.00,100,181.00
2017-01-09,190.00,202.00,181.00,181.00,300,181.00
2017-01-06,240.00,260.00,170.00,190.00,10300,190.00
2017-01-05,220.00,240.00,220.00,220.00,3300,220.00
2017-01-04,268.00,268.00,204.00,222.00,4300,222.00
2017-01-03,252.00,268.00,252.00,268.00,200,268.00
2017-01-02,252.00,252.00,252.00,252.00,000,252.00
2016-12-30,254.00,260.00,252.00,252.00,7700,252.00
2016-12-29,278.00,290.00,278.00,278.00,6500,278.00
2016-12-28,278.00,278.00,278.00,278.00,000,278.00
2016-12-27,258.00,278.00,258.00,278.00,200,278.00
2016-12-26,258.00,258.00,258.00,258.00,000,258.00
2016-12-23,264.00,284.00,258.00,258.00,600,258.00
2016-12-22,264.00,264.00,264.00,264.00,100,264.00
2016-12-21,288.00,298.00,288.00,292.00,200,292.00
2016-12-20,288.00,288.00,288.00,288.00,000,288.00
2016-12-19,288.00,288.00,288.00,288.00,000,288.00
2016-12-16,288.00,288.00,288.00,288.00,000,288.00
2016-12-15,288.00,288.00,288.00,288.00,000,288.00
2016-12-14,310.00,314.00,288.00,288.00,6200,288.00
2016-12-13,272.00,318.00,272.00,318.00,400,318.00
2016-12-12,272.00,272.00,272.00,272.00,000,272.00
2016-12-09,288.00,288.00,272.00,272.00,5100,272.00
2016-12-08,268.00,268.00,224.00,268.00,6800,268.00
2016-12-07,274.00,274.00,248.00,248.00,5300,248.00
2016-12-06,274.00,274.00,274.00,274.00,300,274.00
2016-12-05,264.00,264.00,264.00,264.00,100,264.00
2016-12-02,290.00,290.00,244.00,264.00,20500,264.00
2016-12-01,244.00,270.00,220.00,270.00,6600,270.00
2016-11-30,270.00,270.00,244.00,244.00,2700,244.00
2016-11-29,270.00,270.00,270.00,270.00,000,270.00
2016-11-28,246.00,270.00,246.00,270.00,100,270.00
2016-11-25,270.00,270.00,226.00,246.00,16300,246.00
2016-11-24,250.00,286.00,226.00,250.00,1000,250.00
2016-11-23,284.00,284.00,246.00,246.00,400,246.00
2016-11-22,280.00,280.00,234.00,272.00,2300,272.00
2016-11-21,260.00,260.00,260.00,260.00,000,260.00
2016-11-18,260.00,260.00,260.00,260.00,100,260.00
2016-11-17,306.00,306.00,288.00,288.00,1300,288.00
2016-11-16,272.00,340.00,260.00,320.00,2000,320.00
2016-11-15,272.00,272.00,272.00,272.00,100,272.00
2016-11-14,238.00,272.00,238.00,270.00,7300,270.00
2016-11-11,186.00,234.00,186.00,220.00,10000,220.00
2016-11-10,174.00,176.00,174.00,176.00,200,176.00
2016-11-09,165.00,165.00,165.00,165.00,000,165.00
2016-11-08,165.00,165.00,165.00,165.00,000,165.00
2016-11-07,165.00,165.00,165.00,165.00,000,165.00
2016-11-04,165.00,165.00,165.00,165.00,000,165.00
2016-11-03,165.00,165.00,165.00,165.00,000,165.00
2016-11-02,165.00,165.00,165.00,165.00,000,165.00
2016-11-01,175.00,175.00,165.00,165.00,100,165.00
2016-10-31,179.00,179.00,170.00,175.00,400,175.00
2016-10-28,185.00,185.00,185.00,185.00,500,185.00
2016-10-27,170.00,170.00,162.00,170.00,4400,170.00
2016-10-26,260.00,260.00,179.00,179.00,18700,179.00
2016-10-25,195.00,195.00,195.00,195.00,2600,195.00
2016-10-24,234.00,286.00,214.00,214.00,400,214.00
2016-10-21,286.00,286.00,234.00,234.00,400,234.00
2016-10-20,258.00,258.00,256.00,256.00,200,256.00
2016-10-19,284.00,284.00,284.00,284.00,100,284.00
2016-10-18,272.00,272.00,272.00,272.00,000,272.00
2016-10-17,250.00,272.00,250.00,272.00,200,272.00
2016-10-14,256.00,256.00,256.00,256.00,100,256.00
2016-10-13,284.00,284.00,284.00,284.00,100,284.00
2016-10-12,284.00,284.00,234.00,254.00,2400,254.00
2016-10-11,284.00,284.00,256.00,256.00,100,256.00
2016-10-10,290.00,290.00,262.00,284.00,600,284.00
2016-10-07,290.00,290.00,290.00,290.00,000,290.00
2016-10-06,290.00,290.00,290.00,290.00,000,290.00
2016-10-05,290.00,290.00,290.00,290.00,000,290.00
2016-10-04,290.00,290.00,290.00,290.00,000,290.00
2016-10-03,290.00,290.00,290.00,290.00,100,290.00
2016-09-30,290.00,290.00,276.00,276.00,200,276.00
2016-09-29,290.00,290.00,290.00,290.00,100,290.00
2016-09-28,270.00,270.00,270.00,270.00,100,270.00
2016-09-27,199.00,258.00,199.00,258.00,100,258.00
2016-09-26,199.00,199.00,199.00,199.00,100,199.00
