Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,785.00,785.00,785.00,785.00,10000,785.00
2017-01-31,785.00,785.00,785.00,785.00,15000,785.00
2017-01-30,785.00,790.00,785.00,790.00,15100,790.00
2017-01-27,785.00,785.00,785.00,785.00,15000,785.00
2017-01-26,780.00,785.00,780.00,785.00,12000,785.00
2017-01-25,780.00,780.00,780.00,780.00,24500,780.00
2017-01-24,780.00,780.00,775.00,775.00,13000,775.00
2017-01-23,780.00,780.00,780.00,780.00,16500,780.00
2017-01-20,770.00,780.00,770.00,780.00,34100,780.00
2017-01-19,785.00,785.00,770.00,770.00,15100,770.00
2017-01-18,780.00,785.00,780.00,785.00,21800,785.00
2017-01-17,775.00,780.00,775.00,780.00,20000,780.00
2017-01-16,780.00,780.00,775.00,775.00,15100,775.00
2017-01-13,775.00,780.00,775.00,780.00,19000,780.00
2017-01-12,775.00,775.00,775.00,775.00,15000,775.00
2017-01-11,775.00,775.00,775.00,775.00,20300,775.00
2017-01-10,790.00,790.00,770.00,775.00,18200,775.00
2017-01-09,780.00,790.00,780.00,790.00,35200,790.00
2017-01-06,780.00,780.00,780.00,780.00,10300,780.00
2017-01-05,760.00,780.00,760.00,780.00,33000,780.00
2017-01-04,770.00,770.00,770.00,770.00,15000,770.00
2017-01-03,770.00,770.00,770.00,770.00,10000,770.00
2017-01-02,770.00,770.00,770.00,770.00,000,770.00
2016-12-30,750.00,770.00,750.00,770.00,23300,770.00
2016-12-29,750.00,755.00,750.00,755.00,19900,755.00
2016-12-28,745.00,760.00,745.00,750.00,55600,750.00
2016-12-27,735.00,745.00,735.00,745.00,45000,745.00
2016-12-26,735.00,735.00,735.00,735.00,000,735.00
2016-12-23,735.00,735.00,735.00,735.00,20000,735.00
2016-12-22,735.00,735.00,735.00,735.00,10900,735.00
2016-12-21,735.00,735.00,735.00,735.00,15000,735.00
2016-12-20,735.00,735.00,735.00,735.00,15000,735.00
2016-12-19,730.00,735.00,730.00,735.00,20100,735.00
2016-12-16,730.00,730.00,680.00,730.00,14300,730.00
2016-12-15,730.00,735.00,670.00,730.00,32600,730.00
2016-12-14,740.00,740.00,700.00,740.00,22400,740.00
2016-12-13,750.00,750.00,740.00,740.00,30200,740.00
2016-12-12,750.00,750.00,750.00,750.00,000,750.00
2016-12-09,730.00,750.00,730.00,750.00,75000,750.00
2016-12-08,730.00,730.00,730.00,730.00,12500,730.00
2016-12-07,730.00,730.00,730.00,730.00,20000,730.00
2016-12-06,725.00,730.00,725.00,730.00,31900,730.00
2016-12-05,725.00,725.00,725.00,725.00,25000,725.00
2016-12-02,730.00,730.00,725.00,725.00,41400,725.00
2016-12-01,700.00,735.00,700.00,730.00,40600,730.00
2016-11-30,735.00,735.00,700.00,700.00,20600,700.00
2016-11-29,740.00,745.00,740.00,745.00,20000,745.00
2016-11-28,745.00,745.00,740.00,740.00,24000,740.00
2016-11-25,735.00,745.00,730.00,745.00,43600,745.00
2016-11-24,740.00,740.00,735.00,735.00,30000,735.00
2016-11-23,745.00,745.00,740.00,740.00,29000,740.00
2016-11-22,735.00,745.00,735.00,745.00,45800,745.00
2016-11-21,740.00,740.00,735.00,735.00,35100,735.00
2016-11-18,750.00,750.00,720.00,740.00,30700,740.00
2016-11-17,750.00,750.00,750.00,750.00,10000,750.00
2016-11-16,745.00,750.00,745.00,750.00,35000,750.00
2016-11-15,740.00,745.00,740.00,745.00,30500,745.00
2016-11-14,745.00,745.00,740.00,740.00,20000,740.00
2016-11-11,745.00,745.00,745.00,745.00,30000,745.00
2016-11-10,745.00,750.00,745.00,750.00,26000,750.00
2016-11-09,745.00,745.00,745.00,745.00,20000,745.00
2016-11-08,745.00,750.00,745.00,750.00,12800,750.00
2016-11-07,735.00,745.00,735.00,745.00,15600,745.00
2016-11-04,735.00,735.00,735.00,735.00,15200,735.00
2016-11-03,740.00,740.00,735.00,735.00,21400,735.00
2016-11-02,745.00,745.00,740.00,740.00,12500,740.00
2016-11-01,740.00,745.00,740.00,745.00,25000,745.00
2016-10-31,740.00,740.00,740.00,740.00,15000,740.00
2016-10-28,750.00,750.00,750.00,750.00,13500,750.00
2016-10-27,750.00,750.00,750.00,750.00,5500,750.00
2016-10-26,735.00,750.00,700.00,750.00,56900,750.00
2016-10-25,745.00,745.00,735.00,735.00,32600,735.00
2016-10-24,745.00,745.00,740.00,745.00,52600,745.00
2016-10-21,745.00,745.00,745.00,745.00,30300,745.00
2016-10-20,745.00,745.00,745.00,745.00,63800,745.00
2016-10-19,745.00,745.00,745.00,745.00,73400,745.00
2016-10-18,745.00,745.00,745.00,745.00,20000,745.00
2016-10-17,745.00,745.00,745.00,745.00,6600,745.00
2016-10-14,750.00,750.00,750.00,750.00,000,750.00
2016-10-13,750.00,750.00,750.00,750.00,137700,750.00
2016-10-12,740.00,750.00,735.00,750.00,423700,750.00
2016-10-11,740.00,750.00,740.00,745.00,657100,745.00
2016-10-10,745.00,750.00,740.00,740.00,646200,740.00
2016-10-07,745.00,745.00,745.00,745.00,000,745.00
2016-10-06,740.00,745.00,740.00,745.00,536200,745.00
2016-10-05,740.00,750.00,740.00,750.00,500000,750.00
2016-10-04,750.00,750.00,750.00,750.00,50000,750.00
2016-10-03,745.00,750.00,730.00,750.00,114900,750.00
2016-09-30,745.00,745.00,715.00,745.00,54100,745.00
2016-09-29,740.00,745.00,735.00,745.00,152100,745.00
2016-09-28,740.00,740.00,725.00,740.00,152700,740.00
2016-09-27,720.00,735.00,720.00,735.00,238000,735.00
2016-09-26,730.00,730.00,720.00,720.00,112300,720.00
2016-09-23,735.00,735.00,730.00,735.00,200900,735.00
2016-09-22,730.00,730.00,730.00,730.00,100000,730.00
2016-09-21,730.00,730.00,730.00,730.00,000,730.00
2016-09-20,730.00,730.00,730.00,730.00,000,730.00
2016-09-19,730.00,730.00,730.00,730.00,100,730.00
2016-09-16,745.00,745.00,730.00,730.00,170000,730.00
2016-09-15,735.00,745.00,735.00,745.00,300000,745.00
2016-09-14,745.00,745.00,745.00,745.00,11300,745.00
2016-09-13,740.00,740.00,735.00,740.00,262300,740.00
2016-09-12,745.00,745.00,745.00,745.00,000,745.00
2016-09-09,735.00,745.00,735.00,745.00,371400,745.00
2016-09-08,745.00,745.00,740.00,745.00,250000,745.00
2016-09-07,740.00,745.00,740.00,745.00,219400,745.00
2016-09-06,740.00,745.00,740.00,745.00,170000,745.00
2016-09-05,735.00,740.00,735.00,740.00,23700,740.00
2016-09-02,735.00,735.00,735.00,735.00,73000,735.00
2016-09-01,735.00,740.00,735.00,740.00,12000,740.00
2016-08-31,740.00,740.00,735.00,735.00,1300,735.00
2016-08-30,740.00,740.00,735.00,740.00,211300,740.00
2016-08-29,735.00,740.00,735.00,740.00,12000,740.00
2016-08-26,735.00,735.00,735.00,735.00,102000,735.00
2016-08-25,735.00,735.00,730.00,730.00,112500,730.00
2016-08-24,730.00,730.00,730.00,730.00,11300,730.00
2016-08-23,730.00,735.00,730.00,730.00,110800,730.00
2016-08-22,740.00,740.00,730.00,740.00,170500,740.00
2016-08-19,740.00,745.00,735.00,740.00,160300,740.00
2016-08-18,740.00,745.00,735.00,740.00,159200,740.00
2016-08-17,740.00,740.00,740.00,740.00,000,740.00
2016-08-16,740.00,740.00,740.00,740.00,11300,740.00
2016-08-15,750.00,750.00,740.00,740.00,155300,740.00
2016-08-12,730.00,750.00,730.00,750.00,298300,750.00
2016-08-11,735.00,740.00,730.00,740.00,104300,740.00
2016-08-10,735.00,735.00,735.00,735.00,11700,735.00
2016-08-09,730.00,735.00,720.00,735.00,91700,735.00
2016-08-08,730.00,735.00,725.00,725.00,51700,725.00
2016-08-05,740.00,740.00,735.00,735.00,12500,735.00
2016-08-04,735.00,735.00,730.00,735.00,23700,735.00
2016-08-03,735.00,735.00,730.00,730.00,114800,730.00
2016-08-02,740.00,740.00,735.00,735.00,30000,735.00
2016-08-01,740.00,740.00,735.00,740.00,82900,740.00
2016-07-29,740.00,740.00,740.00,740.00,000,740.00
2016-07-28,740.00,740.00,725.00,740.00,121000,740.00
2016-07-27,740.00,740.00,740.00,740.00,11400,740.00
2016-07-26,740.00,740.00,735.00,735.00,55900,735.00
2016-07-25,740.00,740.00,740.00,740.00,41300,740.00
2016-07-22,745.00,745.00,740.00,740.00,24300,740.00
2016-07-21,740.00,745.00,740.00,745.00,23500,745.00
2016-07-20,740.00,740.00,735.00,740.00,34100,740.00
2016-07-19,730.00,735.00,730.00,735.00,23700,735.00
2016-07-18,720.00,725.00,715.00,725.00,31200,725.00
2016-07-15,750.00,755.00,675.00,700.00,47100,700.00
2016-07-14,750.00,755.00,750.00,750.00,28300,750.00
2016-07-13,755.00,760.00,755.00,755.00,26300,755.00
2016-07-12,760.00,760.00,755.00,755.00,10500,755.00
2016-07-11,760.00,760.00,760.00,760.00,11300,760.00
2016-07-08,755.00,755.00,755.00,755.00,000,755.00
2016-07-07,755.00,755.00,755.00,755.00,000,755.00
2016-07-06,755.00,755.00,755.00,755.00,000,755.00
2016-07-05,755.00,755.00,755.00,755.00,000,755.00
2016-07-04,755.00,755.00,755.00,755.00,000,755.00
2016-07-01,745.00,755.00,740.00,755.00,47000,755.00
2016-06-30,745.00,745.00,740.00,745.00,20000,745.00
2016-06-28,750.00,750.00,745.00,745.00,2500,745.00
2016-06-27,755.00,755.00,750.00,750.00,1300,750.00
2016-06-24,765.00,765.00,760.00,760.00,1300,760.00
2016-06-23,760.00,765.00,760.00,765.00,1500,765.00
2016-06-22,760.00,760.00,760.00,760.00,000,760.00
2016-06-21,760.00,760.00,760.00,760.00,000,760.00
2016-06-20,760.00,760.00,760.00,760.00,000,760.00
2016-06-17,755.00,760.00,755.00,760.00,3200,760.00
2016-06-16,745.00,760.00,740.00,750.00,12000,750.00
2016-06-15,750.00,750.00,745.00,745.00,3000,745.00
2016-06-14,745.00,755.00,740.00,750.00,8900,750.00
2016-06-13,745.00,745.00,745.00,745.00,000,745.00
2016-06-10,750.00,750.00,745.00,745.00,3200,745.00
2016-06-09,755.00,755.00,755.00,755.00,000,755.00
2016-06-08,750.00,755.00,740.00,755.00,11000,755.00
2016-06-07,740.00,750.00,740.00,750.00,4200,750.00
2016-06-06,740.00,740.00,740.00,740.00,500,740.00
2016-06-03,755.00,755.00,745.00,745.00,4800,745.00
2016-06-02,740.00,755.00,740.00,755.00,5900,755.00
2016-06-01,750.00,750.00,740.00,740.00,5700,740.00
2016-05-31,745.00,755.00,745.00,750.00,5700,750.00
2016-05-30,745.00,750.00,740.00,745.00,6900,745.00
2016-05-27,750.00,750.00,745.00,745.00,3200,745.00
2016-05-26,745.00,760.00,745.00,755.00,5600,755.00
2016-05-25,750.00,750.00,745.00,745.00,3200,745.00
2016-05-24,750.00,750.00,750.00,750.00,000,750.00
2016-05-23,745.00,750.00,745.00,750.00,2900,750.00
2016-05-20,750.00,750.00,745.00,745.00,3200,745.00
2016-05-19,750.00,750.00,750.00,750.00,2600,750.00
2016-05-18,750.00,755.00,750.00,750.00,3900,750.00
2016-05-17,745.00,750.00,745.00,750.00,3600,750.00
2016-05-16,750.00,750.00,740.00,740.00,3300,740.00
2016-05-13,745.00,750.00,745.00,750.00,1700,750.00
2016-05-12,750.00,750.00,745.00,745.00,2200,745.00
2016-05-11,755.00,755.00,740.00,755.00,5000,755.00
2016-05-10,735.00,740.00,730.00,740.00,2800,740.00
2016-05-09,735.00,745.00,735.00,735.00,5300,735.00
2016-05-06,730.00,730.00,730.00,730.00,000,730.00
2016-05-05,730.00,730.00,730.00,730.00,000,730.00
2016-05-04,740.00,740.00,730.00,730.00,3900,730.00
2016-05-03,740.00,745.00,740.00,740.00,1500,740.00
2016-05-02,730.00,740.00,730.00,740.00,2900,740.00
2016-04-29,740.00,740.00,730.00,730.00,3900,730.00
2016-04-28,745.00,745.00,735.00,745.00,7500,745.00
2016-04-27,745.00,750.00,730.00,745.00,13600,745.00
