Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,310.00,310.00,310.00,310.00,000,310.00
2017-01-31,310.00,310.00,310.00,310.00,000,310.00
2017-01-30,310.00,310.00,310.00,310.00,000,310.00
2017-01-27,310.00,310.00,310.00,310.00,000,310.00
2017-01-26,308.00,312.00,302.00,310.00,800,310.00
2017-01-25,312.00,312.00,300.00,308.00,48500,308.00
2017-01-24,312.00,312.00,312.00,312.00,200,312.00
2017-01-23,312.00,312.00,312.00,312.00,800,312.00
2017-01-20,312.00,312.00,312.00,312.00,200,312.00
2017-01-19,312.00,312.00,312.00,312.00,000,312.00
2017-01-18,306.00,312.00,306.00,312.00,100,312.00
2017-01-17,312.00,312.00,306.00,306.00,56600,306.00
2017-01-16,312.00,312.00,312.00,312.00,000,312.00
2017-01-13,312.00,312.00,312.00,312.00,000,312.00
2017-01-12,312.00,312.00,312.00,312.00,000,312.00
2017-01-11,312.00,312.00,312.00,312.00,000,312.00
2017-01-10,312.00,312.00,312.00,312.00,300,312.00
2017-01-09,308.00,312.00,300.00,312.00,6900,312.00
2017-01-06,306.00,308.00,300.00,308.00,16300,308.00
2017-01-05,304.00,306.00,304.00,304.00,14100,304.00
2017-01-04,310.00,312.00,304.00,304.00,15400,304.00
2017-01-03,306.00,310.00,306.00,310.00,33300,310.00
2017-01-02,306.00,306.00,306.00,306.00,000,306.00
2016-12-30,306.00,306.00,306.00,306.00,000,306.00
2016-12-29,292.00,306.00,292.00,306.00,300,306.00
2016-12-28,306.00,306.00,306.00,306.00,000,306.00
2016-12-27,306.00,306.00,306.00,306.00,5000,306.00
2016-12-26,304.00,304.00,304.00,304.00,000,304.00
2016-12-23,296.00,304.00,296.00,304.00,200,304.00
2016-12-22,296.00,304.00,292.00,304.00,1100,304.00
2016-12-21,306.00,306.00,306.00,306.00,000,306.00
2016-12-20,306.00,306.00,300.00,306.00,35100,306.00
2016-12-19,306.00,306.00,306.00,306.00,200,306.00
2016-12-16,306.00,306.00,306.00,306.00,100,306.00
2016-12-15,292.00,306.00,292.00,306.00,200,306.00
2016-12-14,306.00,306.00,306.00,306.00,100,306.00
2016-12-13,306.00,306.00,300.00,304.00,40300,304.00
2016-12-12,306.00,306.00,306.00,306.00,000,306.00
2016-12-09,300.00,306.00,300.00,306.00,10100,306.00
2016-12-08,306.00,306.00,306.00,306.00,10000,306.00
2016-12-07,306.00,306.00,306.00,306.00,000,306.00
2016-12-06,308.00,308.00,306.00,306.00,70100,306.00
2016-12-05,304.00,306.00,302.00,302.00,26000,302.00
2016-12-02,300.00,304.00,300.00,304.00,1100,304.00
2016-12-01,306.00,306.00,306.00,306.00,1000,306.00
2016-11-30,306.00,306.00,306.00,306.00,000,306.00
2016-11-29,306.00,306.00,306.00,306.00,000,306.00
2016-11-28,304.00,306.00,302.00,306.00,20200,306.00
2016-11-25,294.00,304.00,294.00,304.00,400,304.00
2016-11-24,294.00,306.00,294.00,306.00,1600,306.00
2016-11-23,292.00,308.00,292.00,308.00,500,308.00
2016-11-22,308.00,310.00,306.00,306.00,50500,306.00
2016-11-21,284.00,300.00,300.00,300.00,10100,300.00
2016-11-18,290.00,290.00,284.00,284.00,29900,284.00
2016-11-17,308.00,308.00,300.00,300.00,200,300.00
2016-11-16,280.00,300.00,280.00,300.00,100,300.00
2016-11-15,292.00,292.00,280.00,280.00,30000,280.00
2016-11-14,308.00,308.00,308.00,308.00,3200,308.00
2016-11-11,298.00,306.00,298.00,306.00,1100,306.00
2016-11-10,308.00,308.00,308.00,308.00,000,308.00
2016-11-09,308.00,308.00,308.00,308.00,000,308.00
2016-11-08,300.00,308.00,300.00,308.00,91000,308.00
2016-11-07,314.00,314.00,314.00,314.00,000,314.00
2016-11-04,302.00,314.00,302.00,314.00,100,314.00
2016-11-03,302.00,302.00,302.00,302.00,000,302.00
2016-11-02,302.00,302.00,302.00,302.00,000,302.00
2016-11-01,304.00,306.00,298.00,302.00,48400,302.00
2016-10-31,302.00,304.00,302.00,304.00,12300,304.00
2016-10-28,302.00,304.00,300.00,304.00,215100,304.00
2016-10-27,302.00,304.00,300.00,304.00,325400,304.00
2016-10-26,302.00,302.00,302.00,302.00,3000,302.00
2016-10-25,302.00,302.00,302.00,302.00,100,302.00
2016-10-24,302.00,320.00,300.00,320.00,236600,320.00
2016-10-21,300.00,302.00,300.00,302.00,33000,302.00
2016-10-20,300.00,308.00,300.00,302.00,696100,302.00
2016-10-19,300.00,304.00,300.00,304.00,10600,304.00
2016-10-18,310.00,310.00,310.00,310.00,100,310.00
2016-10-17,308.00,308.00,300.00,300.00,34100,300.00
2016-10-14,304.00,304.00,304.00,304.00,000,304.00
2016-10-13,300.00,304.00,300.00,304.00,20100,304.00
2016-10-12,310.00,310.00,310.00,310.00,100,310.00
2016-10-11,314.00,314.00,300.00,302.00,120300,302.00
2016-10-10,314.00,314.00,314.00,314.00,000,314.00
2016-10-07,314.00,314.00,314.00,314.00,100,314.00
2016-10-06,308.00,308.00,308.00,308.00,000,308.00
2016-10-05,300.00,308.00,300.00,308.00,7300,308.00
2016-10-04,308.00,308.00,308.00,308.00,000,308.00
2016-10-03,308.00,308.00,308.00,308.00,000,308.00
2016-09-30,308.00,308.00,308.00,308.00,000,308.00
2016-09-29,300.00,308.00,298.00,308.00,109800,308.00
2016-09-28,312.00,312.00,312.00,312.00,000,312.00
2016-09-27,310.00,312.00,306.00,312.00,201600,312.00
2016-09-26,310.00,310.00,310.00,310.00,000,310.00
2016-09-23,310.00,310.00,300.00,310.00,153700,310.00
2016-09-22,310.00,310.00,300.00,308.00,59100,308.00
2016-09-21,308.00,310.00,308.00,310.00,106700,310.00
2016-09-20,314.00,314.00,314.00,314.00,000,314.00
2016-09-19,314.00,314.00,314.00,314.00,100,314.00
2016-09-16,302.00,304.00,302.00,304.00,17500,304.00
2016-09-15,302.00,302.00,302.00,302.00,100,302.00
2016-09-14,312.00,312.00,312.00,312.00,8200,312.00
2016-09-13,312.00,312.00,312.00,312.00,000,312.00
2016-09-12,312.00,312.00,312.00,312.00,000,312.00
2016-09-09,312.00,312.00,312.00,312.00,000,312.00
2016-09-08,312.00,312.00,312.00,312.00,100,312.00
2016-09-07,298.00,308.00,298.00,308.00,6100,308.00
2016-09-06,312.00,312.00,300.00,300.00,200,300.00
2016-09-05,300.00,312.00,300.00,312.00,400,312.00
2016-09-02,314.00,314.00,314.00,314.00,000,314.00
2016-09-01,310.00,316.00,302.00,314.00,23200,314.00
2016-08-31,304.00,310.00,304.00,310.00,10100,310.00
2016-08-30,304.00,304.00,304.00,304.00,11000,304.00
2016-08-29,312.00,312.00,312.00,312.00,100,312.00
2016-08-26,314.00,314.00,314.00,314.00,000,314.00
2016-08-25,314.00,314.00,314.00,314.00,7000,314.00
2016-08-24,314.00,314.00,314.00,314.00,000,314.00
2016-08-23,314.00,316.00,300.00,314.00,17200,314.00
2016-08-22,308.00,312.00,306.00,312.00,160500,312.00
2016-08-19,314.00,314.00,314.00,314.00,6000,314.00
2016-08-18,314.00,314.00,314.00,314.00,400,314.00
2016-08-17,310.00,310.00,310.00,310.00,000,310.00
2016-08-16,310.00,310.00,310.00,310.00,7700,310.00
2016-08-15,310.00,310.00,310.00,310.00,55700,310.00
2016-08-12,306.00,316.00,306.00,316.00,53000,316.00
2016-08-11,310.00,320.00,310.00,320.00,20100,320.00
2016-08-10,320.00,320.00,320.00,320.00,000,320.00
2016-08-09,320.00,320.00,320.00,320.00,30400,320.00
