Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,830.00,885.00,830.00,875.00,994800,875.00
2017-01-31,830.00,850.00,820.00,830.00,288000,830.00
2017-01-30,825.00,845.00,825.00,840.00,170200,840.00
2017-01-27,830.00,840.00,825.00,825.00,205300,825.00
2017-01-26,830.00,835.00,825.00,830.00,108600,830.00
2017-01-25,835.00,835.00,830.00,830.00,87600,830.00
2017-01-24,840.00,850.00,830.00,835.00,304800,835.00
2017-01-23,860.00,870.00,850.00,850.00,116500,850.00
2017-01-20,865.00,875.00,845.00,860.00,166600,860.00
2017-01-19,880.00,900.00,865.00,865.00,304000,865.00
2017-01-18,835.00,900.00,830.00,880.00,633300,880.00
2017-01-17,835.00,840.00,825.00,835.00,82600,835.00
2017-01-16,830.00,845.00,830.00,835.00,101200,835.00
2017-01-13,830.00,830.00,825.00,830.00,73700,830.00
2017-01-12,820.00,840.00,815.00,830.00,315100,830.00
2017-01-11,845.00,845.00,820.00,820.00,173900,820.00
2017-01-10,845.00,845.00,840.00,845.00,11000,845.00
2017-01-09,850.00,870.00,840.00,845.00,77900,845.00
2017-01-06,835.00,850.00,830.00,850.00,51300,850.00
2017-01-05,845.00,865.00,835.00,835.00,116800,835.00
2017-01-04,810.00,840.00,810.00,840.00,100000,840.00
2017-01-03,810.00,845.00,800.00,810.00,90200,810.00
2017-01-02,810.00,810.00,810.00,810.00,000,810.00
2016-12-30,820.00,840.00,810.00,810.00,171500,810.00
2016-12-29,835.00,835.00,815.00,820.00,94300,820.00
2016-12-28,805.00,830.00,800.00,825.00,116900,825.00
2016-12-27,810.00,810.00,785.00,805.00,204700,805.00
2016-12-26,810.00,810.00,810.00,810.00,000,810.00
2016-12-23,820.00,830.00,810.00,810.00,71900,810.00
2016-12-22,810.00,825.00,805.00,810.00,591800,810.00
2016-12-21,840.00,840.00,820.00,825.00,396900,825.00
2016-12-20,850.00,850.00,830.00,840.00,121300,840.00
2016-12-19,850.00,865.00,850.00,850.00,57200,850.00
2016-12-16,865.00,870.00,840.00,850.00,174000,850.00
2016-12-15,850.00,870.00,850.00,865.00,112000,865.00
2016-12-14,880.00,905.00,870.00,870.00,202400,870.00
2016-12-13,880.00,890.00,865.00,880.00,142700,880.00
2016-12-12,880.00,880.00,880.00,880.00,000,880.00
2016-12-09,890.00,890.00,880.00,880.00,68600,880.00
2016-12-08,910.00,910.00,880.00,885.00,600000,885.00
2016-12-07,910.00,910.00,885.00,895.00,402100,895.00
2016-12-06,890.00,915.00,890.00,910.00,953200,910.00
2016-12-05,850.00,915.00,850.00,885.00,1554100,885.00
2016-12-02,830.00,855.00,815.00,845.00,189300,845.00
2016-12-01,865.00,865.00,830.00,830.00,828500,830.00
2016-11-30,880.00,900.00,855.00,865.00,489100,865.00
2016-11-29,1000.00,1040.00,880.00,880.00,4345800,880.00
2016-11-28,765.00,955.00,765.00,955.00,5770600,955.00
2016-11-25,765.00,775.00,755.00,765.00,85500,765.00
2016-11-24,755.00,790.00,745.00,760.00,576400,760.00
2016-11-23,755.00,755.00,740.00,740.00,174300,740.00
2016-11-22,750.00,760.00,735.00,745.00,189100,745.00
2016-11-21,755.00,765.00,740.00,740.00,515200,740.00
2016-11-18,780.00,780.00,740.00,755.00,77900,755.00
2016-11-17,775.00,775.00,740.00,750.00,217500,750.00
2016-11-16,730.00,775.00,710.00,750.00,592200,750.00
2016-11-15,795.00,810.00,720.00,730.00,1355300,730.00
2016-11-14,850.00,850.00,755.00,795.00,451900,795.00
2016-11-11,850.00,855.00,825.00,825.00,906800,825.00
2016-11-10,855.00,895.00,850.00,865.00,312300,865.00
2016-11-09,870.00,870.00,835.00,855.00,465700,855.00
2016-11-08,890.00,900.00,860.00,865.00,265400,865.00
2016-11-07,885.00,905.00,860.00,875.00,415800,875.00
2016-11-04,870.00,895.00,855.00,885.00,185300,885.00
2016-11-03,870.00,905.00,855.00,870.00,557700,870.00
2016-11-02,890.00,910.00,885.00,890.00,778500,890.00
2016-11-01,900.00,910.00,870.00,885.00,223100,885.00
2016-10-31,920.00,930.00,895.00,900.00,484300,900.00
2016-10-28,910.00,945.00,900.00,920.00,792400,920.00
2016-10-27,905.00,915.00,895.00,895.00,700600,895.00
2016-10-26,910.00,935.00,905.00,910.00,769700,910.00
2016-10-25,860.00,950.00,860.00,900.00,2555200,900.00
2016-10-24,865.00,880.00,850.00,860.00,431400,860.00
2016-10-21,850.00,870.00,840.00,865.00,403600,865.00
2016-10-20,860.00,865.00,845.00,855.00,347600,855.00
2016-10-19,870.00,870.00,845.00,855.00,741100,855.00
2016-10-18,850.00,870.00,850.00,855.00,602200,855.00
2016-10-17,815.00,875.00,815.00,850.00,910200,850.00
2016-10-14,815.00,825.00,810.00,815.00,377400,815.00
2016-10-13,825.00,835.00,810.00,815.00,220600,815.00
2016-10-12,830.00,835.00,820.00,830.00,207700,830.00
2016-10-11,840.00,840.00,820.00,830.00,496900,830.00
2016-10-10,845.00,855.00,840.00,840.00,125400,840.00
2016-10-07,845.00,855.00,840.00,845.00,324700,845.00
2016-10-06,850.00,860.00,840.00,845.00,177600,845.00
2016-10-05,865.00,870.00,840.00,850.00,375900,850.00
2016-10-04,875.00,875.00,860.00,865.00,257500,865.00
2016-10-03,845.00,875.00,845.00,875.00,387000,875.00
2016-09-30,880.00,890.00,840.00,840.00,793400,840.00
2016-09-29,835.00,910.00,835.00,880.00,1289800,880.00
2016-09-28,845.00,850.00,830.00,835.00,254600,835.00
2016-09-27,830.00,865.00,810.00,845.00,549600,845.00
2016-09-26,860.00,870.00,830.00,830.00,679600,830.00
2016-09-23,870.00,895.00,865.00,870.00,137600,870.00
2016-09-22,880.00,910.00,875.00,880.00,266500,880.00
2016-09-21,900.00,910.00,860.00,880.00,1145900,880.00
2016-09-20,950.00,965.00,885.00,900.00,2670300,900.00
2016-09-19,820.00,930.00,815.00,930.00,3487900,930.00
2016-09-16,840.00,860.00,810.00,815.00,557500,815.00
2016-09-15,805.00,860.00,800.00,840.00,1002500,840.00
2016-09-14,830.00,830.00,765.00,800.00,2424100,800.00
2016-09-13,940.00,940.00,850.00,850.00,1779900,850.00
2016-09-12,940.00,940.00,940.00,940.00,000,940.00
2016-09-09,955.00,960.00,940.00,940.00,303000,940.00
2016-09-08,970.00,975.00,945.00,955.00,556600,955.00
2016-09-07,970.00,980.00,950.00,970.00,648600,970.00
2016-09-06,985.00,1000.00,945.00,960.00,824400,960.00
2016-09-05,950.00,1020.00,945.00,980.00,1537100,980.00
2016-09-02,970.00,990.00,930.00,945.00,1137800,945.00
2016-09-01,1005.00,1010.00,970.00,970.00,891900,970.00
2016-08-31,1015.00,1030.00,995.00,1005.00,658800,1005.00
2016-08-30,1065.00,1065.00,985.00,1010.00,1161100,1010.00
2016-08-29,1100.00,1125.00,1055.00,1055.00,1224900,1055.00
2016-08-26,1080.00,1160.00,1050.00,1090.00,2024500,1090.00
2016-08-25,1120.00,1120.00,1075.00,1080.00,718200,1080.00
2016-08-24,1050.00,1110.00,1020.00,1110.00,1033000,1110.00
2016-08-23,1100.00,1100.00,1050.00,1050.00,853700,1050.00
2016-08-22,1140.00,1175.00,1070.00,1085.00,1440000,1085.00
2016-08-19,1195.00,1260.00,1105.00,1145.00,3994200,1145.00
2016-08-18,1150.00,1260.00,1140.00,1195.00,10864400,1195.00
2016-08-17,1100.00,1100.00,1100.00,1100.00,000,1100.00
2016-08-16,980.00,1155.00,920.00,1100.00,5916400,1100.00
2016-08-15,1080.00,1100.00,965.00,970.00,2794200,970.00
2016-08-12,1075.00,1130.00,1000.00,1070.00,2649500,1070.00
2016-08-11,1115.00,1155.00,1060.00,1060.00,3067000,1060.00
2016-08-10,1140.00,1315.00,1100.00,1105.00,20256900,1105.00
2016-08-09,890.00,1085.00,875.00,1085.00,11961500,1085.00
2016-08-08,840.00,890.00,835.00,870.00,1230400,870.00
2016-08-05,850.00,855.00,815.00,820.00,388900,820.00
2016-08-04,840.00,855.00,840.00,840.00,270100,840.00
2016-08-03,855.00,855.00,825.00,835.00,711700,835.00
2016-08-02,880.00,910.00,855.00,860.00,508800,860.00
2016-08-01,880.00,910.00,855.00,880.00,908000,880.00
2016-07-29,870.00,930.00,850.00,880.00,1859700,880.00
2016-07-28,850.00,865.00,835.00,855.00,306300,855.00
2016-07-27,870.00,870.00,845.00,850.00,320200,850.00
2016-07-26,860.00,895.00,855.00,860.00,775900,860.00
2016-07-25,805.00,920.00,805.00,860.00,2315500,860.00
